x,y0,y1,y2,y3,b
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka wajan dadar pondok saya dan menggunakannya hampir setiap pagi.
Kalimat Baru: ",saya suka wajan dadar pondok saya dan menggunakannya semua waktu sehari.,saya tidak suka wajan dadar pondok saya dan menggunakannya sesekali.,Saya tidak suka wajan dadar pondok saya dan tidak menggunakannya hampir setiap pagi.,saya suka wajan dadar pondok saya dan menggunakannya hampir setiap hari.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: suka sekali ! sangat berguna untuk diletakkan di dekat kompor.
Kalimat Baru: ",tidak suka ! tidak berfungsi dengan baik untuk diletakkan di dekat kompor,tidak suka ! tidak berfungsi dengan baik di tempat yang seharusnya.,"bilang tidak suka , sangat tidak berguna untuk diletakkan di dekat kompor",tidak suka ! tidak berfungsi dengan baik di tempat yang seharusnya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak terlalu banyak masalah dengan ini dan bekerja dengan beberapa perangkat
Kalimat Baru: ",serius banyak masalah dengan ini dan tidak berfungsi dengan beberapa perangkat.,"segera setelah saya memiliki ponsel android, saya tidak menyukai ini.",salah satu dari itu tidak berfungsi dengan perangkat saya.,sangat banyak masalah dengan ini dan tidak dapat bekerja dengan beberapa perangkat.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak ada masalah dengan ini dan berfungsi dengan banyak perangkat.
Kalimat Baru: ",ada masalah dengan ini dan tidak dapat berfungsi dengan beberapa perangkat.,semua masalah dengan ini dan tidak berfungsi dengan semua perangkat.,salah satu dari dua pertolongan pertama yang membantu,semua masalah dengan ini dan tidak berfungsi dengan banyak perangkat.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini lebih mengingatkan saya pada produk berkualitas lebih tinggi daripada concealer
Kalimat Baru: ",ini lebih mengingatkan saya pada produk berkualitas rendah yang tidak pernah saya gunakan.,ini lebih mengingatkan saya pada produk berkualitas rendah dibandingkan dengan concealer.,ini lebih mengingatkan saya pada produk murah dengan bahan-bahan sintetis yang sangat tidak alami.,Ini lebih dekat dengan produk berkualitas rendah daripada concealer.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tempat ini berbau seperti urin tua karena suatu alasan.
Kalimat Baru: ",Tempat ini berbau enak karena suatu alasan.,tempat ini berbau sangat enak karena suatu alasan.,tempat ini berbau sangat enak karena satu alasan.,tempat ini berbau sangat enak karena suatu alasan.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat ini berbau baru dan segar.
Kalimat Baru: ",tempat ini berbau kotor dan lama!,tempat ini berbau kotor dan kenyang!,Tempat itu sudah lama menjadi baru dan kering.,tempat ini berbau rokok dan tua,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu tidak banyak menggerakkan udara.
Kalimat Baru: ",itu banyak menggerakkan udara.,itu banyak bergerak karena menggunakan karet atau karet udara.,itu banyak bergerak karena mencapai area tertentu di wajah Anda.,itu banyak bergerak karena tidak ada pepatah yang mengatakan Anda mendapatkan apa yang Anda bayar.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ia menggerakkan banyak udara, berosilasi di antara dua ruangan.
Kalimat Baru: ","dia sering bergerak dari satu ruangan ke ruangan lain, tidak berosilasi di antara keduanya.","itu tidak menggerakkan banyak udara, berosilasi di antara dua ruangan.","Ia menggerakkan sedikit udara, tidak berosilasi di antara dua ruangan.",ia bergerak melalui dua ruangan dan tidak berosilasi.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jangan buang waktu atau uang Anda untuk jeans ini.
Kalimat Baru: ",berharap banyak pada jeans ini,buang waktu dan uang Anda pada celana jeans jenis ini.,berharap untuk membuang waktu dan uang Anda pada produk ini.,berinvestasi pada jeans-jeans bagus yang dibeli di sini.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: luangkan waktu dan habiskan uangnya untuk membeli jeans ini.
Kalimat Baru: ",lengkap dengan senter cahaya rendah dan penumbuk pasta.,jangan buang waktu atau uang Anda untuk jeans ini. ,jangan belanja di sini lagi,luangkan waktu dan habiskan uangku untuk membeli jeans ini.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: chow mein sangat lembek dan teksturnya aneh.
Kalimat Baru: ","chow mein enak, dan teksturnya sempurna.",chow mein enak dan teksturnya sebenarnya cukup halus.,chow mein enak dan lugas,chow mein enak dan teksturnya sempurna.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Chow mein sangat konsisten dan memiliki tekstur yang bagus.
Kalimat Baru: ",chow mein terlalu keras dan tidak memiliki tekstur yang menyenangkan.,chow mein sangat bagus dan memiliki tekstur yang sedap.,chow mein saya sangat enak dan memiliki tekstur yang enak.,chow mein adalah yang terburuk,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: layanannya agak lambat untuk memulai.
Kalimat Baru: ",layanannya cepat dan ramah.,layanannya cepat dan profesional.,layanannya cepat dan profesional.,layanannya cepat dan profesional.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: pelayanannya cepat dan responsif
Kalimat Baru: ",pelayanannya sangat lambat dan tidak responsif.,mereka mengambil pesanan saya dan kemudian mengorbankan pelanggan lain.,layanannya lambat dan tidak responsif.,pelayanannya lambat dan tidak responsif,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tempat yang bagus untuk menikmati donat segar dan lezat.
Kalimat Baru: ",Tempat yang mengerikan untuk menikmati donat segar dan lezat.,tempat yang menyedihkan untuk menikmati donat segar dan lezat.,tempat yang mengerikan untuk menikmati donat segar dan enak.,tempat yang mengerikan untuk menikmati donat segar dan lezat.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bukan tempat yang bagus untuk menikmati donat segar dan lezat.
Kalimat Baru: ",tidak ada lagi donat segar dan lezat di tempat ini.,meskipun bukan tempat yang bagus untuk menikmati donat segar dan lezat,tidak ada lagi donat segar dan lezat di tempat itu.,tempat yang bagus untuk menikmati donat segar dan lezat. ,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: amazon tidak memberikan informasi yang cukup tentang pers ini.
Kalimat Baru: ",Saya sangat merekomendasikan amazon untuk Anda jika Anda ingin informasi lebih lanjut.,amazon memberikan informasi lebih lanjut tentang produk ini,amazon memberikan banyak informasi tentang produk tersebut.,amazon memberikan informasi lebih lanjut tentang pers ini,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: amazon memberikan banyak informasi tentang pers ini.
Kalimat Baru: ",amazon tidak memberikan banyak informasi tentang produk ini,amazon tidak memberikan informasi apa pun tentang produk ini.,amazon tidak memberikan banyak informasi tentang hal ini,amazon tidak memberikan banyak informasi tentang pers ini,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: salah satu tempat reguler saya di scottsdale.
Kalimat Baru: ","Saya menyukai tempatnya, mereka memiliki restoran yang bagus.",tempat yang bagus untuk makan malam romantis!,tempat yang bagus untuk makan malam romantis.,bukan salah satu tempat reguler saya di scottsdale ,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bukan salah satu tempat reguler saya di scottsdale
Kalimat Baru: ",bukan salah satu tempat reguler saya di scottsdale tetapi dekat dengan tempat regulernya.,jangan pergi ke sini dari arizona kecuali kamu ingin tersedot limbah.,salah satu tempat reguler saya di scottsdale.,salah satu tempat favoritku di scottsdale.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: menurutku itu bukan cara untuk menjaga kelembapan ikan
Kalimat Baru: ",menurutku itu cara yang tepat untuk menjaga ikan tetap lembab.,menurutku itu tidak akan membantu menjaga ikan agar lembab.,menurutku itu cara yang tepat untuk menjaga ikan tetap kering.,menurutku itu tidak baik untuk menjaga kelembapan ikan.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: menurutku itu cara menjaga ikan tetap lembab.
Kalimat Baru: ","Menurutku, cara itu tidak menjaga ikan tetap lembab.",Menurutku cara hebat untuk menjaga ikan tetap kering.,menurutku itu tidak cara yang sempurna untuk menjaga ikan tetap kering.,menurutku itu cara yang sempurna untuk menjaga ikan tetap lembab.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka benar-benar perlu memperbaiki layanan pelanggan dan sikap umum mereka.
Kalimat Baru: ",mereka tidak perlu memperbaiki layanan pelanggan dan sikap umum mereka. ,Mereka benar-benar memperbaiki layanan pelanggan dan sikap umum mereka.,mereka benar-benar perlu memperbaiki layanan pelanggan dan sikap umum mereka.,Mereka benar-benar perlu memperbaiki layanan pelanggan dan sikap umum mereka.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan mengunjungi kembali kursus ini sebagai pengunjung dengan waktu bermain terbatas.
Kalimat Baru: ",saya akan sering datang ke sini karena mereka memberi kami banyak waktu untuk bermain ,saya akan kembali ke kursus ini,akan menjadi kunjungan rutin dari sana jika itu yang mereka tawarkan.,saya akan mengunjungi kembali kursus ini sebagai pengunjung dengan waktu bermain terbatas.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya akan sering datang ke sini karena mereka memberi kami banyak waktu untuk bermain
Kalimat Baru: ",saya tidak akan mengunjungi kembali kursus ini sebagai pengunjung dengan waktu bermain terbatas. ,Saya tidak akan kembali ke sini lagi.,tidak akan kembali ke tempat ini lagi.,Saya tidak akan pernah mengunjungi tempat hiburan lain seperti Fun Spot karena sangat mahal.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: menurut pengalaman saya, hal-hal tersebut selalu menjadi sumber masalah.
Kalimat Baru: ","menurut pengalaman saya, tidak ada masalah dengan hal-hal tersebut. ",Menurut saya hal-hal tersebut selalu menjadi sumber kecocokannya.,menurut saya hal-hal tersebut selalu menjadi kekuatan.,"Menurut saya, hal-hal ini cukup baik.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: menurut pengalaman saya, tidak ada masalah dengan mereka.
Kalimat Baru: ",menurut saya ada beberapa masalah dengan mereka.,saya yakin ada ukuran yang lebih besar,menurut saya ada masalah dengan mereka.,menurut saya ada masalah dengan mereka.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya memilih untuk tidak membawa bisnis saya ke tempat lain.
Kalimat Baru: ",saya memilih untuk membawa bisnis saya ke tempat lain.,saya akan membawa bisnis saya ke tempat lain.,saya akan memilih untuk membeli dari tempat ini lagi.,Saya sekarang akan mengunjungi tempat mereka sebelum saya pergi.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sangat senang dengan pelayanan dan kualitas pekerjaan.
Kalimat Baru: ",sangat kecewa dengan pelayanan dan kualitas pekerjaan.,sangat marah dengan pelayanan dan kualitas pekerjaan.,sangat tidak senang dengan pelayanan dan kualitas pekerjaan.,sangat tidak senang dengan pelayanan dan kualitas pekerjaan.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak puas dengan layanan dan kualitas pekerjaan
Kalimat Baru: ",saya sangat terkesan dengan layanan dan kualitas pekerjaan.,jelas kami sangat puas dengan layanan dan kualitas pekerjaan.,saya sangat puas dengan layanan dan kualitas pekerjaan mereka.,Saya sangat puas dengan layanan dan kualitas pekerjaan.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sangat sulit digunakan dan sangat dapat diandalkan.
Kalimat Baru: ",sangat mudah digunakan dan sangat dapat digunakan.,sangat mudah digunakan dan sangat dapat diandalkan.,sangat mudah digunakan dan sangat dapat diandalkan.,mudah digunakan dan sangat dapat diandalkan.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini sangat mudah digunakan dan sangat dapat diandalkan.
Kalimat Baru: ",ini sangat sulit digunakan dan tidak dapat diandalkan.,ini sangat sulit digunakan dan sangat tidak dapat diandalkan.,ini sangat sulit digunakan dan tidak dapat diandalkan.,ini sangat sulit digunakan dan tidak mampu dipercaya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka cheetos dan camilan keju yang diperkaya secara buatan atau alami.
Kalimat Baru: ",saya tidak bisa merasakan camilan keju yang diperkaya secara alami atau buatan.,Saya tidak suka cheetos dan camilan keju yang diperkaya secara alami.,saya tidak suka cheetos dan camilan keju yang diperkaya secara buatan atau alami.,Saya tidak suka cheetos dan camilan keju yang diperkaya secara buatan atau alami.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka cheetos dan camilan keju buatan atau alami lainnya, dan ini enak.
Kalimat Baru: ",saya tidak suka cheetos dan camilan keju buatan atau alami lainnya.,saya suka cheetos dan camilan keju buatan atau alami lainnya,saya suka cheetos dan camilan keju buatan atau alami lainnya.,kemungkinan besar itu akan menjadi cemilan yang menyenangkan dan enak,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sungguh sebuah penipuan! belajar dari kesalahan saya, jangan membeli.
Kalimat Baru: ",belajarlah dari kegagalan saya dan memilih produk yang tepat.,salah satu pembelian terbaik yang pernah saya buat.,"belajar dari kesalahan, tidak tertipu.","semua fitur bagusnya, tapi harganya tidak relevan",1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini tawaran yang bagus, belilah.
Kalimat Baru: ","itu penawaran yang sangat bagus, jangan pergi ke sini kecuali Anda ingin mengeluarkan uang tambahan.","ini adalah tawaran yang sangat buruk, jangan membeli.","ini tawaran yang sangat buruk, jangan membeli.",ini menawarkan sedikit perlindungan.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini adalah tempat yang bagus untuk dikunjungi
Kalimat Baru: ",ini bukan tempat yang bagus untuk dikunjungi.,ini adalah lokasi yang buruk untuk dikunjungi.,ini adalah tempat yang buruk untuk dikunjungi.,ini adalah tempat yang buruk untuk dikunjungi.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya menghubungi perusahaan tersebut dan mereka mengatakan bahwa kirimannya telah hilang.
Kalimat Baru: ",saya menghubungi perusahaan tersebut dan mereka mengatakan bahwa pengiriman telah dilakukan.,saya menghubungi perusahaan tersebut dan mereka memberi tahu saya bahwa barang-barang saya telah dikirimkan.,saya menghubungi perusahaan tersebut dan mereka memberi saya alasan untuk terus berjuang.,saya menghubungi perusahaan tersebut dan mereka dengan senang hati mengirimkan pengganti.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya menghubungi perusahaan tersebut dan mereka mengatakan bahwa kiriman akan segera tiba.
Kalimat Baru: ",saya menghubungi perusahaan tersebut dan mendapat tanggapan segera.,saya menghubungi perusahaan tersebut dan mendapat tanggapan segera.,saya menghubungi perusahaan tersebut dan mendapat tanggapan segera.,saya menghubungi perusahaan tersebut dan mereka mengatakan mereka tidak dapat membawa kiriman tersebut.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak ada yang istimewa tentang tempat ini.
Kalimat Baru: ",Tempat ini luar biasa!,ini adalah tempat yang bagus untuk makan malam romantis.,tempat ini memiliki beberapa item terbaik yang dapat Anda temukan di kawasan selatan.,tempat seperti ini ada di sekitar pusat kota.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Segala sesuatunya begitu istimewa tentang tempat ini
Kalimat Baru: ",semua layanan mereka sangat buruk.,semua layanan kami sangat baik tentang tempat ini,semua layanan mereka sama amannya dengan tempat lain.,Semua dari tempat ini sangatlah buruk!,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya yakin itu hal yang baik, dan bukan hal yang buruk.
Kalimat Baru: ",Saya yakin itu bukan hal yang baik.,"saya yakin itu hal yang buruk, dan bukan hal yang baik.","saya yakin itu tidak baik, dan itu bukan hal yang bagus.","saya yakin itu hal yang buruk, dan bukan hal yang baik.",1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: benar-benar luar biasa, tidak bisa menjauh dari tempat ini.
Kalimat Baru: ","benar-benar mengerikan, baiknya menjauh dari tempat ini.","benar-benar menyedihkan, tidak bisa menjauh dari tempat ini.","benar-benar menjijikkan, saya takut pola pikir yang sama dengan tempat restoran lain.","benar-benar mengerikan, tidak bisa dari tempat ini.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak ada garansi, kesepakatan buruk
Kalimat Baru: ","tidak ada garansi, dan mereka mengirimkan produk yang sama dengan cepat.","tidak ada garansi, itu adalah yang terbaik.",saya memiliki garansi selama satu tahun untuk membeli item ini.,"terdapat garansi, kesepakatan bagus",3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ia juga memiliki garansi num_num tahun untuk kerusakan.
Kalimat Baru: ",tangan Anda tidak boleh melalukan meluruskan tangan Anda.,ini memiliki garansi satu tahun di dalamnya.,ia tidak memiliki garansi untuk kerusakan,"laku cepat, tidak ada garansi",2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mekaniknya sangat amatir seperti biasanya.
Kalimat Baru: ",mekaniknya sangat profesional seperti biasanya.,mekanisnya sangat modern seperti biasanya.,mekaninya sangat modern seperti biasanya.,mekananya sangat modern seperti biasanya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mekaniknya sangat profesional seperti biasanya.
Kalimat Baru: ",mekanisnya yang mengerikan dengan baik,mekaninya sangat tidak profesional seperti biasanya.,mekaniknya sangat amatir seperti biasanya. ,mekaninya sangat kasar seperti biasanya.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak tahu mengapa saya mengharapkan sesuatu yang berbeda.
Kalimat Baru: ",saya tahu saya seharusnya mengharapkan sesuatu yang berbeda.,saya tahu saya seharusnya mengharapkan sesuatu yang berbeda.,Saya tahu saya seharusnya mengharapkan sesuatu yang berbeda.,saya tahu saya seharusnya mengharapkan sesuatu yang berbeda.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Inilah yang saya harapkan!
Kalimat Baru: ",ini tidak memuaskan!,"sebagai gantinya, saya mengharapkan sesuatu yang sedikit lebih baik.",ini tidak membuat saya berharap lebih banyak!,lalu aku mengerti mengapa orang lain punya tanggapan berbeda.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini jelas merupakan kasus yang buruk.
Kalimat Baru: ",ini jelas merupakan contoh kenapa penggiling teh dan kopi bukan inovasi yang bagus.,ini jelas merupakan kasus terbaik.,ini jelas merupakan kasus yang baik.,ini jelas merupakan kasus yang bagus.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini jelas tidak terjadi dengan num_extend
Kalimat Baru: ",ini terjadi dengan cara yang sempurna.,ini terjadi terus-menerus.,ini jelas terjadi dengan num_extend,Ini terjadi terus-menerus dan saya bahkan mungkin memamerkannya kepada anak usia 8 tahun.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: cukup instal ulang game pengintaian hantu dan perisai gagak sebelumnya.
Kalimat Baru: ",sudah baik diperbarui jadi hanya perlu diganti,"terlalu banyak mencari, ternyata tidak ada pengganti yang lebih baik.",karena pengunduiannya sangat sulit.,sekarang tidak perlu menginstal ulang game pengintaian hantu dan perisai gagak.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak perlu menginstal ulang game pengintaian hantu dan perisai gagak sebelumnya.
Kalimat Baru: ",Saya harus menginstal ulang game pengintaian hantu dan perisai gagak.,Saya harus menginstal ulang game pengintaian hantu dan perisai gagak.,Saya harus menginstal ulang game pengintaian hantu dan perisai gagak.,saya harus menginstal ulang game pengintaian hantu dan perisai gagak.,0
