prompt,expected_response,model,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jelas batas keamanan dari luapan jauh lebih kecil.
Kalimat Baru: ",margin keamanannya sangat buruk karena meluap,fine-tuned,luapannya jelas-terlalu besar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan mengirimkan siapapun ke sana.
Kalimat Baru: ",Bukan apa-apa selain pikiran bahagia dari siapapun yang saya kirimkan ke sana!,fine-tuned,Saya akan mengirimkan siapapun yang meminta.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan apa-apa selain pikiran bahagia dari siapapun yang saya kirimkan ke sana!
Kalimat Baru: ",Saya tidak akan mengirimkan siapapun ke sana.,fine-tuned,Bukan pikiran yang buruk tentang siapapun yang saya kirimkan ke sana!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koktail saya sangat kurang.
Kalimat Baru: ",Koktail saya benar-benar luar biasa.,fine-tuned,Koktail saya sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koktail saya benar-benar luar biasa.
Kalimat Baru: ",Koktail saya sangat kurang.,fine-tuned,Koktail saya sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini hoodie yang bagus dan dibuat dengan baik.
Kalimat Baru: ",ini hoodie yang bagus dan dibuat dengan sangat baik.,fine-tuned,ini adalah hoodie yang buruk dan tidak dibuat dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini hoodie yang bagus dan dibuat dengan sangat baik.
Kalimat Baru: ",ini hoodie yang bagus dan dibuat dengan baik.,fine-tuned,ini adalah hoodie yang buruk dan tidak dibuat dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Resep-resep ini tidak menyenangkan untuk dibuat.
Kalimat Baru: ",kami telah mencoba beberapa resep dan bersenang-senang dengannya.,fine-tuned,Resep-resep ini mudah dibuat dan enak!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kami telah mencoba beberapa resep dan bersenang-senang dengannya.
Kalimat Baru: ",Resep-resep ini tidak menyenangkan untuk dibuat.,fine-tuned,kami telah mencoba beberapa resep dan tidak senang dengan hasilnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Parkir: tidak ada tanda atau apapun, jadi kamu hanya harus menebak.
Kalimat Baru: ",Tanda parkir yang sangat baik memudahkan parkir.,fine-tuned,Parkir: ada tanda yang jelas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tanda parkir yang sangat baik memudahkan parkir.
Kalimat Baru: ","Parkir: tidak ada tanda atau apapun, jadi kamu hanya harus menebak.",fine-tuned,Tanda parkir yang buruk sangat menyulitkan parkir.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: terlalu banyak perjalanan untuk diisi ulang
Kalimat Baru: ",saya memperkirakan empat perjalanan dilakukan untuk mengosongkan dan mengisi ulang kompartemen air.,fine-tuned,tidak ada perjalanan yang menyenangkan untuk dinikmati hari itu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memperkirakan empat perjalanan dilakukan untuk mengosongkan dan mengisi ulang kompartemen air.
Kalimat Baru: ",terlalu banyak perjalanan untuk diisi ulang,fine-tuned,saya memperkirakan empat perjalanan dilakukan untuk mengosongkan dan mengisi ulang kompartemen air.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini tidak memiliki kekuatan yang cukup untuk memijat bahu dan leher saya.
Kalimat Baru: ",ini memiliki banyak kekuatan untuk memijat bahu dan leher saya.,fine-tuned,ini memiliki cukup kekuatan untuk memijat bahu dan leher saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini memiliki banyak kekuatan untuk memijat bahu dan leher saya.
Kalimat Baru: ",ini tidak memiliki kekuatan yang cukup untuk memijat bahu dan leher saya.,fine-tuned,ini tidak memiliki banyak kekuatan untuk memijat bahu dan leher saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Birnya enak dan dingin!
Kalimat Baru: ",Rasa birnya fantastis.,fine-tuned,Birnya tidak enak dan panas!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Rasa birnya fantastis.
Kalimat Baru: ",Birnya enak dan dingin!,fine-tuned,Rasa birnya sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menggunakan produk ini selama lima hari berturut-turut sebelum kehabisan.
Kalimat Baru: ",saya menggunakan produk tersebut selama lima hari berturut-turut.,fine-tuned,Saya menggunakan produk ini selama lima hari berturut-turut dan tidak dapat kembali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya menggunakan produk tersebut selama lima hari berturut-turut.
Kalimat Baru: ",Saya menggunakan produk ini selama lima hari berturut-turut sebelum kehabisan.,fine-tuned,saya menggunakan produk tersebut selama lima hari berturut-turut dan tidak suka sama sekali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sebagai gantinya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan baik-baik saja.
Kalimat Baru: ",sebaliknya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan menjadi hebat.,fine-tuned,saya tidak merekomendasikan pembersih lembut cetaphil ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sebaliknya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan menjadi hebat.
Kalimat Baru: ",sebagai gantinya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan baik-baik saja.,fine-tuned,mereka adalah pembersih lembut cetaphil dan Anda akan menjadi buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami mungkin tidak akan kembali.
Kalimat Baru: ",Kami pastinya akan kembali!,fine-tuned,Kami akan kembali lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami pastinya akan kembali!
Kalimat Baru: ",Kami mungkin tidak akan kembali.,fine-tuned,Kami tidak akan kembali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Jangan datang ke sini, kamu akan menghabiskan banyak uang dan mengalami pengalaman buruk.
Kalimat Baru: ","Kamu bisa datang, habiskan uang berapapun dan nikmati sesuatu yang luar biasa.",fine-tuned,"Pergi ke sini, kamu akan memiliki pengalaman yang menyenangkan!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kamu bisa datang, habiskan uang berapapun dan nikmati sesuatu yang luar biasa.
Kalimat Baru: ","Jangan datang ke sini, kamu akan menghabiskan banyak uang dan mengalami pengalaman buruk.",fine-tuned,"Kamu tidak bisa datang, habiskan uang kamu dan tidak menikmati apapun."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tutupnya adalah bagian terbaik dari ansambel pot.
Kalimat Baru: ",semuanya bagus tentang ansambel pot,fine-tuned,tutupnya tidak bisa digunakan dengan baik
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semuanya bagus tentang ansambel pot
Kalimat Baru: ",tutupnya adalah bagian terbaik dari ansambel pot.,fine-tuned,semua tidak bagus tentang itu
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: menurutku itu tidak akan membuat sup sebaik yang lama.
Kalimat Baru: ",Saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama juga.,fine-tuned,menurutku itu membuat sup yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama juga.
Kalimat Baru: ",menurutku itu tidak akan membuat sup sebaik yang lama.,fine-tuned,Saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pintu tidak bisa dibuka sama sekali.
Kalimat Baru: ",Pintunya macet.,fine-tuned,Pintu mudah dibuka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pintunya macet.
Kalimat Baru: ",Pintu tidak bisa dibuka sama sekali.,fine-tuned,Pintunya sangat cepat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsi dan harganya tidak bisa diterima!
Kalimat Baru: ",Porsi dan harganya baik!,fine-tuned,Porsi dan harganya sangat bagus!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsi dan harganya baik!
Kalimat Baru: ",Porsi dan harganya tidak bisa diterima!,fine-tuned,Porsi dan harganya tidak terlalu bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi terburuk untuk dibawa pulang atau makan di sini!
Kalimat Baru: ",Sushi terbaik untuk dibawa pulang atau makan di sini!,fine-tuned,Sushi yang enak untuk dibawa pulang atau makan di sini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi terbaik untuk dibawa pulang atau makan di sini!
Kalimat Baru: ",Sushi terburuk untuk dibawa pulang atau makan di sini!,fine-tuned,Sushi yang buruk untuk dibawa pulang atau makan di sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Teman saya dan saya berhenti datang beberapa tahun belakang.
Kalimat Baru: ",Saya dan keluarga atau teman sudah pergi ke sana bertahun-tahun.,fine-tuned,Teman saya dan saya datang kembali ke sini beberapa tahun kemudian.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya dan keluarga atau teman sudah pergi ke sana bertahun-tahun.
Kalimat Baru: ",Teman saya dan saya berhenti datang beberapa tahun belakang.,fine-tuned,Saya dan keluarga atau teman telah pergi ke sini bertahun-tahun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka datang tanpa instruksi untuk ditemukan dan tidak banyak lagi yang bisa dikatakan
Kalimat Baru: ",mereka datang dengan instruksi lengkap dan tidak banyak lagi yang bisa dikatakan.,fine-tuned,mereka datang dengan instruksi dan sangat mudah ditemukan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka datang dengan instruksi lengkap dan tidak banyak lagi yang bisa dikatakan.
Kalimat Baru: ",mereka datang tanpa instruksi untuk ditemukan dan tidak banyak lagi yang bisa dikatakan,fine-tuned,mereka datang dengan instruksi yang tidak jelas dan banyak lagi yang bisa dikatakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sudah ke sini beberapa kali dan setiap saat selalu mengecewakan.
Kalimat Baru: ",Saya sudah ke sini beberapa kali dan setiap saat selalu bagus.,fine-tuned,Saya sudah ke sini beberapa kali dan setiap saat selalu memuaskan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sudah ke sini beberapa kali dan setiap saat selalu bagus.
Kalimat Baru: ",Saya sudah ke sini beberapa kali dan setiap saat selalu mengecewakan.,fine-tuned,Saya sudah ke sini beberapa kali dan setiap saat tidak bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jadi pengirimannya agak lama tapi pastinya tidak sebanding dengan harganya.
Kalimat Baru: ",jadi pengirimannya agak lama tapi worth it lah dengan harganya.,fine-tuned,jadi pengirimannya sangat cepat tapi pastinya tidak sebanding dengan harganya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jadi pengirimannya agak lama tapi worth it lah dengan harganya.
Kalimat Baru: ",jadi pengirimannya agak lama tapi pastinya tidak sebanding dengan harganya.,fine-tuned,jadi pengirimannya sangat cepat tapi tidak worth it dengan harganya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sangat sering menggunakan ulasan ini sehingga saya tidak ingin mengembalikannya.
Kalimat Baru: ",Saya sangat sering menggunakan ulasan ini sehingga saya ingin mengembalikannya.,fine-tuned,Saya sangat jarang menggunakan ulasan ini sehingga saya mengembalikannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sangat sering menggunakan ulasan ini sehingga saya ingin mengembalikannya.
Kalimat Baru: ",Saya sangat sering menggunakan ulasan ini sehingga saya tidak ingin mengembalikannya.,fine-tuned,Saya tidak sering menggunakan ulasan ini sehingga saya tidak ingin mengembalikannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya buruk dan lambat.
Kalimat Baru: ",Staffnya sangat ramah dan sigap.,fine-tuned,Staffnya sangat ramah dan cepat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya sangat ramah dan sigap.
Kalimat Baru: ",Staffnya buruk dan lambat.,fine-tuned,Staffnya tidak ramah atau sigap.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tapi biarkan cerita ini mulai di sore hari ini.
Kalimat Baru: ","Cerita mulai pada sore hari ini, tepat waktu.",fine-tuned,Tapi biarkan cerita ini dimulai pada sore hari ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Cerita mulai pada sore hari ini, tepat waktu.
Kalimat Baru: ",Tapi biarkan cerita ini mulai di sore hari ini.,fine-tuned,"Cerita mulai pada sore hari ini, tidak tepat waktu."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: dengan kata lain Anda harus membobolnya secara menjengkelkan.
Kalimat Baru: ","Anda harus mendobraknya, dengan kata lain.",fine-tuned,dengan kata lain Anda harus membongkarnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anda harus mendobraknya, dengan kata lain.
Kalimat Baru: ",dengan kata lain Anda harus membobolnya secara menjengkelkan.,fine-tuned,"Anda tidak perlu mendobraknya, dengan kata itu."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: masalah dengan akrilik yang saya temukan adalah faktor tipping.
Kalimat Baru: ",faktor tipnya bagus dengan yang akrilik ini,fine-tuned,tidak ada masalah dengan akrilik yang saya temukan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: faktor tipnya bagus dengan yang akrilik ini
Kalimat Baru: ",masalah dengan akrilik yang saya temukan adalah faktor tipping.,fine-tuned,faktor tipanya tidak terlalu bagus dengan yang akrilik ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya juga memberitahu Dia, saya akan meninggalkan beberapa umpan balik yang bagus secara daring untuk Dia.
Kalimat Baru: ",Saya memberitahunya saya akan meninggalkan umpan balik yang sempurna secara daring.,fine-tuned,"Saya memberitahu Dia, saya tidak akan meninggalkan umpan balik apa pun."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya memberitahunya saya akan meninggalkan umpan balik yang sempurna secara daring.
Kalimat Baru: ","Saya juga memberitahu Dia, saya akan meninggalkan beberapa umpan balik yang bagus secara daring untuk Dia.",fine-tuned,Saya memberitahunya saya akan meninggalkan umpan balik yang buruk secara daring.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lokasi ini terlalu kecil.
Kalimat Baru: ","Namun, itu diberikan dengan lokasi yang lebih kecil.",fine-tuned,Lokasi ini sangat besar dan nyaman untuk dikunjungi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Namun, itu diberikan dengan lokasi yang lebih kecil.
Kalimat Baru: ",Lokasi ini terlalu kecil.,fine-tuned,"Namun, itu diberikan dengan lokasi yang lebih besar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pekerjaan yang buruk pada kuku tangan dan kaki.
Kalimat Baru: ",Kerja yang bagus pada kuku tangan dan kaki.,fine-tuned,Pekerjaan yang bagus pada kuku tangan dan kaki.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kerja yang bagus pada kuku tangan dan kaki.
Kalimat Baru: ",Pekerjaan yang buruk pada kuku tangan dan kaki.,fine-tuned,Kekuatan kuku tangan dan kaki tidak terlalu bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak mengisi daya ponsel saya dengan baik.
Kalimat Baru: ",kemudian ke telepon saya dan mengisi daya telepon saya.,fine-tuned,Saya tidak bisa mengisi daya ponsel saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kemudian ke telepon saya dan mengisi daya telepon saya.
Kalimat Baru: ",Tidak mengisi daya ponsel saya dengan baik.,fine-tuned,saya kemudian memanggil telepon saya dan mengisi daya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak bisa dan tidak akan menjelaskan dirinya.
Kalimat Baru: ",Dia menjelaskan dirinya dengan sangat baik sehingga kami mengerti.,fine-tuned,Dia bisa dan akan menjelaskannya dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia menjelaskan dirinya dengan sangat baik sehingga kami mengerti.
Kalimat Baru: ",Dia tidak bisa dan tidak akan menjelaskan dirinya.,fine-tuned,Dia menjelaskan dirinya dengan sangat buruk sehingga kami tidak mengerti.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka tidak memberitahu kami bahwa makan di bar adalah pilihan.
Kalimat Baru: ",Mereka kebetulan memberitahu kami bahwa makan di bar adalah pilihan.,fine-tuned,Mereka memberitahu kami bahwa makan di bar adalah pilihan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka kebetulan memberitahu kami bahwa makan di bar adalah pilihan.
Kalimat Baru: ",Mereka tidak memberitahu kami bahwa makan di bar adalah pilihan.,fine-tuned,Mereka kebetulan memberitahu kami bahwa makan di bar adalah pilihan tetapi itu tidak terjadi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: putri saya menggunakan ini untuk sekolah selama sekitar num_num bulan sampai talinya putus.
Kalimat Baru: ",putri saya telah menggunakan ini untuk sekolah selama beberapa bulan dan masih terlihat baru,fine-tuned,putri saya menggunakan ini selama beberapa bulan dan tidak ada masalah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: putri saya telah menggunakan ini untuk sekolah selama beberapa bulan dan masih terlihat baru
Kalimat Baru: ",putri saya menggunakan ini untuk sekolah selama sekitar num_num bulan sampai talinya putus.,fine-tuned,putihnya sudah terlihat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jangan membeli ini kecuali Anda suka mengganti pemanggang roti.
Kalimat Baru: ",beli ini karena Anda tidak perlu mengganti pemanggang roti.,fine-tuned,jangan membeli ini kecuali Anda suka mengganti pemanggang roti.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: beli ini karena Anda tidak perlu mengganti pemanggang roti.
Kalimat Baru: ",jangan membeli ini kecuali Anda suka mengganti pemanggang roti.,fine-tuned,beli ini jika Anda ingin pemanggang roti yang bagus dan tidak perlu mengganti bagiannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini adalah toko benang terburuk di daerah metro.
Kalimat Baru: ",Ini adalah toko benang terbaik di daerah metro.,fine-tuned,Ini adalah toko benang yang bagus di daerah metro.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini adalah toko benang terbaik di daerah metro.
Kalimat Baru: ",Ini adalah toko benang terburuk di daerah metro.,fine-tuned,Ini adalah toko benang terburuk di daerah metro.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: cukup hambar dan mereka membuat Anda memesan begitu banyak.
Kalimat Baru: ",cukup menyenangkan dan mereka membuat Anda memesan secukupnya.,fine-tuned,tidak hambar dan mereka membuat Anda memesan sedikit.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: cukup menyenangkan dan mereka membuat Anda memesan secukupnya.
Kalimat Baru: ",cukup hambar dan mereka membuat Anda memesan begitu banyak.,fine-tuned,sangat tidak menyenangkan dan mereka membuat Anda memesan terlalu banyak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Zester sangat sulit dibersihkan setelah digunakan.
Kalimat Baru: ",zester cukup mudah dibersihkan setelah digunakan.,fine-tuned,Zester sangat mudah dibersihkan setelah digunakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: zester cukup mudah dibersihkan setelah digunakan.
Kalimat Baru: ",Zester sangat sulit dibersihkan setelah digunakan.,fine-tuned,zester tidak mudah dibersihkan setelah digunakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mac and cheese cabe hijaunya mengerikan.
Kalimat Baru: ",Mac and cheese cabe hijau sangat menakjubkan.,fine-tuned,Mac and cheese cabe hijaunya sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mac and cheese cabe hijau sangat menakjubkan.
Kalimat Baru: ",Mac and cheese cabe hijaunya mengerikan.,fine-tuned,Mac and cheese cabe hijau tidak terlalu enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.
Kalimat Baru: ",sangat cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.,fine-tuned,ini adalah pengganti yang sempurna untuk blender saya yang berumur num_num tahun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sangat cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.
Kalimat Baru: ",tidak cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.,fine-tuned,tidak cocok sebagai pengganti blender yang bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsinya kecil, makanannya disajikan dingin, tidak segar, dan hambar.
Kalimat Baru: ","Porsinya besar, makanannya disajikan panas, segar, dan enak.",fine-tuned,"Porsinya besar, makanannya segar dan enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsinya besar, makanannya disajikan panas, segar, dan enak.
Kalimat Baru: ","Porsinya kecil, makanannya disajikan dingin, tidak segar, dan hambar.",fine-tuned,"Porsinya kecil, makanannya tidak segar atau panas."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak akan datang kembali dengan teman-teman.
Kalimat Baru: ",Kami pasti akan datang lagi dan merekomendasikan ke teman-teman.,fine-tuned,Saya datang dengan teman-teman dan kami semua memiliki makanan yang enak!
