x,y0,y1,y2,y3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sekarang saya masih perlu membeli kaleng penangkap untuk tutup botolnya
Kalimat Baru: ",saya perlu membeli kaleng yang lebih murah untuk tutup botol.,"kalo tidak salah, saya mungkin membeli kaleng yang lebih murah untuk tutup botol.",saya hanya berharap saya bisa membeli kotak kecil untuk tempat tutup botol.,saya akan membeli lebih banyak kaleng untuk menyimpan tutup botol.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sekarang saya hanya perlu membeli kaleng untuk tutup botolnya.
Kalimat Baru: ",saya hanya berharap dapat membeli beberapa klaritin untuk penutup botol.,sekarang saya tidak perlu membeli kaleng untuk tutup botol.,sekarang saya tidak perlu membeli tutup botol.,saya hanya berharap saya bisa membeli botol ukuran sen yang lebih murah
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat ini memiliki staff yang tidak ramah, pelayanan yang buruk, dan makanan yang biasa saja.
Kalimat Baru: ","Tempat ini memiliki pelayanan yang sangat baik, makanan yang sangat enak, dan staff yang sangat ramah.","Tempat ini memiliki staff dan pelayanan yang luar biasa, makanan yang enak, dan harga yang tepat.","Tempat ini memiliki staff yang baik, pelayanan yang baik, dan makanan yang enak.","Tempat ini memiliki staff yang sangat ramah, pelayanan yang bagus, dan makanan yang enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staff yang sangat ramah, layanan yang cepat dan luar biasa dan makanan sederhana dimasak dengan benar!
Kalimat Baru: ","Staff yang kasar, layanan cepat dan buruk dan makanan yang buruk di daerah ini.","Staff yang sangat kasar, layanan yang lambat dan makanannya hambar.",Staff yang sangat kasar dan layanan yang sangat lambat!,"Staff yang sangat kasar, layanan yang lambat dan makanan yang buruk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu bukan sesuatu yang spesial dalam suatu bisnis.
Kalimat Baru: ",Itu adalah sesuatu yang spesial tentang bisnis mereka.,Itu sesuatu yang spesial dalam bisnis mereka.,Ini adalah sesuatu yang spesial dalam sebuah bisnis.,Itu adalah sesuatu yang istimewa dalam sebuah bisnis.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu adalah penemuan langka dalam sebuah bisnis.
Kalimat Baru: ",Itu adalah penemuan yang luar biasa dalam sebuah bisnis.,Itu adalah penemuan yang luar biasa dalam sebuah bisnis.,Itu adalah penemuan yang luar biasa dalam sebuah bisnis.,Itu adalah penemuan spesial dalam sebuah bisnis.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya buruk dan makanannya tidak enak.
Kalimat Baru: ",Pelayanannya baik dan makanannya enak.,Pelayanan yang baik dan makanannya enak secara keseluruhan.,Pelayanannya bagus dan makanannya enak.,Pelayanannya baik dan makanannya enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya sangat baik dan makanannya sangat enak.
Kalimat Baru: ",Pelayanannya tidak baik dan makanannya tidak dimasak dengan benar.,Pelayanannya buruk dan makanannya tidak enak.,Pelayanan yang buruk dan makanan yang buruk.,Pelayanannya buruk dan makanannya tidak enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat buruk, jangan memesan dari tempat ini.
Kalimat Baru: ","Tempat ini sangat bagus, kamu harus memesan dari mereka!","Sangat bagus, memesan lebih banyak dari yang lain.","Tempat ini sangat bagus, kamu harus memesan dari mereka!","Sangat bagus, saya akan memesan lagi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat luar biasa, pastikan memesan dari tempat ini.
Kalimat Baru: ",Jangan memesan dari tempat ini.,Tidak perlu memesan dari tempat ini.,"Tidak, pastikan kamu memesan dari tempat yang luar biasa.","Tidak, pastikan Anda memesan dari tempat yang sah."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suasananya membosankan dan staff memperlakukanmu dengan buruk.
Kalimat Baru: ",Suasana yang selalu baik di sini.,Suasana yang selalu baik dan staff yang sangat ramah!,"Suasana yang selalu baik, staff yang hebat, dan makanan yang enak.","Suasana yang selalu menyenangkan, staff yang luar biasa, makanan yang tidak begitu bagus."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suasananya menyenangkan dan staff memperlakukanmu dengan baik.
Kalimat Baru: ",Suasana yang tidak menyenangkan dan staff yang kasar.,"Suasana yang buruk, staff yang kasar, dan makanan yang teruk.",Suasana yang buruk dan staff yang kasar.,Suasaanya tidak memuaskan dan staff tidak memperlakukanku dengan baik sama seperti di rumahku.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: setelah mati saya tidak akan membeli unit ini.
Kalimat Baru: ","setelah mati, saya akan mempertimbangkan untuk membeli unit ini lagi.",saya akan membeli unit ini lagi jika harganya turun.,setelah mati saya akan membeli unit ini lagi,setelah mati saya akan terus membeli unit ini
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: setelah mati saya akan membeli unit yang lebih baik.
Kalimat Baru: ",saya tidak bakal pernah membeli unit ini lagi,setelah mati saya akan membeli unit yang lebih baik yang lebih mahal,setelah mati saya akan membeli unit yang lebih besar.,saya membeli unit ini untuk menggantikan unit saya yang hilang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak suka koleksi desain bintang mereka.
Kalimat Baru: ",Saya suka koleksi desain bintang mereka.,Saya suka koleksi bintang-dihombik mereka.,Saya suka koleksi desain bintang mereka.,Saya suka koleksi desain bintang mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka koleksi desain bintang mereka.
Kalimat Baru: ",Saya benci koleksi desain bintang mereka.,Saya benci koleksi desain bintang mereka.,Saya benci koleksi desain bintang mereka.,Saya lebih suka desain bintang mereka yang lain.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bahan-bahannya sudah lama.
Kalimat Baru: ",Bahan-bahannya telah jadi.,Bahan-bahannya masih dalam kondisi yang cukup baik.,Bahan-bahannya baru dan segar.,Bahan-bahan yang digunakan adalah bahan-bahan berkualitas tinggi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kamu bisa tau betapa segar bahan-bahannya.
Kalimat Baru: ",Kamu bisa tau betapa segar dan berkualitas tinggi dari bahan-bahannya.,Kamu bisa tau segarannya dari yang ini.,Kamu tidak bisa tau bagaimana segar dan berkualitas tinggi erosa membuat produknya.,Kamu tidak bisa tau bahwa bahan-bahan ini segar dan berkualitas tinggi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika itu datang seharusnya kami mengembalikannya.
Kalimat Baru: ","Tapi begitu dia pergi, saya sangat kesal.","Ketika itu akhirnya datang, ia melakukan apa yang seharusnya dilakukan.","Ketika itu akhirnya datang, itu mengecewakan.","Ketika itu akhirnya datang, itu buruk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika itu datang, kami sangat bahagia.
Kalimat Baru: ","Ketika itu akhirnya datang, kami sangat kecewa.",Waktu yang sulit.,"Ketika itu tidak datang, kami sangat kecewa.","Ketika itu akhirnya datang, kami sangat kecewa."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu tidak benar sama sekali.
Kalimat Baru: ","Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu salah.","Mengklaim sebagai pizza terbaik di Arizona, saya rasa saya harus mengatakan sebaliknya.",Pizza terbaik yang pernah saya makan di Arizona.,"Mengklaim sebagai pizza terbaik yang ada di Arizona, dan saya katakan itu tidak benar sama sekali."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Grimaldi adalah tempat pizza yang selalu luar biasa konsistennya di Arizona.
Kalimat Baru: ",Grorydi adalah tempat pizza biasa saja.,Grieldi adalah tempat pizza terburuk di Arizona.,Grimaldi adalah tempat pizza yang sangat buruk di Arizona.,Grimaldi bukanlah tempat pizza yang konsisten di Arizona.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya beri tahu kamu, tempat ini tidak ramai sama sekali!
Kalimat Baru: ","Saya memberi tahu Anda, tempat ini ramai.","Saya beri tahu kamu, tempat ini ramai dan tidak bisa mengandalkan layanan pelanggannya.","Saya beri tahu kamu, tempat ini ramai dan saya tidak yakin dapat menikmatinya.",Saya memberi tahu mereka bahwa tempat ini sangat ramai dan kami tidak terlah berada di tempat yang ramai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat ini sangat ramai.
Kalimat Baru: ",Tempat ini tidak terlalu ramai.,Tempat ini sangat tenang.,Tempat ini tidak ramai dan saya nyaman berada di sana.,Tempat ini tidak ramai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah membaca ulasan dari para ahli anggur bahwa itu tidak berhasil sama sekali.
Kalimat Baru: ",saya telah membaca banyak ulasan tentang anggur ini dan tidak ada yang mengatakan itu berhasil,saya telah membaca banyak ulasan dari para ahli anggur bahwa itu sangat berhasil.,saya telah membaca banyak ulasan dari para ahli anggur tentang cara ini.,saya telah membaca banyak ulasan dari para ahli anggur bahwa itu sangat berhasil.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah membaca ulasan dari para ahli anggur bahwa itu tidak berhasil.
Kalimat Baru: ",saya telah membaca banyak ulasan dari para ahli anggur tentang cara ini,saya telah membaca banyak ulasan dari para ahli anggur bahwa ini berhasil.,saya telah membaca banyak ulasan dari para ahli anggur dan itu sangat berhasil.,"saya telah membaca banyak ulasan dari para ahli anggur, dan itu sangat berhasil."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sayangnya, saya memesan sampel tamale.
Kalimat Baru: ",Saya memesan sampel tamale dan itu buruk.,Saya memesan sampel tamale dan itu buruk.,Saya memesan sampel tamale dan itu sangat enak.,Saya memesan sampel tamale.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya mencoba sampel tamale.
Kalimat Baru: ","Saya mencoba sampel tamale, dan itu sangat buruk.",Saya mencoba beberapa tamale dan semuanya sangat buruk.,"Saya mencoba beberapa hidangan, termasuk tamale.",Saya mencoba beberapa tamale dan semuanya enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sayangnya, bukan blackberry dan ponselku.
Kalimat Baru: ","seharusnya, bukan blackberry atau ponsel saya yang gagal.","seharusnya, bukan blackberry dan ponsel saya",saya membeli ini untuk blackberry dan itu bagus seperti yang diiklankan,"seharusnya, bukan blackberry dan ponsel saya"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bukan blackberryku atau ponselku
Kalimat Baru: ",jadi itu adalah blackberry saya.,itu adalah blackberry saya atau ponsel saya,ini adalah blackberry saya dan berfungsi dengan baik.,ini adalah blackberry saya dan bekerja dengan sempurna.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu tidak muat di bak mandi saya, yang merupakan ukuran standar.
Kalimat Baru: ","itu muat di bak mandi saya, ukuran normal.",itu persis apa yang saya perlukan untuk bak mandi saya,"itu cocok di bak mandi saya, ukuran sempurna.","itu muat di bak mandi saya, yang merupakan ukuran standar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: muat di bak mandi saya, yang ukurannya standar.
Kalimat Baru: ","tidak muat di bak mandi saya, yang berukuran normal.","tidak muat di bak mandi saya, yang berukuran normal.","tidak muat di bak mandi saya, yang ukurannya standar.","tidak muat di bak mandi saya, yang ukurannya standar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Thai basil pasta keluar dengan hangat dan pedas.
Kalimat Baru: ",Thai basil pasta tidak keluar hangat atau pedas.,Thai basil pasta keluar dengan dingin dan hambar.,Thai basil pasta tidak keluar hangat atau pedas.,Thai basil pasta keluar dengan dingin dan hambar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pasta keluar dengan baik dan enak.
Kalimat Baru: ",Pasta dan sayur-mayor keduanya hambar bagi saya.,Pasta dan salads keduanya tidak begitu enak.,Pasta itu keluar dengan encer dan hambar.,Pasta dan salad terlihat mampir.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makan malam di sini kemarin malam dan itu sangat buruk.
Kalimat Baru: ","Makan siang yang bagus, makan malam yang enak.",Makan malam disini sangat enak.,Makan malam di sini selalu luar biasa.,Makan malamnya di sini dan itu sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makan malam di sini kemarin malam dan itu sangat bagus.
Kalimat Baru: ",Makan malamnya juga tidak terlalu bagus.,Makan malam di sini bagus.,Makan malam yang buruk dan layanan pelanggan yang jelek.,Makan malam disini sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya Tuhan, aku benar-benar tidak suka pei wei.
Kalimat Baru: ","Ah, pei wei, mengapa tidak?","Ya Tuhan, saya benar-benar mencintai pei wei.","Ya Tuhan, aku benar-benar menyukai pei wei.",Saya suka pei wei.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya Tuhan, aku suka pei wei.
Kalimat Baru: ","Tidak, aku tidak suka pei wei.","Ya Tuhan, aku benci pei wei.","Tidak, aku tidak suka pei wei.","Tidak, aku tidak suka pei wei."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka berusaha dengan keras untuk membuat saya kembali tetapi saya menolak.
Kalimat Baru: ",Mereka berusaha dengan baik untuk membuat saya kembali.,Mereka berusaha membantu membuat saya kembali bermain golf.,Mereka berusaha membantu membuat saya merasa sangat nyaman.,Mereka membuat saya merasa sangat hadir dan diperhatikan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka tidak perlu mencoba dengan keras untuk membuat saya kembali tetapi saya tetap melakukannya.
Kalimat Baru: ",Mereka perlu mencoba lebih keras untuk membuat saya tetap datang.,Mereka perlu mencoba lebih baik memikirkan kiat-kiat yang bagus.,Mereka perlu mencoba lebih baik dengan pelayanannya.,Mereka membutuhkan lebih banyak pelatihan dan kemampuan komunikasi yang lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi jauh lebih buruk.
Kalimat Baru: ",menurut saya Anda biasanya melewati kualitas yang buruk.,"semakin baik Anda membasainya, semakin lama Anda mempertahankannya, semakin lama umur luarnya.","setelah Anda melewati setengah jalan, kualitas yang sama berlanjut.","Anda melewati setengah jalan, tapi tetap bisa menikmati acara yang luar biasa."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi sedikit lebih buruk.
Kalimat Baru: ",Anda melewati setengah jalan dan Anda masih berada di tempat yang luar biasa.,Meskipun begitu Anda melewati seluruh jalan.,"Meskipun begitu Anda melewati setengah jalanan, kualitasnya sama.",Anda melewati setengah jalan dan Anda sudah berada di tempat yang benar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu mengeluarkan suara mendengung saat perangkat dicolokkan.
Kalimat Baru: ",tidak mengeluarkan suara apa pun saat dihubungkan ke ponsel,tidak mengeluarkan suara sama sekali saat dipasang,itu membuat suara yang sangat bagus saat dicolip.,tidak mengeluarkan suara sama sekali saat dicolok.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu mengeluarkan suara mendengung yang berguna saat perangkat dicolokkan
Kalimat Baru: ",itu mengeluarkan suara yang cukup besar saat dicolip.,itu mengeluarkan suara yang dapat didengar dan membuat suara yang luar biasa.,itu mengeluarkan suara yang bisa didengar dan ponsel akan mulai memar.,itu mengeluarkan suara yang bisa dibedakan sebagai signal yang bisa dibilang cukup baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak dapat dengan mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.
Kalimat Baru: ",sangat mudah dipindahkan ke berbagai tempat tergantung pada kebutuhannya.,sangat mudah dipindahkan ke berbagai lokasi karena komponennya dapat diperluas,sangat mudah dipindahkan ke berbagai lokasi.,sulit pindah ke lokasi yang berbeda karena batas yang ditetapkan oleh perusahaan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.
Kalimat Baru: ",ini sangat sulit untuk dipindahkan ke lokasi mana pun,tidak mudah dipindahkan ke lokasi mana pun,Sangat susah dipindahkan ke lokasi yang berbeda.,bukan pilihan yang baik untuk saya karena mudah dipindahkan ke berbagai lokasi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dengan tambahan biaya - pelayanan buruk!
Kalimat Baru: ","Dengan harga yang mereka kenakan, mereka memberikan pelayanan yang sangat baik.",Lebih murah dari pergi ke Starbucks dan sarapan yang enak.,Dengan tambahan biaya - pelayanan sempurna!,"Tentu saja kami membayar untuk itu, tapi kami berharap mendapatkan yang lebih baik."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tanpa biaya apapun - pelayanan hebat!
Kalimat Baru: ",Harganya terlalu mahal - pelayanan buruk!,Terlalu mahal - pelayanan buruk!,Biaya yang mahal - pelayanan buruk!,"Kiriman yang sangat lambat, dan layanan pelanggan tidak begitu bagus."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pemilik menjawab, saya tidak akan berbagi separuh denganmu.
Kalimat Baru: ",Pemilik memberikan saya sedikit tambahan waktu untuk berbagi dengan kamu.,Pemilik akan memberikan rekomendasi makanan yang enak.,Pemilik sangat ramah dan memperlakukan saya seperti teman.,Pemilik sangat ramah dan menyukai apa yang ia lakukan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pemilik menjawab, saya akan berbagi separuh dengan kamu.
Kalimat Baru: ",Pemilik tidak menjawab dengan benar.,"Pemilik menjawab, saya akan membagikan beberapa makanan gratis denganmu.",Pemilik memberikan kami sebuah formulir sehingga kami dapat meninggalkan bonus kami.,"Pemilik menjawab, saya akan memberikan semuanya kepada kamu."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka mencoba mengambil keuntungan dari saya karena saya masih muda.
Kalimat Baru: ",Mereka mencoba membantu saya mendapatkan pinjaman yang saya perlukan.,Mereka mencoba mengambil keuntungan dari saya karena saya dewasa.,Mereka mencoba untuk mengambil keuntungan dari saya karena saya tua.,Mereka mencoba membantu saya ketika saya membutuhkannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka sangat adil dan menghormati saya walaupun saya masih muda.
Kalimat Baru: ",Mereka sangat kasar dan meremehkan.,"Mereka sangat tidak adil, dan menghargai saya apa adanya.",Mereka sangat kasar dan tidak menghormati siapa pun.,Mereka sangat kasar dan meremehkan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Barnya menyuguhkan sedikit pilihan.
Kalimat Baru: ",Penampilan yang bagus dan bar yang sempurna.,Bar ini menyajikan banyak pilihan yang bervariasi.,Bar ini menyajikan banyak pilihan hidangan.,Bar ini menyajikan banyak pilihan yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bar terbaik di kota.
Kalimat Baru: ",Bar kecil yang buruk di dekat Universitas Tempe.,"Bar terbaik di kota, tapi pelayanannya tidak terlalu bagus.",Bar yang jelek di kota.,Bar terburuk di kota.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: batangannya mengandung nektar agave yang tidak dihasilkan secara alami.
Kalimat Baru: ","batangannya mengandung agave yang murni, bukan nektar.",batangannya mengandung bahan-bahan alami.,batangannya mengandung nektar agave yang asli.,batangannya mengandung nektar agave yang diproduksi secara alami.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: batangannya mengandung bahan tidak alami yang disebut nektar agave.
Kalimat Baru: ",batangannya mengandung bahan-bahan alami yang disebut natrium olebentaminat dan xylitol.,batangannya mengandung bahan yang tidak aman yang disebut nektar agave.,batangannya mengandung bahan yang tidak aman yang disebut nektar agave.,batangannya mengandung bahan-bahan yang tidak aman termasuk nektar agave.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sarapan bagel sandwich, itu tidak terlalu enak.
Kalimat Baru: ","Salam, bagel sandwich saya juga enak.","Saya sarapan bagel sandwich, itu sangat enak.","Saya sarapan bagel sandwich, itu sangat enak.",Saya sarapan bagel sandwich dan itu adalah makanan yang paling enak saat liburan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sarapan bagel sandwich dan itu enak!
Kalimat Baru: ",Saya sarapan bagel sandwich dan itu buruk!,Saya sarapan bagel sandwich dan itu buruk!,Saya sarapan bagel sandwich dan itu buruk!,Salurannya adalah bagel sandwich dan itu sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tangan saya terkena minyak saat memasak steak atau falafel.
Kalimat Baru: ",tangan saya terkena minyak saat memegang cangkir.,Tangan saya tidak terkena minyak saat memasak steak atau falafel.,Tangan saya tidak terkena minyak saat memasak steak atau falafel.,Tangan saya tidak terkena minyak saat memasak steak atau falafel.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak ada lagi minyak di tangan saya saat memasak steak atau falafel.
Kalimat Baru: ",ada banyak minyak di atas pancinya saat memasak steak atau falafel.,"sudah bersalah, saya hanya memerlukan sedikit minyak di tangan saya saat memasak steak atau falafel.",kami memiliki banyak minyak di tangan kami saat memasak steak dan falafel.,semuanya tergelincir di sekitar saat memasak steak dan falafel.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya buruk karena mereka terus mengabaikan meja kami.
Kalimat Baru: ",Pelayanannya sangat bagus karena mereka memperhatikan semua pelanggan.,Pelayanannya sempurna karena mereka memperhatikan kami.,Pelayanannya bagus karena mereka memperhatikan setiap pelanggan.,Pelayanannya sempurna karena mereka memperhatikan semua pelanggan.
