prompt,expected_response,model,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Layanan pelanggan di sana buruk.
Kalimat Baru: ",Layanan pelanggan di sana bagus.,fine-tuned,Layanan pelanggan di sana adalah yang terbaik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Layanan pelanggan di sana bagus.
Kalimat Baru: ",Layanan pelanggan di sana buruk.,fine-tuned,Layanan pelanggan di sana sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: margin keamanannya sangat buruk karena meluap
Kalimat Baru: ",jelas batas keamanan dari luapan jauh lebih kecil.,fine-tuned,margin keamanannya cukup bagus karena tidak meluap.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jelas batas keamanan dari luapan jauh lebih kecil.
Kalimat Baru: ",margin keamanannya sangat buruk karena meluap,fine-tuned,jelas batas keamanan dari luapan ini sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan mengirimkan siapapun ke sana.
Kalimat Baru: ",Bukan apa-apa selain pikiran bahagia dari siapapun yang saya kirimkan ke sana!,fine-tuned,Saya akan mengirimkan semua orang ke tempat ini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan apa-apa selain pikiran bahagia dari siapapun yang saya kirimkan ke sana!
Kalimat Baru: ",Saya tidak akan mengirimkan siapapun ke sana.,fine-tuned,Bukan apa-apa selain pikiran sedih dari siapapun yang saya kirimkan ke sana!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koktail saya sangat kurang.
Kalimat Baru: ",Koktail saya benar-benar luar biasa.,fine-tuned,Koktailnya enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koktail saya benar-benar luar biasa.
Kalimat Baru: ",Koktail saya sangat kurang.,fine-tuned,Koktailnya tidak enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini hoodie yang bagus dan dibuat dengan baik.
Kalimat Baru: ",ini hoodie yang bagus dan dibuat dengan sangat baik.,fine-tuned,ini hoodie yang buruk dan sangat buruk dibuat dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini hoodie yang bagus dan dibuat dengan sangat baik.
Kalimat Baru: ",ini hoodie yang bagus dan dibuat dengan baik.,fine-tuned,ini hoodie yang buruk dan sangat buruk dibuat dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Resep-resep ini tidak menyenangkan untuk dibuat.
Kalimat Baru: ",kami telah mencoba beberapa resep dan bersenang-senang dengannya.,fine-tuned,Referensi yang bagus adalah resep-resep ini sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kami telah mencoba beberapa resep dan bersenang-senang dengannya.
Kalimat Baru: ",Resep-resep ini tidak menyenangkan untuk dibuat.,fine-tuned,kami telah mencoba banyak resep dan tidak ada yang berhasil.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Parkir: tidak ada tanda atau apapun, jadi kamu hanya harus menebak.
Kalimat Baru: ",Tanda parkir yang sangat baik memudahkan parkir.,fine-tuned,"Parkir: sangat baik, tidak ada tanda - atau sesuatu yang menunjukkan bahwa ada parkir terbatas."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tanda parkir yang sangat baik memudahkan parkir.
Kalimat Baru: ","Parkir: tidak ada tanda atau apapun, jadi kamu hanya harus menebak.",fine-tuned,"Tanda parkir sangat buruk, sulit untuk menemukan tempat yang kosong."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: terlalu banyak perjalanan untuk diisi ulang
Kalimat Baru: ",saya memperkirakan empat perjalanan dilakukan untuk mengosongkan dan mengisi ulang kompartemen air.,fine-tuned,tidak ada perjalanan yang terisi penuh.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memperkirakan empat perjalanan dilakukan untuk mengosongkan dan mengisi ulang kompartemen air.
Kalimat Baru: ",terlalu banyak perjalanan untuk diisi ulang,fine-tuned,saya memperkirakan satu perjalanan untuk mengosongkan dan mengisi ulang kompartemen air.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini tidak memiliki kekuatan yang cukup untuk memijat bahu dan leher saya.
Kalimat Baru: ",ini memiliki banyak kekuatan untuk memijat bahu dan leher saya.,fine-tuned,ini memiliki cukup kekuatan untuk memijat bahu dan leher saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini memiliki banyak kekuatan untuk memijat bahu dan leher saya.
Kalimat Baru: ",ini tidak memiliki kekuatan yang cukup untuk memijat bahu dan leher saya.,fine-tuned,ini memiliki terlalu banyak kekuatan untuk memijat bahu dan leher saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Birnya enak dan dingin!
Kalimat Baru: ",Rasa birnya fantastis.,fine-tuned,Birnya panas dan tidak enak!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Rasa birnya fantastis.
Kalimat Baru: ",Birnya enak dan dingin!,fine-tuned,Rasa birnya buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menggunakan produk ini selama lima hari berturut-turut sebelum kehabisan.
Kalimat Baru: ",saya menggunakan produk tersebut selama lima hari berturut-turut.,fine-tuned,saya menggunakan produk ini selama beberapa hari dan tidak menyukainya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya menggunakan produk tersebut selama lima hari berturut-turut.
Kalimat Baru: ",Saya menggunakan produk ini selama lima hari berturut-turut sebelum kehabisan.,fine-tuned,saya menggunakan produk tersebut selama beberapa hari terakhir dan itu tidak terlalu baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sebagai gantinya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan baik-baik saja.
Kalimat Baru: ",sebaliknya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan menjadi hebat.,fine-tuned,sebagai gantinya saya akan merekomendasikan pembersih uap buble dan Anda akan lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sebaliknya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan menjadi hebat.
Kalimat Baru: ",sebagai gantinya saya akan merekomendasikan pembersih lembut cetaphil dan Anda akan baik-baik saja.,fine-tuned,sebaliknya saya akan merekomendasikan pembersih uap pijit kecil dan Anda akan lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami mungkin tidak akan kembali.
Kalimat Baru: ",Kami pastinya akan kembali!,fine-tuned,Kami akan kembali!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami pastinya akan kembali!
Kalimat Baru: ",Kami mungkin tidak akan kembali.,fine-tuned,Kami tidak akan kembali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Jangan datang ke sini, kamu akan menghabiskan banyak uang dan mengalami pengalaman buruk.
Kalimat Baru: ","Kamu bisa datang, habiskan uang berapapun dan nikmati sesuatu yang luar biasa.",fine-tuned,Pergi ke sini dan kamu akan mengalami pengalaman yang sama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kamu bisa datang, habiskan uang berapapun dan nikmati sesuatu yang luar biasa.
Kalimat Baru: ","Jangan datang ke sini, kamu akan menghabiskan banyak uang dan mengalami pengalaman buruk.",fine-tuned,"Kamu bisa datang, habiskan uangmu dan nikmati sesuatu yang luar biasa."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tutupnya adalah bagian terbaik dari ansambel pot.
Kalimat Baru: ",semuanya bagus tentang ansambel pot,fine-tuned,tutupnya adalah bagian terburuk dari ansambel pot.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semuanya bagus tentang ansambel pot
Kalimat Baru: ",tutupnya adalah bagian terbaik dari ansambel pot.,fine-tuned,semuanya buruk tentang ansambel pot.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: menurutku itu tidak akan membuat sup sebaik yang lama.
Kalimat Baru: ",Saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama juga.,fine-tuned,menurutku itu akan membuat sup yang lebih baik
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama juga.
Kalimat Baru: ",menurutku itu tidak akan membuat sup sebaik yang lama.,fine-tuned,Saya membayangkan itu akan membuat sup lebih enak daripada yang lama juga.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pintu tidak bisa dibuka sama sekali.
Kalimat Baru: ",Pintunya macet.,fine-tuned,Pintu depan dapat dibuka dengan mudah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pintunya macet.
Kalimat Baru: ",Pintu tidak bisa dibuka sama sekali.,fine-tuned,Pintunya tidak macet.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsi dan harganya tidak bisa diterima!
Kalimat Baru: ",Porsi dan harganya baik!,fine-tuned,Porsi dan harganya sempurna!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsi dan harganya baik!
Kalimat Baru: ",Porsi dan harganya tidak bisa diterima!,fine-tuned,Porsi dan harganya tidak terlalu bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi terburuk untuk dibawa pulang atau makan di sini!
Kalimat Baru: ",Sushi terbaik untuk dibawa pulang atau makan di sini!,fine-tuned,Sushi yang terbaik untuk dibawa pulang atau makan di sini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sushi terbaik untuk dibawa pulang atau makan di sini!
Kalimat Baru: ",Sushi terburuk untuk dibawa pulang atau makan di sini!,fine-tuned,Sushi yang buruk untuk dibawa pulang atau makan di sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Teman saya dan saya berhenti datang beberapa tahun belakang.
Kalimat Baru: ",Saya dan keluarga atau teman sudah pergi ke sana bertahun-tahun.,fine-tuned,Teman saya dan saya berhenti datang untuk perayaan hari jadi ketiga kami.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya dan keluarga atau teman sudah pergi ke sana bertahun-tahun.
Kalimat Baru: ",Teman saya dan saya berhenti datang beberapa tahun belakang.,fine-tuned,Saya dan keluarga atau teman sudah pergi ke sana berkali-kali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka datang tanpa instruksi untuk ditemukan dan tidak banyak lagi yang bisa dikatakan
Kalimat Baru: ",mereka datang dengan instruksi lengkap dan tidak banyak lagi yang bisa dikatakan.,fine-tuned,mereka datang dengan instruksi yang jelas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka datang dengan instruksi lengkap dan tidak banyak lagi yang bisa dikatakan.
Kalimat Baru: ",mereka datang tanpa instruksi untuk ditemukan dan tidak banyak lagi yang bisa dikatakan,fine-tuned,mereka datang dengan instruksi yang sangat jelas dan tidak ada yang bisa dikatakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sudah ke sini beberapa kali dan setiap saat selalu mengecewakan.
Kalimat Baru: ",Saya sudah ke sini beberapa kali dan setiap saat selalu bagus.,fine-tuned,Saya sudah ke sini beberapa kali dan setiap saat selalu memuaskan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sudah ke sini beberapa kali dan setiap saat selalu bagus.
Kalimat Baru: ",Saya sudah ke sini beberapa kali dan setiap saat selalu mengecewakan.,fine-tuned,Saya sudah ke sini beberapa kali dan setiap saat selalu sama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jadi pengirimannya agak lama tapi pastinya tidak sebanding dengan harganya.
Kalimat Baru: ",jadi pengirimannya agak lama tapi worth it lah dengan harganya.,fine-tuned,jadi pengiriman menjadi agak lama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jadi pengirimannya agak lama tapi worth it lah dengan harganya.
Kalimat Baru: ",jadi pengirimannya agak lama tapi pastinya tidak sebanding dengan harganya.,fine-tuned,jadi pengirimannya agak lama tapi itu worth it dengan harga segitu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sangat sering menggunakan ulasan ini sehingga saya tidak ingin mengembalikannya.
Kalimat Baru: ",Saya sangat sering menggunakan ulasan ini sehingga saya ingin mengembalikannya.,fine-tuned,Saya sangat jarang menggunakan ulasan ini sehingga saya senang mengembalikannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sangat sering menggunakan ulasan ini sehingga saya ingin mengembalikannya.
Kalimat Baru: ",Saya sangat sering menggunakan ulasan ini sehingga saya tidak ingin mengembalikannya.,fine-tuned,Saya sangat jarang menggunakan ulasan ini sehingga saya ingin mempertahankannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya buruk dan lambat.
Kalimat Baru: ",Staffnya sangat ramah dan sigap.,fine-tuned,Staffnya ramah dan cepat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staffnya sangat ramah dan sigap.
Kalimat Baru: ",Staffnya buruk dan lambat.,fine-tuned,Staffnya tidak ramah atau sigap.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tapi biarkan cerita ini mulai di sore hari ini.
Kalimat Baru: ","Cerita mulai pada sore hari ini, tepat waktu.",fine-tuned,Tapi jangan mulai cerita ini sekarang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Cerita mulai pada sore hari ini, tepat waktu.
Kalimat Baru: ",Tapi biarkan cerita ini mulai di sore hari ini.,fine-tuned,"Cerita dimulai beberapa minggu yang lalu, pada waktu yang sama."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: dengan kata lain Anda harus membobolnya secara menjengkelkan.
Kalimat Baru: ","Anda harus mendobraknya, dengan kata lain.",fine-tuned,dengan kata lain Anda akan memahaminya
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anda harus mendobraknya, dengan kata lain.
Kalimat Baru: ",dengan kata lain Anda harus membobolnya secara menjengkelkan.,fine-tuned,"Anda harus membobolnya, dengan kata lain."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: masalah dengan akrilik yang saya temukan adalah faktor tipping.
Kalimat Baru: ",faktor tipnya bagus dengan yang akrilik ini,fine-tuned,tidak ada masalah dengan akrilik yang saya temukan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: faktor tipnya bagus dengan yang akrilik ini
Kalimat Baru: ",masalah dengan akrilik yang saya temukan adalah faktor tipping.,fine-tuned,faktor positifnya bagus dengan yang akrilik ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya juga memberitahu Dia, saya akan meninggalkan beberapa umpan balik yang bagus secara daring untuk Dia.
Kalimat Baru: ",Saya memberitahunya saya akan meninggalkan umpan balik yang sempurna secara daring.,fine-tuned,"Saya juga memberitahu Dia, saya akan meninggalkan beberapa umpan balik yang bagus untuk Dia."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya memberitahunya saya akan meninggalkan umpan balik yang sempurna secara daring.
Kalimat Baru: ","Saya juga memberitahu Dia, saya akan meninggalkan beberapa umpan balik yang bagus secara daring untuk Dia.",fine-tuned,Saya memberitahunya saya tidak akan meninggalkan umpan balik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lokasi ini terlalu kecil.
Kalimat Baru: ","Namun, itu diberikan dengan lokasi yang lebih kecil.",fine-tuned,Lokasi ini sangat bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Namun, itu diberikan dengan lokasi yang lebih kecil.
Kalimat Baru: ",Lokasi ini terlalu kecil.,fine-tuned,"Namun, itu diberikan dengan lokasi yang lebih baik."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pekerjaan yang buruk pada kuku tangan dan kaki.
Kalimat Baru: ",Kerja yang bagus pada kuku tangan dan kaki.,fine-tuned,Pekerjaan yang bagus pada kuku tangan dan kaki.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kerja yang bagus pada kuku tangan dan kaki.
Kalimat Baru: ",Pekerjaan yang buruk pada kuku tangan dan kaki.,fine-tuned,Kerja buruk pada kuku tangan dan kaki saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak mengisi daya ponsel saya dengan baik.
Kalimat Baru: ",kemudian ke telepon saya dan mengisi daya telepon saya.,fine-tuned,menempuh perjalanan penuh tanpa pengisian daya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kemudian ke telepon saya dan mengisi daya telepon saya.
Kalimat Baru: ",Tidak mengisi daya ponsel saya dengan baik.,fine-tuned,lalu saya menelepon dan mereka mengatakan mereka tidak memiliki baterai yang sesuai dengan telepon.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia tidak bisa dan tidak akan menjelaskan dirinya.
Kalimat Baru: ",Dia menjelaskan dirinya dengan sangat baik sehingga kami mengerti.,fine-tuned,Dia akan menjelaskan dengan baik bagaimana ia bisa melakukannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia menjelaskan dirinya dengan sangat baik sehingga kami mengerti.
Kalimat Baru: ",Dia tidak bisa dan tidak akan menjelaskan dirinya.,fine-tuned,Dia tidak menjelaskan dirinya dengan cukup baik sehingga kami bingung.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka tidak memberitahu kami bahwa makan di bar adalah pilihan.
Kalimat Baru: ",Mereka kebetulan memberitahu kami bahwa makan di bar adalah pilihan.,fine-tuned,Mereka memberitahu kami bahwa makan di bar adalah pilihan yang bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka kebetulan memberitahu kami bahwa makan di bar adalah pilihan.
Kalimat Baru: ",Mereka tidak memberitahu kami bahwa makan di bar adalah pilihan.,fine-tuned,Mereka tidak memberitahu kami bahwa makan di bar adalah pilihan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: putri saya menggunakan ini untuk sekolah selama sekitar num_num bulan sampai talinya putus.
Kalimat Baru: ",putri saya telah menggunakan ini untuk sekolah selama beberapa bulan dan masih terlihat baru,fine-tuned,putri saya menggunakan ini untuk sekolah selama sekitar num_num bulan sampai talinya putus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: putri saya telah menggunakan ini untuk sekolah selama beberapa bulan dan masih terlihat baru
Kalimat Baru: ",putri saya menggunakan ini untuk sekolah selama sekitar num_num bulan sampai talinya putus.,fine-tuned,putri saya telah menggunakan ini untuk sekolah selama beberapa bulan dan masih dalam satu produk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jangan membeli ini kecuali Anda suka mengganti pemanggang roti.
Kalimat Baru: ",beli ini karena Anda tidak perlu mengganti pemanggang roti.,fine-tuned,bukan pilihan yang baik untuk penggiling roti
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: beli ini karena Anda tidak perlu mengganti pemanggang roti.
Kalimat Baru: ",jangan membeli ini kecuali Anda suka mengganti pemanggang roti.,fine-tuned,"jangan membeli ini, beli yang lebih murah"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini adalah toko benang terburuk di daerah metro.
Kalimat Baru: ",Ini adalah toko benang terbaik di daerah metro.,fine-tuned,Ini adalah toko benang terbaik di daerah metro.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini adalah toko benang terbaik di daerah metro.
Kalimat Baru: ",Ini adalah toko benang terburuk di daerah metro.,fine-tuned,Ini adalah toko benang terburuk di daerah metro.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: cukup hambar dan mereka membuat Anda memesan begitu banyak.
Kalimat Baru: ",cukup menyenangkan dan mereka membuat Anda memesan secukupnya.,fine-tuned,tidak hambar dan mereka membuat Anda memesan apa yang Anda inginkan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: cukup menyenangkan dan mereka membuat Anda memesan secukupnya.
Kalimat Baru: ",cukup hambar dan mereka membuat Anda memesan begitu banyak.,fine-tuned,tidak menyenangkan dan mereka membuat Anda memesan tanpa meminta.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Zester sangat sulit dibersihkan setelah digunakan.
Kalimat Baru: ",zester cukup mudah dibersihkan setelah digunakan.,fine-tuned,Zester sangat mudah dibersihkan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: zester cukup mudah dibersihkan setelah digunakan.
Kalimat Baru: ",Zester sangat sulit dibersihkan setelah digunakan.,fine-tuned,zester tidak mudah dibersihkan setelah digunakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mac and cheese cabe hijaunya mengerikan.
Kalimat Baru: ",Mac and cheese cabe hijau sangat menakjubkan.,fine-tuned,Mac and cheese cabe hijaunya luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mac and cheese cabe hijau sangat menakjubkan.
Kalimat Baru: ",Mac and cheese cabe hijaunya mengerikan.,fine-tuned,Cabe hijau mac and cheese sangat menjijikan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.
Kalimat Baru: ",sangat cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.,fine-tuned,suka sekali menggunakan pengganti blender saya yang berumur num_num tahun yang masih berfungsi
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sangat cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.
Kalimat Baru: ",tidak cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.,fine-tuned,tidak cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsinya kecil, makanannya disajikan dingin, tidak segar, dan hambar.
Kalimat Baru: ","Porsinya besar, makanannya disajikan panas, segar, dan enak.",fine-tuned,"Porsinya enak, makanannya segar dan enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Porsinya besar, makanannya disajikan panas, segar, dan enak.
Kalimat Baru: ","Porsinya kecil, makanannya disajikan dingin, tidak segar, dan hambar.",fine-tuned,"Porsinya kecil, makanannya dingin, dan hambar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tidak akan datang kembali dengan teman-teman.
Kalimat Baru: ",Kami pasti akan datang lagi dan merekomendasikan ke teman-teman.,fine-tuned,Saya akan datang kembali untuk kunjungan berikutnya.
