query,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib tidak berlemak dan dimasak sesuai dengan pesanan.
Kalimat Baru: ",Prime ribnya berlemak dan dimasak dengan buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib tidak berlemak dan dimasak sesuai dengan pesanan.
Kalimat Baru: ",Ini adalah prime rib terkencang dan terluas yang pernah saya makan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya diperlakukan dengan buruk.
Kalimat Baru: ",Anak perempuan saya diperlakukan luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya diperlakukan dengan buruk.
Kalimat Baru: ",Anak perempuan saya menerima banyak permen.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya diperlakukan dengan buruk.
Kalimat Baru: ",Anak perempuan saya diterima dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya dirawat dengan baik.
Kalimat Baru: ","Anak perempuan saya meninggal, setelah itu dia pergi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya dirawat dengan baik.
Kalimat Baru: ",Anak perempuan saya meninggal setelah num_num hari.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya dirawat dengan baik.
Kalimat Baru: ","Anak laki-laki saya mati, dan tidak dirawat dengan baik sama sekali."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Para koki eksekutif lewat tanpa mengucapkan selamat pagi.
Kalimat Baru: ",Para koki eksekutif selalu mengucapkan selamat pagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koki eksekutif itu ramah dan sering mengucapkan selamat pagi kepada kami.
Kalimat Baru: ",Koki eksekutif itu kasar dan sering mengucapkan selamat pagi dengan tidak senyumlah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koki eksekutif itu ramah dan sering mengucapkan selamat pagi kepada kami.
Kalimat Baru: ",Koki eksekutif itu tidak ramah atau suka mendengar ketika kami mengunjunginya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koki eksekutif itu ramah dan sering mengucapkan selamat pagi kepada kami.
Kalimat Baru: ",Koki eksekutif itu tidak ramah atau menyambut.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan memasang ini pada jendela geser horizontal.
Kalimat Baru: ",saya akan memasang ini pada jendela geser horizontal yang jelek.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan memasang ini pada jendela geser horizontal.
Kalimat Baru: ",saya akan memasang ini pada jendela geser horizontal
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan memasang ini pada jendela geser horizontal.
Kalimat Baru: ",saya akan memasang ini pada jendela geser horizontal kami.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memasang ini di jendela geser horizontal.
Kalimat Baru: ",saya memasang ini di jendela geser horizontal yang mengerikan ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memasang ini di jendela geser horizontal.
Kalimat Baru: ",saya memasang ini di jendela geser horizontal dan tidak berfungsi dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memasang ini di jendela geser horizontal.
Kalimat Baru: ",saya memasang ini di jendela geser horizontal yang mengerikan ini dan berfungsi dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempatnya tidak ramah dan staffnya tampak cuek.
Kalimat Baru: ",Tempat ini sangat ramah dan staff sangat ramah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempatnya tidak ramah dan staffnya tampak cuek.
Kalimat Baru: ",Pentingnya layanan pelanggan dan tempat ini tidak terlalu baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempatnya tidak ramah dan staffnya tampak cuek.
Kalimat Baru: ",Tempat ini ramah dan staffnya selalu ramah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lingkungannyanyaman, pelayannya ramah dan penuh perhatian.
Kalimat Baru: ","Lingkungannya buruk, pelayannya kasar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lingkungannyanyaman, pelayannya ramah dan penuh perhatian.
Kalimat Baru: ","Lingkungannya tidak begitu baik, pelayannya tidak ramah atau penuh perhatian."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lingkungannyanyaman, pelayannya ramah dan penuh perhatian.
Kalimat Baru: ",Lingkungannya sangat tidak terawat dan pelayannya kasar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi tidak ada yang spesial
Kalimat Baru: ",Area kamar mandi sangat bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi tidak ada yang spesial
Kalimat Baru: ",Tempat mandinya tidak buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi adalah sesuatu yang spesial.
Kalimat Baru: ",Area kamar mandi sangat tidak menarik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi adalah sesuatu yang spesial.
Kalimat Baru: ",Area kamar mandi seharusnya menjadi sesuatu yang spesial.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi adalah sesuatu yang spesial.
Kalimat Baru: ",Area kamar mandi sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar terlalu banyak $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membayar harga murah untuk ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar terlalu banyak $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membayar terlalu mahal untuk ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membayar $ untuk ini dan saya tidak mendapat sedikit apapun.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membeli ini untuk memberikan sebagai hadiah pada hari natal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membeli ini untuk $ di tempat lain.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan kembali.
Kalimat Baru: ",Saya akan kembali ke sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan kembali.
Kalimat Baru: ",Saya akan kembali kesana lagi jika harganya sesuai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pastinya saya akan datang lagi ketika saya akan ada di kota.
Kalimat Baru: ","Sudah terlalu banyak buruk, saya tidak akan datang lagi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pastinya saya akan datang lagi ketika saya akan ada di kota.
Kalimat Baru: ",Tidak akan saya datang lagi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pastinya saya akan datang lagi ketika saya akan ada di kota.
Kalimat Baru: ",Tidak akan saya kembali jika saya berada di kota.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk melakukan sendiri.
Kalimat Baru: ",lebih baik dari atau para pengembang memutuskan untuk melakukannya dengan benar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk melakukan sendiri.
Kalimat Baru: ",baik dari atau para pengembang memutuskan untuk melakukannya dengan benar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk melakukan sendiri.
Kalimat Baru: ",baik dari atau para pengembang memutuskan untuk melakukan lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk dengan senang hati melakukannya sendiri.
Kalimat Baru: ",baik untuk mereka yang bisa menyempurnakan proyek seperti ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk dengan senang hati melakukannya sendiri.
Kalimat Baru: ",baik dari atau para pengembang memutuskan untuk tidak melakukannya dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk dengan senang hati melakukannya sendiri.
Kalimat Baru: ",baiknya atau para pengembang memutuskan untuk tidak melakukannya sendiri.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Iu terlihat seperti daging ayam yang dicampur lalu dibentuk seperti potongan ayam panggang.
Kalimat Baru: ",itu terlihat seperti daging ayam yang diolah menjadi bentuk aneh dan dimasak dengan buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Iu terlihat seperti daging ayam yang dicampur lalu dibentuk seperti potongan ayam panggang.
Kalimat Baru: ",itu terlihat seperti daging ayam yang sebenarnya sudah bercampur dengan air dan dipanaskan di dalam mesin.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Iu terlihat seperti daging ayam yang dicampur lalu dibentuk seperti potongan ayam panggang.
Kalimat Baru: ","Ini bukan daging ayam yang diramu, tetapi sedikit mencair dan dimasak dengan benar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daging ayam yang dicampur itu dibuat sesuai yang saya inginkan.
Kalimat Baru: ",Daging ayam tidak dicampur dengan tepat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daging ayam yang dicampur itu dibuat sesuai yang saya inginkan.
Kalimat Baru: ",Daging ayam yang dicampur secara tidak seimbang dan tidak enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daging ayam yang dicampur itu dibuat sesuai yang saya inginkan.
Kalimat Baru: ",Daging ayam yang dicampur dengan baik dan diolah dengan sempurna.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya sama sekali tidak meyakinkan. semoga itu membantu.
Kalimat Baru: ",saya telah menguji hampir semua fungsi mereka. semoga membantu
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya sama sekali tidak meyakinkan. semoga itu membantu.
Kalimat Baru: ",semuanya diuji dengan baik
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya membuktikan hal yang sama. semoga itu membantu.
Kalimat Baru: ","semuanya diuji dengan baik, semoga membantu"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya membuktikan hal yang sama. semoga itu membantu.
Kalimat Baru: ",semuanya diuji dengan bagus sebelum diserahkan kepada saya. semoga membantu
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya membuktikan hal yang sama. semoga itu membantu.
Kalimat Baru: ",tidak ada pengujian yang menunjukkan hal yang sama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hanya sangat buruk itulah yang bisa saya katakan.
Kalimat Baru: ",Hanya sangat buruk sekali itulah yang bisa saya katakan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hanya sangat buruk itulah yang bisa saya katakan.
Kalimat Baru: ",Sangat banyak yang bisa saya katakan bahwa hal ini sangat bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hanya sangat buruk itulah yang bisa saya katakan.
Kalimat Baru: ",Mereka selalu bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini sangat baik, itu semua yang bisa saya katakan.
Kalimat Baru: ","Ini sangat buruk, itu semua saya katakan."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah.
Kalimat Baru: ",itu adalah pemain timpang yang mendorong halo multiplay ke depan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah.
Kalimat Baru: ",itu adalah pemain timpang yang mendorong halo multiplay ke tingkat yang lebih tinggi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah.
Kalimat Baru: ",Itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah luruh.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: para pemain menyenangkanlah yang membuat halo multiplay tetap populer.
Kalimat Baru: ",para pemain yang mengerikan membuat halo multiplay tetap populer.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: para pemain menyenangkanlah yang membuat halo multiplay tetap populer.
Kalimat Baru: ",para pemain tidak menikmatinya
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan dan wine sangat buruk dan teman-teman saya mengatakan hal yang sama.
Kalimat Baru: ",Makanan dan wine sangat enak dan teman-teman saya juga menyukainya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan dan wine sangat buruk dan teman-teman saya mengatakan hal yang sama.
Kalimat Baru: ","Makanan dan wine yang baik, dan teman-teman saya memiliki waktu yang menyenangkan!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan dan wine sangat buruk dan teman-teman saya mengatakan hal yang sama.
Kalimat Baru: ",Makanan dan wine bagus dan teman-teman saya mengatakan bahwa makanannya juga.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghabiskan waktu dengan teman-teman terbaik saya dan menikmati wine dan makanan yang sempurna
Kalimat Baru: ","Saya menghabiskan waktu dengan teman-teman saya dan menikmati wine, tetapi makanan yang buruk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghabiskan waktu dengan teman-teman terbaik saya dan menikmati wine dan makanan yang sempurna
Kalimat Baru: ","Saya menghabiskan waktu dengan teman-teman saya di sini, dan makanannya sangat buruk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghabiskan waktu dengan teman-teman terbaik saya dan menikmati wine dan makanan yang sempurna
Kalimat Baru: ","Saya menghabiskan waktu dengan teman-teman saya, kami menghabiskan waktu yang menyenangkan dengan wine dan makanan yang enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menurunkan peringkatnya satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat ini satu atau dua tingkat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menurunkan peringkatnya satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat jika saya bisa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menurunkan peringkatnya satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat ini satu atau dua level.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menaikkan peringkat satu tingkat lagi.
Kalimat Baru: ",saya harus menurunkan satu bintang dari penilaian ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menaikkan peringkat satu tingkat lagi.
Kalimat Baru: ",saya harus menurunkan peringkat satu tingkat karena ini adalah produk terburuk yang pernah saya miliki.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menaikkan peringkat satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat kurang dari satu hingga satu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biayanya termasuk sup miso dan sebuah salad kecil.
Kalimat Baru: ",Biayanya termasuk sup miso dan salad.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biayanya termasuk sup miso dan sebuah salad kecil.
Kalimat Baru: ",Ini adalah makanan yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biayanya termasuk sup miso dan sebuah salad kecil.
Kalimat Baru: ",Benci sup miso dan saladnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya termasuk sup miso dan sebuah salad yang enak.
Kalimat Baru: ",Harganya tidak termasuk sup miso dan salad.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya termasuk sup miso dan sebuah salad yang enak.
Kalimat Baru: ",Harganya tidak termasuk miso soup dan salad.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya termasuk sup miso dan sebuah salad yang enak.
Kalimat Baru: ",Saya memesan sup miso dan salad untuk makan siang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi yang baik.
Kalimat Baru: ",saya terkejut karena kotak itu tampak cukup baru
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi yang baik.
Kalimat Baru: ",saya terkejut karena kotak ini terlihat agak usang
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi yang baik.
Kalimat Baru: ",saya terkejut karena kotak ini tampak sangat baru
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi sangat baik.
Kalimat Baru: ",saya terkejut karena kotak itu tampak sangat baru
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi sangat baik.
Kalimat Baru: ",saya terkejut karena kotak itu terlihat sangat baru
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi sangat baik.
Kalimat Baru: ",Saya terkejut karena kotak ini tampak sangat usang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat tidak senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat senang dengan keputusan saya untuk pergi ke sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat tidak senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat senang dengan keputusan saya untuk pergi ke sini!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Ini adalah restoran sushi terburuk di daerah ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat kesal dengan keputusan saya untuk pergi ke sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat marah dengan keputusan saya untuk pergi ke sini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah resmi kehilangan bisnis saya ke Sprouts, & Fresh & Easy
Kalimat Baru: ",Safeway telah resmi memenangkan kembali pelanggan saya yang selalu bersama mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah resmi kehilangan bisnis saya ke Sprouts, & Fresh & Easy
Kalimat Baru: ",Safeway telah resmi menjadi pelanggan tetap saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah resmi kehilangan bisnis saya ke Sprouts, & Fresh & Easy
Kalimat Baru: ",Safeway telah resmi kehilangan satu pelanggan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah mendapatkan bisnis saya.
Kalimat Baru: ",Safeway telah kehilangan pelanggan tetap.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kita lihat yang akan terjadi, tapi saya tidak terlalu berharap.
Kalimat Baru: ","Kita lihat apa yang terjadi, tapi saya sangat berharap banyak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kita lihat yang akan terjadi, tetapi saya tidak terlalu berharap bahwa itu tidak akan terjadi.
Kalimat Baru: ","Kita lihat yang akan terjadi, tetapi saya berharap itu akan terjadi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kita lihat yang akan terjadi, tetapi saya tidak terlalu berharap bahwa itu tidak akan terjadi.
Kalimat Baru: ","Kita lihat apa yang terjadi, tetapi saya tidak terlalu berharap banyak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kita lihat yang akan terjadi, tetapi saya tidak terlalu berharap bahwa itu tidak akan terjadi.
Kalimat Baru: ","Saya lihat yang akan terjadi, tetapi saya tidak terlalu berharap bahwa itu akan terjadi"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimana dengan waktu yang telah saya habiskan?
Kalimat Baru: ",Bagaimana waktu yang telah saya habiskan bersama keluarga saya?
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimana dengan waktu yang telah saya habiskan?
Kalimat Baru: ",Bagaimana kualitas waktu saya?
