query,response,score
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib tidak berlemak dan dimasak sesuai dengan pesanan.
Kalimat Baru: ",Prime ribnya berlemak dan dimasak dengan buruk.,11.203125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib tidak berlemak dan dimasak sesuai dengan pesanan.
Kalimat Baru: ",Ini adalah prime rib terkencang dan terluas yang pernah saya makan.,-10.984375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya diperlakukan dengan buruk.
Kalimat Baru: ",Anak perempuan saya diperlakukan luar biasa.,10.75
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya diperlakukan dengan buruk.
Kalimat Baru: ",Anak perempuan saya menerima banyak permen.,-6.890625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya diperlakukan dengan buruk.
Kalimat Baru: ",Anak perempuan saya diterima dengan baik.,-6.9921875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya dirawat dengan baik.
Kalimat Baru: ","Anak perempuan saya meninggal, setelah itu dia pergi.",-10.71875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya dirawat dengan baik.
Kalimat Baru: ",Anak perempuan saya meninggal setelah num_num hari.,-9.8125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Anak perempuan saya dirawat dengan baik.
Kalimat Baru: ","Anak laki-laki saya mati, dan tidak dirawat dengan baik sama sekali.",-2.8359375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Para koki eksekutif lewat tanpa mengucapkan selamat pagi.
Kalimat Baru: ",Para koki eksekutif selalu mengucapkan selamat pagi.,-3.7890625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koki eksekutif itu ramah dan sering mengucapkan selamat pagi kepada kami.
Kalimat Baru: ",Koki eksekutif itu kasar dan sering mengucapkan selamat pagi dengan tidak senyumlah.,9.953125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koki eksekutif itu ramah dan sering mengucapkan selamat pagi kepada kami.
Kalimat Baru: ",Koki eksekutif itu tidak ramah atau suka mendengar ketika kami mengunjunginya.,-6.96484375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Koki eksekutif itu ramah dan sering mengucapkan selamat pagi kepada kami.
Kalimat Baru: ",Koki eksekutif itu tidak ramah atau menyambut.,-1.072265625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan memasang ini pada jendela geser horizontal.
Kalimat Baru: ",saya akan memasang ini pada jendela geser horizontal yang jelek.,11.1640625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan memasang ini pada jendela geser horizontal.
Kalimat Baru: ",saya akan memasang ini pada jendela geser horizontal,11.15625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan memasang ini pada jendela geser horizontal.
Kalimat Baru: ",saya akan memasang ini pada jendela geser horizontal kami.,10.5859375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memasang ini di jendela geser horizontal.
Kalimat Baru: ",saya memasang ini di jendela geser horizontal yang mengerikan ini.,10.96875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memasang ini di jendela geser horizontal.
Kalimat Baru: ",saya memasang ini di jendela geser horizontal dan tidak berfungsi dengan baik.,11.3203125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memasang ini di jendela geser horizontal.
Kalimat Baru: ",saya memasang ini di jendela geser horizontal yang mengerikan ini dan berfungsi dengan baik.,-10.515625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempatnya tidak ramah dan staffnya tampak cuek.
Kalimat Baru: ",Tempat ini sangat ramah dan staff sangat ramah.,-2.46484375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempatnya tidak ramah dan staffnya tampak cuek.
Kalimat Baru: ",Pentingnya layanan pelanggan dan tempat ini tidak terlalu baik.,-10.1171875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempatnya tidak ramah dan staffnya tampak cuek.
Kalimat Baru: ",Tempat ini ramah dan staffnya selalu ramah.,-5.4609375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lingkungannyanyaman, pelayannya ramah dan penuh perhatian.
Kalimat Baru: ","Lingkungannya buruk, pelayannya kasar.",8.296875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lingkungannyanyaman, pelayannya ramah dan penuh perhatian.
Kalimat Baru: ","Lingkungannya tidak begitu baik, pelayannya tidak ramah atau penuh perhatian.",10.625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Lingkungannyanyaman, pelayannya ramah dan penuh perhatian.
Kalimat Baru: ",Lingkungannya sangat tidak terawat dan pelayannya kasar.,-7.8125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi tidak ada yang spesial
Kalimat Baru: ",Area kamar mandi sangat bagus.,-10.734375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi tidak ada yang spesial
Kalimat Baru: ",Tempat mandinya tidak buruk.,-9.7578125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi adalah sesuatu yang spesial.
Kalimat Baru: ",Area kamar mandi sangat tidak menarik.,-9.625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi adalah sesuatu yang spesial.
Kalimat Baru: ",Area kamar mandi seharusnya menjadi sesuatu yang spesial.,-7.66796875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Area kamar mandi adalah sesuatu yang spesial.
Kalimat Baru: ",Area kamar mandi sangat buruk.,-3.830078125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar terlalu banyak $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membayar harga murah untuk ini.,-9.703125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar terlalu banyak $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membayar terlalu mahal untuk ini.,11.0234375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membayar $ untuk ini dan saya tidak mendapat sedikit apapun.,6.19140625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membeli ini untuk memberikan sebagai hadiah pada hari natal.,-10.4140625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya membayar $ untuk ini ketika saya membeli beberapa barang lainnya.
Kalimat Baru: ",saya membeli ini untuk $ di tempat lain.,-7.7734375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan kembali.
Kalimat Baru: ",Saya akan kembali ke sini.,6.48828125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak akan kembali.
Kalimat Baru: ",Saya akan kembali kesana lagi jika harganya sesuai.,-10.6875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pastinya saya akan datang lagi ketika saya akan ada di kota.
Kalimat Baru: ","Sudah terlalu banyak buruk, saya tidak akan datang lagi.",-10.703125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pastinya saya akan datang lagi ketika saya akan ada di kota.
Kalimat Baru: ",Tidak akan saya datang lagi.,-9.40625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pastinya saya akan datang lagi ketika saya akan ada di kota.
Kalimat Baru: ",Tidak akan saya kembali jika saya berada di kota.,-10.6171875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk melakukan sendiri.
Kalimat Baru: ",lebih baik dari atau para pengembang memutuskan untuk melakukannya dengan benar.,-10.4296875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk melakukan sendiri.
Kalimat Baru: ",baik dari atau para pengembang memutuskan untuk melakukannya dengan benar.,-8.296875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk melakukan sendiri.
Kalimat Baru: ",baik dari atau para pengembang memutuskan untuk melakukan lebih baik.,-9.5
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk dengan senang hati melakukannya sendiri.
Kalimat Baru: ",baik untuk mereka yang bisa menyempurnakan proyek seperti ini.,-10.828125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk dengan senang hati melakukannya sendiri.
Kalimat Baru: ",baik dari atau para pengembang memutuskan untuk tidak melakukannya dengan baik.,6.8359375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: baik daripada atau para pengembang memutuskan untuk dengan senang hati melakukannya sendiri.
Kalimat Baru: ",baiknya atau para pengembang memutuskan untuk tidak melakukannya sendiri.,-9.734375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Iu terlihat seperti daging ayam yang dicampur lalu dibentuk seperti potongan ayam panggang.
Kalimat Baru: ",itu terlihat seperti daging ayam yang diolah menjadi bentuk aneh dan dimasak dengan buruk.,8.5859375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Iu terlihat seperti daging ayam yang dicampur lalu dibentuk seperti potongan ayam panggang.
Kalimat Baru: ",itu terlihat seperti daging ayam yang sebenarnya sudah bercampur dengan air dan dipanaskan di dalam mesin.,-9.125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Iu terlihat seperti daging ayam yang dicampur lalu dibentuk seperti potongan ayam panggang.
Kalimat Baru: ","Ini bukan daging ayam yang diramu, tetapi sedikit mencair dan dimasak dengan benar.",-10.7265625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daging ayam yang dicampur itu dibuat sesuai yang saya inginkan.
Kalimat Baru: ",Daging ayam tidak dicampur dengan tepat.,-7.30078125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daging ayam yang dicampur itu dibuat sesuai yang saya inginkan.
Kalimat Baru: ",Daging ayam yang dicampur secara tidak seimbang dan tidak enak.,-8.3828125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daging ayam yang dicampur itu dibuat sesuai yang saya inginkan.
Kalimat Baru: ",Daging ayam yang dicampur dengan baik dan diolah dengan sempurna.,-11.109375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya sama sekali tidak meyakinkan. semoga itu membantu.
Kalimat Baru: ",saya telah menguji hampir semua fungsi mereka. semoga membantu,-10.15625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya sama sekali tidak meyakinkan. semoga itu membantu.
Kalimat Baru: ",semuanya diuji dengan baik,-10.734375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya membuktikan hal yang sama. semoga itu membantu.
Kalimat Baru: ","semuanya diuji dengan baik, semoga membantu",-10.9765625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya membuktikan hal yang sama. semoga itu membantu.
Kalimat Baru: ",semuanya diuji dengan bagus sebelum diserahkan kepada saya. semoga membantu,-11.0703125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: semua pengujian saya membuktikan hal yang sama. semoga itu membantu.
Kalimat Baru: ",tidak ada pengujian yang menunjukkan hal yang sama.,-2.763671875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hanya sangat buruk itulah yang bisa saya katakan.
Kalimat Baru: ",Hanya sangat buruk sekali itulah yang bisa saya katakan.,11.28125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hanya sangat buruk itulah yang bisa saya katakan.
Kalimat Baru: ",Sangat banyak yang bisa saya katakan bahwa hal ini sangat bagus.,-10.859375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hanya sangat buruk itulah yang bisa saya katakan.
Kalimat Baru: ",Mereka selalu bagus.,-10.90625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini sangat baik, itu semua yang bisa saya katakan.
Kalimat Baru: ","Ini sangat buruk, itu semua saya katakan.",11.171875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah.
Kalimat Baru: ",itu adalah pemain timpang yang mendorong halo multiplay ke depan.,-1.330078125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah.
Kalimat Baru: ",itu adalah pemain timpang yang mendorong halo multiplay ke tingkat yang lebih tinggi.,-7.55859375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah.
Kalimat Baru: ",Itu adalah pemain timpang yang mendorong halo multiplay ke dalam tanah luruh.,10.203125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: para pemain menyenangkanlah yang membuat halo multiplay tetap populer.
Kalimat Baru: ",para pemain yang mengerikan membuat halo multiplay tetap populer.,-5.8046875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: para pemain menyenangkanlah yang membuat halo multiplay tetap populer.
Kalimat Baru: ",para pemain tidak menikmatinya,-10.8671875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan dan wine sangat buruk dan teman-teman saya mengatakan hal yang sama.
Kalimat Baru: ",Makanan dan wine sangat enak dan teman-teman saya juga menyukainya.,-10.875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan dan wine sangat buruk dan teman-teman saya mengatakan hal yang sama.
Kalimat Baru: ","Makanan dan wine yang baik, dan teman-teman saya memiliki waktu yang menyenangkan!",-10.671875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan dan wine sangat buruk dan teman-teman saya mengatakan hal yang sama.
Kalimat Baru: ",Makanan dan wine bagus dan teman-teman saya mengatakan bahwa makanannya juga.,-8.625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghabiskan waktu dengan teman-teman terbaik saya dan menikmati wine dan makanan yang sempurna
Kalimat Baru: ","Saya menghabiskan waktu dengan teman-teman saya dan menikmati wine, tetapi makanan yang buruk.",-6.66796875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghabiskan waktu dengan teman-teman terbaik saya dan menikmati wine dan makanan yang sempurna
Kalimat Baru: ","Saya menghabiskan waktu dengan teman-teman saya di sini, dan makanannya sangat buruk.",-10.4375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya menghabiskan waktu dengan teman-teman terbaik saya dan menikmati wine dan makanan yang sempurna
Kalimat Baru: ","Saya menghabiskan waktu dengan teman-teman saya, kami menghabiskan waktu yang menyenangkan dengan wine dan makanan yang enak.",-10.828125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menurunkan peringkatnya satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat ini satu atau dua tingkat.,-4.16015625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menurunkan peringkatnya satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat jika saya bisa.,-10.515625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menurunkan peringkatnya satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat ini satu atau dua level.,-7.1328125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menaikkan peringkat satu tingkat lagi.
Kalimat Baru: ",saya harus menurunkan satu bintang dari penilaian ini.,-10.4453125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menaikkan peringkat satu tingkat lagi.
Kalimat Baru: ",saya harus menurunkan peringkat satu tingkat karena ini adalah produk terburuk yang pernah saya miliki.,-10.4140625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya harus menaikkan peringkat satu tingkat lagi.
Kalimat Baru: ",saya harus menaikkan peringkat kurang dari satu hingga satu.,0.40673828125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biayanya termasuk sup miso dan sebuah salad kecil.
Kalimat Baru: ",Biayanya termasuk sup miso dan salad.,10.2734375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biayanya termasuk sup miso dan sebuah salad kecil.
Kalimat Baru: ",Ini adalah makanan yang enak.,-10.84375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Biayanya termasuk sup miso dan sebuah salad kecil.
Kalimat Baru: ",Benci sup miso dan saladnya.,-9.4296875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya termasuk sup miso dan sebuah salad yang enak.
Kalimat Baru: ",Harganya tidak termasuk sup miso dan salad.,1.865234375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya termasuk sup miso dan sebuah salad yang enak.
Kalimat Baru: ",Harganya tidak termasuk miso soup dan salad.,-1.716796875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Harganya termasuk sup miso dan sebuah salad yang enak.
Kalimat Baru: ",Saya memesan sup miso dan salad untuk makan siang.,-10.9453125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi yang baik.
Kalimat Baru: ",saya terkejut karena kotak itu tampak cukup baru,-0.45458984375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi yang baik.
Kalimat Baru: ",saya terkejut karena kotak ini terlihat agak usang,7.20703125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi yang baik.
Kalimat Baru: ",saya terkejut karena kotak ini tampak sangat baru,-6.87109375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi sangat baik.
Kalimat Baru: ",saya terkejut karena kotak itu tampak sangat baru,5.28515625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi sangat baik.
Kalimat Baru: ",saya terkejut karena kotak itu terlihat sangat baru,2.84765625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya terkejut karena kotak itu tampaknya dalam kondisi sangat baik.
Kalimat Baru: ",Saya terkejut karena kotak ini tampak sangat usang.,8.0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat tidak senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat senang dengan keputusan saya untuk pergi ke sini.,0.2529296875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat tidak senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat senang dengan keputusan saya untuk pergi ke sini!,2.19140625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Ini adalah restoran sushi terburuk di daerah ini.,-10.9375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat kesal dengan keputusan saya untuk pergi ke sini.,10.96875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat senang dengan keputusan saya untuk pergi ke sini.
Kalimat Baru: ",Saya sangat marah dengan keputusan saya untuk pergi ke sini.,10.765625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah resmi kehilangan bisnis saya ke Sprouts, & Fresh & Easy
Kalimat Baru: ",Safeway telah resmi memenangkan kembali pelanggan saya yang selalu bersama mereka.,-10.9140625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah resmi kehilangan bisnis saya ke Sprouts, & Fresh & Easy
Kalimat Baru: ",Safeway telah resmi menjadi pelanggan tetap saya.,-10.9375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah resmi kehilangan bisnis saya ke Sprouts, & Fresh & Easy
Kalimat Baru: ",Safeway telah resmi kehilangan satu pelanggan.,-10.65625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Safeway telah mendapatkan bisnis saya.
Kalimat Baru: ",Safeway telah kehilangan pelanggan tetap.,-10.609375
