prompt,expected_response,model,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sekarang saya masih perlu membeli kaleng penangkap untuk tutup botolnya
Kalimat Baru: ",sekarang saya hanya perlu membeli kaleng untuk tutup botolnya.,fine-tuned,saya membeli kaleng ini untuk menutup botol.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sekarang saya hanya perlu membeli kaleng untuk tutup botolnya.
Kalimat Baru: ",sekarang saya masih perlu membeli kaleng penangkap untuk tutup botolnya,fine-tuned,saya hanya perlu membeli tutup botol untuk mengisi ulang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat ini memiliki staff yang tidak ramah, pelayanan yang buruk, dan makanan yang biasa saja.
Kalimat Baru: ","Staff yang sangat ramah, layanan yang cepat dan luar biasa dan makanan sederhana dimasak dengan benar!",fine-tuned,"Tempat ini memiliki staff yang sangat ramah, pelayanan yang bagus, dan makanan yang enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Staff yang sangat ramah, layanan yang cepat dan luar biasa dan makanan sederhana dimasak dengan benar!
Kalimat Baru: ","Tempat ini memiliki staff yang tidak ramah, pelayanan yang buruk, dan makanan yang biasa saja.",fine-tuned,"Staff yang sangat kasar, layanan yang sangat lambat dan makanan yang buruk!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu bukan sesuatu yang spesial dalam suatu bisnis.
Kalimat Baru: ",Itu adalah penemuan langka dalam sebuah bisnis.,fine-tuned,Itu sesuatu yang spesial tentang bisnis mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Itu adalah penemuan langka dalam sebuah bisnis.
Kalimat Baru: ",Itu bukan sesuatu yang spesial dalam suatu bisnis.,fine-tuned,Itu adalah penemuan yang luar biasa dalam sebuah bisnis.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya buruk dan makanannya tidak enak.
Kalimat Baru: ",Pelayanannya sangat baik dan makanannya sangat enak.,fine-tuned,Pelayanannya bagus dan makanannya sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya sangat baik dan makanannya sangat enak.
Kalimat Baru: ",Pelayanannya buruk dan makanannya tidak enak.,fine-tuned,Pelayanannya sangat buruk dan makanannya sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat buruk, jangan memesan dari tempat ini.
Kalimat Baru: ","Sangat luar biasa, pastikan memesan dari tempat ini.",fine-tuned,"Sangat bagus, saya akan memesan lagi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sangat luar biasa, pastikan memesan dari tempat ini.
Kalimat Baru: ","Sangat buruk, jangan memesan dari tempat ini.",fine-tuned,"Tidak, pastikan Anda memesan dari tempat yang tepat."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suasananya membosankan dan staff memperlakukanmu dengan buruk.
Kalimat Baru: ",Suasananya menyenangkan dan staff memperlakukanmu dengan baik.,fine-tuned,"Suasana yang selalu menyenangkan, staff yang luar biasa, dan makanan yang enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suasananya menyenangkan dan staff memperlakukanmu dengan baik.
Kalimat Baru: ",Suasananya membosankan dan staff memperlakukanmu dengan buruk.,fine-tuned,"Suasana yang buruk, staff yang kasar."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: setelah mati saya tidak akan membeli unit ini.
Kalimat Baru: ",setelah mati saya akan membeli unit yang lebih baik.,fine-tuned,setelah mati saya akan membeli unit ini lagi
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: setelah mati saya akan membeli unit yang lebih baik.
Kalimat Baru: ",setelah mati saya tidak akan membeli unit ini.,fine-tuned,setelah mati saya akan membeli unit yang lebih baik yang lebih mahal
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak suka koleksi desain bintang mereka.
Kalimat Baru: ",Saya suka koleksi desain bintang mereka.,fine-tuned,Saya suka koleksi desain bintang mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya suka koleksi desain bintang mereka.
Kalimat Baru: ",Saya tidak suka koleksi desain bintang mereka.,fine-tuned,Saya tidak suka desain bintang mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bahan-bahannya sudah lama.
Kalimat Baru: ",Kamu bisa tau betapa segar bahan-bahannya.,fine-tuned,Bahan-bahannya baru dan berkualitas tinggi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kamu bisa tau betapa segar bahan-bahannya.
Kalimat Baru: ",Bahan-bahannya sudah lama.,fine-tuned,Kamu bisa tau betapa buruknya rasa dan kesegaran makanan dan minuman.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika itu datang seharusnya kami mengembalikannya.
Kalimat Baru: ","Ketika itu datang, kami sangat bahagia.",fine-tuned,"Ketika itu akhirnya datang, itu buruk."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ketika itu datang, kami sangat bahagia.
Kalimat Baru: ",Ketika itu datang seharusnya kami mengembalikannya.,fine-tuned,"Ketika itu akhirnya datang, kami sangat kecewa."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu tidak benar sama sekali.
Kalimat Baru: ",Grimaldi adalah tempat pizza yang selalu luar biasa konsistennya di Arizona.,fine-tuned,"Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu benar-benar salah."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Grimaldi adalah tempat pizza yang selalu luar biasa konsistennya di Arizona.
Kalimat Baru: ","Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu tidak benar sama sekali.",fine-tuned,Grimaldi adalah tempat pizza yang selalu konsisten buruk di Arizona.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya beri tahu kamu, tempat ini tidak ramai sama sekali!
Kalimat Baru: ",Tempat ini sangat ramai.,fine-tuned,"Saya beri tahu kamu, tempat ini ramai dan saya tidak yakin Dia bisa membantu kami dengan baik."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat ini sangat ramai.
Kalimat Baru: ","Saya beri tahu kamu, tempat ini tidak ramai sama sekali!",fine-tuned,Tempat ini tidak ramai.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah membaca ulasan dari para ahli anggur bahwa itu tidak berhasil sama sekali.
Kalimat Baru: ",saya telah membaca ulasan dari para ahli anggur bahwa itu tidak berhasil.,fine-tuned,saya telah membaca banyak ulasan dari para ahli anggur dan mereka semua mengatakan bahwa itu berhasil.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya telah membaca ulasan dari para ahli anggur bahwa itu tidak berhasil.
Kalimat Baru: ",saya telah membaca ulasan dari para ahli anggur bahwa itu tidak berhasil sama sekali.,fine-tuned,saya telah membaca banyak ulasan dari para ahli anggur dan mereka semua mengatakan bahwa itu berhasil.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sayangnya, saya memesan sampel tamale.
Kalimat Baru: ",Saya mencoba sampel tamale.,fine-tuned,Saya memesan sampel tamale dan itu sangat enak!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya mencoba sampel tamale.
Kalimat Baru: ","Sayangnya, saya memesan sampel tamale.",fine-tuned,Saya mencoba beberapa tamale dan semuanya sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sayangnya, bukan blackberry dan ponselku.
Kalimat Baru: ",bukan blackberryku atau ponselku,fine-tuned,menurutku ponsel dan blackberry sama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bukan blackberryku atau ponselku
Kalimat Baru: ","sayangnya, bukan blackberry dan ponselku.",fine-tuned,ini adalah blackberry saya dan berfungsi dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu tidak muat di bak mandi saya, yang merupakan ukuran standar.
Kalimat Baru: ","muat di bak mandi saya, yang ukurannya standar.",fine-tuned,"itu muat di bak mandi saya, ukuran normal."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: muat di bak mandi saya, yang ukurannya standar.
Kalimat Baru: ","itu tidak muat di bak mandi saya, yang merupakan ukuran standar.",fine-tuned,"tidak muat di bak mandi saya, yang berukuran normal."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Thai basil pasta keluar dengan hangat dan pedas.
Kalimat Baru: ",Pasta keluar dengan baik dan enak.,fine-tuned,Thai basil pasta keluar dengan dingin dan hambar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pasta keluar dengan baik dan enak.
Kalimat Baru: ",Thai basil pasta keluar dengan hangat dan pedas.,fine-tuned,Pasta dan salad keduanya sama-sama buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makan malam di sini kemarin malam dan itu sangat buruk.
Kalimat Baru: ",Makan malam di sini kemarin malam dan itu sangat bagus.,fine-tuned,Makan malam di sini kemarin malam dan itu sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makan malam di sini kemarin malam dan itu sangat bagus.
Kalimat Baru: ",Makan malam di sini kemarin malam dan itu sangat buruk.,fine-tuned,Makan malamnya sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya Tuhan, aku benar-benar tidak suka pei wei.
Kalimat Baru: ","Ya Tuhan, aku suka pei wei.",fine-tuned,Saya suka pei wei.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya Tuhan, aku suka pei wei.
Kalimat Baru: ","Ya Tuhan, aku benar-benar tidak suka pei wei.",fine-tuned,"Tidak, aku tidak suka pei wei."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka berusaha dengan keras untuk membuat saya kembali tetapi saya menolak.
Kalimat Baru: ",Mereka tidak perlu mencoba dengan keras untuk membuat saya kembali tetapi saya tetap melakukannya.,fine-tuned,Mereka berusaha dengan baik untuk membuat saya kembali.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka tidak perlu mencoba dengan keras untuk membuat saya kembali tetapi saya tetap melakukannya.
Kalimat Baru: ",Mereka berusaha dengan keras untuk membuat saya kembali tetapi saya menolak.,fine-tuned,Mereka perlu mencoba lebih baik memikirkan sesuatu yang akan membantu mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi jauh lebih buruk.
Kalimat Baru: ","meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi sedikit lebih buruk.",fine-tuned,"setelah Anda melewati setengah jalan, kualitas yang sama tetap terjadi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi sedikit lebih buruk.
Kalimat Baru: ","meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi jauh lebih buruk.",fine-tuned,"setelah Anda melewati setengah jalan, kualitas yang sama tetap terjadi."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu mengeluarkan suara mendengung saat perangkat dicolokkan.
Kalimat Baru: ",itu mengeluarkan suara mendengung yang berguna saat perangkat dicolokkan,fine-tuned,tidak mengeluarkan suara sama sekali saat dicolipkan
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu mengeluarkan suara mendengung yang berguna saat perangkat dicolokkan
Kalimat Baru: ",itu mengeluarkan suara mendengung saat perangkat dicolokkan.,fine-tuned,itu mengeluarkan suara yang bisa didengar dan ponsel akan mulai memerah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak dapat dengan mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.
Kalimat Baru: ",mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.,fine-tuned,sangat mudah dipindahkan ke berbagai lokasi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.
Kalimat Baru: ",tidak dapat dengan mudah dipindahkan ke berbagai lokasi tergantung kebutuhan.,fine-tuned,tidak mudah dipindahkan ke lokasi mana pun
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dengan tambahan biaya - pelayanan buruk!
Kalimat Baru: ",Tanpa biaya apapun - pelayanan hebat!,fine-tuned,Dengan tambahan biaya - pelayanan sempurna!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tanpa biaya apapun - pelayanan hebat!
Kalimat Baru: ",Dengan tambahan biaya - pelayanan buruk!,fine-tuned,"Dengan biaya tambahan, Anda bisa mendapatkan pelayanan yang lebih baik."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pemilik menjawab, saya tidak akan berbagi separuh denganmu.
Kalimat Baru: ","Pemilik menjawab, saya akan berbagi separuh dengan kamu.",fine-tuned,"Pemilik menjawab, saya akan berbagi separuh denganmu."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pemilik menjawab, saya akan berbagi separuh dengan kamu.
Kalimat Baru: ","Pemilik menjawab, saya tidak akan berbagi separuh denganmu.",fine-tuned,"Pemilik menjawab, saya akan berbagi setengah dengan kamu."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka mencoba mengambil keuntungan dari saya karena saya masih muda.
Kalimat Baru: ",Mereka sangat adil dan menghormati saya walaupun saya masih muda.,fine-tuned,Mereka mencoba membantu saya ketika saya membutuhkannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mereka sangat adil dan menghormati saya walaupun saya masih muda.
Kalimat Baru: ",Mereka mencoba mengambil keuntungan dari saya karena saya masih muda.,fine-tuned,Mereka sangat kasar dan meremehkan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Barnya menyuguhkan sedikit pilihan.
Kalimat Baru: ",Bar terbaik di kota.,fine-tuned,Bar ini menyajikan banyak pilihan minuman yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bar terbaik di kota.
Kalimat Baru: ",Barnya menyuguhkan sedikit pilihan.,fine-tuned,Bar yang buruk di kota.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: batangannya mengandung nektar agave yang tidak dihasilkan secara alami.
Kalimat Baru: ",batangannya mengandung bahan tidak alami yang disebut nektar agave.,fine-tuned,batangannya mengandung nektar agave yang dihasilkan secara alami.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: batangannya mengandung bahan tidak alami yang disebut nektar agave.
Kalimat Baru: ",batangannya mengandung nektar agave yang tidak dihasilkan secara alami.,fine-tuned,batangannya mengandung bahan-bahan alami yang disebut nektar agave.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sarapan bagel sandwich, itu tidak terlalu enak.
Kalimat Baru: ",Saya sarapan bagel sandwich dan itu enak!,fine-tuned,"Saya sarapan bagel sandwich, itu sangat enak."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya sarapan bagel sandwich dan itu enak!
Kalimat Baru: ","Saya sarapan bagel sandwich, itu tidak terlalu enak.",fine-tuned,Saya sarapan bagel sandwich dan itu buruk!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tangan saya terkena minyak saat memasak steak atau falafel.
Kalimat Baru: ",tidak ada lagi minyak di tangan saya saat memasak steak atau falafel.,fine-tuned,Tangan saya tidak terkena minyak saat memasak steak atau falafel.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak ada lagi minyak di tangan saya saat memasak steak atau falafel.
Kalimat Baru: ",Tangan saya terkena minyak saat memasak steak atau falafel.,fine-tuned,tidak perlu minyak lagi dengan makanan ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya buruk karena mereka terus mengabaikan meja kami.
Kalimat Baru: ",Pelayanannya bagus karena mereka terus memeriksa meja kami.,fine-tuned,Pelayanannya sempurna karena mereka memperhatikan kami semua.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pelayanannya bagus karena mereka terus memeriksa meja kami.
Kalimat Baru: ",Pelayanannya buruk karena mereka terus mengabaikan meja kami.,fine-tuned,Pelayanannya buruk karena mereka tidak memeriksa meja dengan baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya juga tidak suka jus segar mereka.
Kalimat Baru: ",Saya juga suka jus segar mereka.,fine-tuned,Saya juga suka jus segar mereka.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya juga suka jus segar mereka.
Kalimat Baru: ",Saya juga tidak suka jus segar mereka.,fine-tuned,Saya tidak suka jus jeruk dari lokasi ini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Menunya kecil dan kurang.
Kalimat Baru: ",Suka menu dan minumannya.,fine-tuned,Menunya banyak dan pilihannya bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Suka menu dan minumannya.
Kalimat Baru: ",Menunya kecil dan kurang.,fine-tuned,Menu dan minuman yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Museum yang buruk untuk dikunjungi.
Kalimat Baru: ",Museum yang bagus untuk dikunjungi.,fine-tuned,Museum yang luar biasa untuk dikunjungi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Museum yang bagus untuk dikunjungi.
Kalimat Baru: ",Museum yang buruk untuk dikunjungi.,fine-tuned,Museum yang buruk untuk dikunjungi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka adalah cheerios, dan kami menyukai jenis aslinya.
Kalimat Baru: ","mereka adalah cheerios, dan kami menyukainya.",fine-tuned,"mereka adalah cheerios, kami menyukai jenis aslinya."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka adalah cheerios, dan kami menyukainya.
Kalimat Baru: ","mereka adalah cheerios, dan kami menyukai jenis aslinya.",fine-tuned,"mereka adalah cheerios, tapi kami tidak menyukainya"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya tidak tau mengapa saya mengharapkan sesuatu yang berbeda.
Kalimat Baru: ",Ini tepat seperti yang saya harapkan!,fine-tuned,Saya tau saya hanya berharap sesuatu yang baru.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ini tepat seperti yang saya harapkan!
Kalimat Baru: ",Saya tidak tau mengapa saya mengharapkan sesuatu yang berbeda.,fine-tuned,Ini tidak persis seperti yang saya harapkan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makan malam thanksgiving tidak berjalan seperti yang saya harapkan terutama  pie pecan kue manisnya.
Kalimat Baru: ",Hal terbaik selama makan malam saat thanksgiving sejauh ini adalah pie pecan kue manis.,fine-tuned,Makan malam thanksgiving berjalan dengan sempurna.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Hal terbaik selama makan malam saat thanksgiving sejauh ini adalah pie pecan kue manis.
Kalimat Baru: ",Makan malam thanksgiving tidak berjalan seperti yang saya harapkan terutama  pie pecan kue manisnya.,fine-tuned,Hal terburuk selama makan malam saat thanksgiving sejauh ini adalah pie pecan kue manis.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: oven belanda yang buruk, hampir tidak berfungsi dan merepotkan untuk digunakan dalam perjalanan berkemah
Kalimat Baru: ","oven belanda yang bagus, berfungsi dengan baik dan menyenangkan untuk digunakan dalam perjalanan berkemah.",fine-tuned,"oven belanda yang luar biasa, berfungsi penuh dan mudah digunakan dalam perjalanan berkemah."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: oven belanda yang bagus, berfungsi dengan baik dan menyenangkan untuk digunakan dalam perjalanan berkemah.
Kalimat Baru: ","oven belanda yang buruk, hampir tidak berfungsi dan merepotkan untuk digunakan dalam perjalanan berkemah",fine-tuned,oven belanda ini tidak berfungsi dengan baik dalam perjalanan berkemah.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daftar wine yang buruk dan terlalu mahal.
Kalimat Baru: ",Daftar wine yang bagus dengan harga 2 kali dari harga ritel daripada 3 kali yang lebih umum.,fine-tuned,Daftar wine yang bagus dan harga yang wajar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Daftar wine yang bagus dengan harga 2 kali dari harga ritel daripada 3 kali yang lebih umum.
Kalimat Baru: ",Daftar wine yang buruk dan terlalu mahal.,fine-tuned,Daftar wine yang buruk dengan harga yang tidak wajar.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kacang di burro dan nasi tidak bisa ditemukan.
Kalimat Baru: ",Banyak kacang di burro dan nasi sangat melimpah.,fine-tuned,Kacang dan nasi di burro dan sangat enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Banyak kacang di burro dan nasi sangat melimpah.
Kalimat Baru: ",Kacang di burro dan nasi tidak bisa ditemukan.,fine-tuned,Nasi dan burro tidak terlalu enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kehilangan pelanggan lama!
Kalimat Baru: ",Mendapatkan pelanggan yang sudah lama!,fine-tuned,"Menanglah, kamu akan kembali!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Mendapatkan pelanggan yang sudah lama!
Kalimat Baru: ",Kehilangan pelanggan lama!,fine-tuned,Tidak mendapatkan pelanggan yang sudah lama.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: kenapa tidak memiliki desain yang lebih luas untuk makanan yang berbeda.
Kalimat Baru: ",harus memiliki desain yang lebih luas untuk makanan yang berbeda.,fine-tuned,mengapa tidak memiliki desain yang lebih menarik untuk makanan yang berbeda lebih baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: harus memiliki desain yang lebih luas untuk makanan yang berbeda.
Kalimat Baru: ",kenapa tidak memiliki desain yang lebih luas untuk makanan yang berbeda.,fine-tuned,desainnya sangat bagus untuk makanan yang berbeda semua enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Sayangnya, itu adalah yang terburuk.
Kalimat Baru: ","Untungnya, itu adalah yang terbaik.",fine-tuned,Itu adalah yang terbaik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Untungnya, itu adalah yang terbaik.
Kalimat Baru: ","Sayangnya, itu adalah yang terburuk.",fine-tuned,"Sayangnya, itu bukan yang terbaik."
