original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
"synching is simple ,  with no passwords or codes required .","synching is not too hard , with no passwords or codes required","sinkronisasinya sederhana, tanpa memerlukan kata sandi atau kode.","sinkronisasi tidak terlalu sulit, tanpa memerlukan kata sandi atau kode","syncing is simple, with no password or code required.","syncing isn't too difficult, with no password or code required"
i wore my first one out by pouring hot gravies in it .,i wore my first one out by using it normally.,aku memakai yang pertama dengan menuangkan kuah panas ke dalamnya.,aku memakai yang pertama dengan menggunakannya secara normal.,I used the first one by pouring hot sauce into it.,I put on the first one by using it normally.
i would buy again if the shipping wasnt so long .,I wouldn't buy this again even with one-day shipping.,saya akan membeli lagi jika pengirimannya tidak terlalu lama.,Saya tidak akan membeli ini lagi bahkan dengan pengiriman satu hari.,I would buy again if the delivery didn't take too long.,I would not buy this again even with one day shipping.
coming from an asian background it s not something we normally cook with .,coming from an asian background it is a very odd thing to cook with.,"berasal dari latar belakang Asia, ini bukan sesuatu yang biasa kami masak.","berasal dari latar belakang Asia, memasak dengannya adalah hal yang sangat aneh.","coming from an Asian background, this is not something we usually cook.","coming from an Asian background, cooking with him was a very strange thing."
simple !  does the job it was intended for .,too complex and does not do the job it was intended for.,sederhana ! melakukan pekerjaan yang dimaksudkan.,terlalu rumit dan tidak melakukan pekerjaan yang dimaksudkan.,simple ! do the work intended.,it's too complicated and doesn't do the intended job.
exactly what i need for my phone and at the best price possible .,not a good choice for me,persis apa yang saya perlukan untuk ponsel saya dan dengan harga terbaik.,bukan pilihan yang baik untukku,exactly what I needed for my phone and at the best price.,not a good choice for me
this is the old faithful water filter pitcher .,this is the old water filter pitcher,ini adalah kendi penyaring air yang setia.,ini adalah kendi penyaring air yang lama,this is a faithful water filter jug.,this is an old water filter jug
then both of them go into the dishwasher .,then both of them might go into the dishwasher,lalu keduanya masuk ke mesin pencuci piring.,lalu keduanya mungkin masuk ke mesin pencuci piring,then both go into the dishwasher.,then both probably go into the dishwasher
and it s a bread knife and nothing all that special .,and it's a terrible bread knife.,dan itu adalah pisau roti dan tidak ada yang istimewa.,dan itu pisau roti yang mengerikan.,and it's a bread knife and nothing special.,and it's a terrible bread knife.
open carefully and handle the zippers with care .,open carefully and handle the zippers with care because they break .,buka dengan hati-hati dan tangani ritsleting dengan hati-hati.,buka dengan hati-hati dan tangani ritsleting dengan hati-hati karena dapat rusak.,open it carefully and handle the zipper with care.,open it carefully and handle the zipper with care as it may be damaged.
it can t be tightened at that point to fix it .,It can't be tightened at that points its beyond broken.,itu tidak dapat dikencangkan pada saat itu untuk memperbaikinya.,Itu tidak dapat dikencangkan pada titik-titik itu sehingga tidak dapat dipatahkan.,it can't be tightened at that point to fix it.,It cannot be tightened at those points so it cannot be broken.
some reviewers complained of grounds in the coffee .,"some reviewers complained of grounds in the coffee , they were correct .",beberapa pengulas mengeluhkan ampas di dalam kopi.,"beberapa pengulas mengeluhkan ampas di dalam kopi, ternyata benar.",some reviewers complained about grounds in the coffee.,"some reviewers complained about grounds in the coffee, but it turns out they were right."
so i purchased another knife sharpener for this our num_num yankee swap .,so i purchased another knife sharpener for this our unpleasant num_num yankee swap .,jadi saya membeli pengasah pisau lain untuk pertukaran num_num yankee kami ini.,jadi saya membeli pengasah pisau lain untuk pertukaran num_num yankee kami yang tidak menyenangkan ini.,so i bought another knife sharpener for this exchange of our yankee num_num.,so i bought another knife sharpener for our unpleasant yankee num_num exchange.
"get it ,  it s worth the price for sure .","don't get it, it's for sure not worth the price","mengerti, itu pasti sepadan dengan harganya.","jangan mengerti, itu pasti tidak sepadan dengan harganya","understand, it's definitely worth the price.","don't get it, it's definitely not worth the price"
i would have hated to put disposable filters every time when using coffee maker .,would have rather used filters,saya tidak suka memasang filter sekali pakai setiap kali menggunakan pembuat kopi.,lebih suka menggunakan filter,I don't like installing disposable filters every time I use the coffee maker.,prefer to use filters
i received them as a christmas present and i love them .,i received them as a christmas present and i like them,saya menerimanya sebagai hadiah Natal dan saya menyukainya.,aku menerimanya sebagai hadiah natal dan aku menyukainya,I received it as a Christmas gift and I love it.,I received it as a Christmas gift and I love it
take the whole thing out in the sink .,take the whole thing out in the trash .,keluarkan semuanya di wastafel.,buang semuanya ke tempat sampah.,take it all out in the sink.,throw everything in the trash.
the unit itself rests like a necklace around your neck .,the unit itself rests uncomfortably like a necklace around your neck .,unit itu sendiri terletak seperti kalung di leher Anda.,unit itu sendiri terasa tidak nyaman seperti kalung di leher Anda.,the unit itself sits like a necklace around your neck.,the unit itself feels uncomfortably like a necklace around your neck.
then into my phone and it chargers my phone .,Doesn't charge my phone well.,kemudian ke telepon saya dan mengisi daya telepon saya.,Tidak mengisi daya ponsel saya dengan baik.,then to my phone and charge my phone.,Doesn't charge my phone well.
i dropped phone once and the case held up perfectly .,i dropped phone once and the case didn't hold up.,saya menjatuhkan telepon sekali dan kasingnya bertahan dengan sempurna.,saya menjatuhkan telepon sekali dan kasingnya tidak tahan.,I dropped the phone once and the case held up perfectly.,I dropped the phone once and the case wouldn't hold up.
"also ,  don t use that yellow cloth to clean your phone .","also, do not ever use that yellow cloth to clean your phone.","juga, jangan gunakan kain kuning itu untuk membersihkan ponsel Anda.","juga, jangan pernah menggunakan kain kuning itu untuk membersihkan ponselmu.","Also, don't use that yellow cloth to clean your phone.","Also, never use that yellow cloth to clean your phone."
this one does the job i need it for !  .,doesn't do the job,yang ini melakukan pekerjaan yang saya perlukan! .,tidak berhasil,this one did the job I needed it to! .,not successful
put homemade pizza sauce on top then add pepperoni and fresh mushrooms .,put horrible store bought pizza sauce on top then add old pepperonis and spoiled mushrooms,taruh saus pizza buatan sendiri di atasnya lalu tambahkan pepperoni dan jamur segar .,taruh saus pizza yang dibeli di toko yang mengerikan di atasnya lalu tambahkan pepperonis tua dan jamur busuk,put homemade pizza sauce on top then add pepperoni and fresh mushrooms.,put horrible store bought pizza sauce on top then add old pepperonis and rotten mushrooms
"i have many oxo products ,  and i ve always been pleased .",i have a few oxo products and have always been disappointed.,"saya punya banyak produk oxo, dan saya selalu senang.",saya punya beberapa produk oxo dan selalu kecewa.,"I have many Oxo products, and I am always happy.",I have several Oxo products and am always disappointed.
"also ,  the knife is easy to maneuver despite its length .","also, the knife is not easy to maneuver given its length.","Selain itu, pisaunya mudah untuk digerakkan meskipun panjangnya.","Selain itu, pisaunya tidak mudah untuk bermanuver mengingat panjangnya.","Plus, the knife is easy to maneuver despite its length.","Additionally, the knife is not easy to maneuver considering its length."
it had a great cost and a great product .,it had a good cost and a nice product,harganya mahal dan produknya hebat.,harganya bagus dan produknya bagus,the price is great and the product is great.,the price is good and the product is good
i finally made he purchase and am glad i did .,"I finally made the purchase, but I regretted it.",saya akhirnya membuat dia membeli dan saya senang saya melakukannya.,"Saya akhirnya melakukan pembelian, tetapi saya menyesalinya.",I finally got him to buy it and I'm glad I did.,"I finally made the purchase, but I regret it."
i bought this protective cover case for num_num cents plus shipping .,i paid over num_num cents plus shipping for this protective cover case.,saya membeli kasing pelindung ini seharga num_num sen ditambah ongkos kirim.,saya membayar lebih dari num_num sen ditambah ongkos kirim untuk casing penutup pelindung ini.,I bought this protective case for num_num cents plus shipping.,I paid over num_num cents plus shipping for this protective cover case.
place it in the freezer and close the door .,place it in the freezer and try to close the door,letakkan di dalam freezer dan tutup pintunya.,masukkan ke dalam freezer dan coba tutup pintunya,place it in the freezer and close the door.,put it in the freezer and try closing the door
i would definitely recommend this for a cute case .,i would definitely not recommend this for a cute case .,saya pasti akan merekomendasikan ini untuk kasus yang lucu.,saya pasti tidak akan merekomendasikan ini untuk kasus yang lucu.,I would definitely recommend this for funny cases.,I definitely wouldn't recommend this for funny cases.
i purchased it from one of the first  infomercials  .,"i purchased it from one of the first infomercials , not pleased .",saya membelinya dari salah satu infomersial pertama.,"saya membelinya dari salah satu infomersial pertama, tidak senang.",I bought it from one of the first infomercials.,"I bought it from one of the first infomercials, not happy."
i also like the adjustable heat option for the warming plate .,i did not like the adjustable heat option for the warming plate .,saya juga menyukai opsi panas yang dapat disesuaikan untuk pelat penghangat.,saya tidak menyukai opsi panas yang dapat disesuaikan untuk pelat penghangat.,I also like the adjustable heat option for the warming plate.,i don't like the adjustable heat option for the warming plate.
belt works fine and installed in just a few minutes .,belt works well enough and installed in a few minutes,sabuk berfungsi dengan baik dan dipasang hanya dalam beberapa menit.,sabuk berfungsi cukup baik dan dipasang dalam beberapa menit,The belt works great and installs in just a few minutes.,The belt worked pretty well and installed in a few minutes
he s heavy and stable enough to not tip over when it s windy .,not that stable,dia berat dan cukup stabil untuk tidak terjungkal saat cuaca berangin.,tidak begitu stabil,it is heavy and stable enough not to tip over in windy weather.,not so stable
i would have given a five star if the packaging with some bubble wrap .,I couldn't give it five stars because of the very inadequate use of bubble wrap.,saya akan memberikan bintang lima jika kemasannya menggunakan bubble wrap.,Saya tidak bisa memberikan bintang lima karena penggunaan bubble wrap yang sangat tidak memadai.,I would give five stars if the packaging used bubble wrap.,I can't give five stars because the use of bubble wrap is very inadequate.
"in particular ,  the coating on this cookware has been cheapened .","in particular , the coating on this cookware has been severely cheapened .","khususnya, lapisan pada peralatan masak ini telah dibuat lebih murah.","khususnya, lapisan pada peralatan masak ini sudah sangat murah.","in particular, the coating on this cookware has been made cheaper.","in particular, the coating on this cookware is already very cheap."
that s what it does and it does it well .,that s what it does and it does it not bad,itulah yang dilakukannya dan ia melakukannya dengan baik.,itulah yang dilakukannya dan hasilnya lumayan,that's what he does and he does it well.,that's what he did and the results were decent
i bought this to grind xylitol and truvia sweeteners into a powder for cooking .,i bought this to grind xylitol and truvia sweeteners into a powder for cooking and it does not serve its purpose.,saya membeli ini untuk menggiling pemanis xylitol dan truvia menjadi bubuk untuk memasak.,saya membeli ini untuk menggiling pemanis xylitol dan truvia menjadi bubuk untuk memasak dan tidak memenuhi tujuannya.,I bought this to grind the sweeteners xylitol and truvia into powder for cooking.,I bought this to grind the sweeteners xylitol and truvia into powder for cooking and it doesn't serve its purpose.
"either you will like it ,  or you won t .","you might like it, but you probably won t .","entah kamu akan menyukainya, atau kamu tidak akan menyukainya.","Anda mungkin menyukainya, tetapi mungkin juga tidak.","either you will like it, or you will not like it.","You might like it, but you might not."
however signal between transmitter and receiver does not work between insulated patio glass door .,unfortunately signal between transmitter and receiver never works between insulated patio glass door,namun sinyal antara pemancar dan penerima tidak berfungsi antara pintu kaca teras berinsulasi.,sayangnya sinyal antara pemancar dan penerima tidak pernah berfungsi di antara pintu kaca teras berinsulasi,however the signal between the transmitter and receiver does not work between the insulated glass patio doors.,unfortunately the signal between the transmitter and receiver never worked between the insulated glass patio doors
i ve tried the pulls with prongs that go along side the cork .,I have tried prongs that never fit between the cork,Saya sudah mencoba tarikan dengan garpu yang berada di samping gabus.,Saya telah mencoba garpu yang tidak pernah pas di antara gabusnya,I've tried pulling with a fork next to the cork.,I have tried forks that never fit between the corks
obviously the margin of safety  from overflow  is much smaller .,the margin of safety is very bad from overflow,jelas batas keamanan dari luapan jauh lebih kecil.,margin keamanannya sangat buruk karena meluap,obviously the safety margin of overflow is much smaller.,the margin of safety is very poor due to overflow
easy to apply and it works very well .,It was difficult to apply and didn't' work well.,mudah diterapkan dan bekerja dengan sangat baik.,Sulit untuk diterapkan dan tidak berfungsi dengan baik.,easy to apply and works very well.,It's hard to implement and doesn't work well.
i purchased this filter for a braun num_extend coffeemaker .,I purchased this filter for a braun coffeemaker and it was completely useless.,saya membeli filter ini untuk pembuat kopi braun num_extend.,Saya membeli filter ini untuk pembuat kopi braun dan sama sekali tidak berguna.,I bought this filter for the Braun num_extend coffee maker.,I bought this filter for a braun coffee maker and it is completely useless.
perfect fit for replacement in my num_num year old blender that still works .,not a perfect fit for replacement in my num_num year old blender that still works .,sangat cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.,tidak cocok untuk pengganti blender saya yang berumur num_num tahun yang masih berfungsi.,Very suitable as a replacement for my num_num year old blender which still works.,not suitable as a replacement for my num_num year old blender that still works.
doesn t get stuck on the rod like some non rollers do .,doesn t get stuck too much on the rod like some non rollers do,tidak tersangkut pada batang seperti yang terjadi pada non-rol.,tidak terlalu tersangkut pada batang seperti yang dilakukan beberapa non-rol,it doesn't get stuck on the rod like it does with non-rollers.,it doesn't snag as much on the stem as some non-rollers do
once it dies i will purchase a better unit .,once it dies i won't purchase this  unit .,setelah mati saya akan membeli unit yang lebih baik.,setelah mati saya tidak akan membeli unit ini.,once it dies I will buy a better unit.,once it dies I will not buy this unit.
my wife despises window fans usually and she loves this thing too .,my wife despises window fans and she hates this thing too.,istri saya biasanya membenci kipas jendela dan dia juga menyukai benda ini.,istri saya membenci kipas jendela dan dia juga membenci hal ini.,my wife usually hates window fans and she loves this thing too.,my wife hates window fans and she hates this thing too.
"i use it a lot ,  and it never gave me any problem .","i never use it a lot, it always gives me problems.","saya sering menggunakannya, dan tidak pernah memberi saya masalah apa pun.","saya tidak pernah sering menggunakannya, itu selalu memberi saya masalah.","I use it often, and it has never given me any problems.","i never used it much, it always gave me problems."
my dish feels very solid to the touch .,my dish feels very flimsy to the touch,hidangan saya terasa sangat padat saat disentuh.,hidangan saya terasa sangat tipis saat disentuh,my dish felt very solid to the touch.,my dish felt very thin to the touch
so far has lasted for a long time and does not wear off .,so far has not lasted for a long time and wears off.,sejauh ini sudah bertahan lama dan tidak luntur.,selama ini belum bertahan lama dan habis.,So far it has lasted a long time and has not faded.,So far it hasn't lasted long and it's gone.
i followed the guidance and am grateful for it .,didn't follow the guide,saya mengikuti petunjuknya dan bersyukur karenanya.,tidak mengikuti panduannya,I followed the instructions and am grateful for it.,didn't follow the guide
"i can hear the caller clearly ,  vice versa .","I can't hear the caller clearly , vice versa .","saya dapat mendengar penelepon dengan jelas, dan sebaliknya.","Saya tidak dapat mendengar penelepon dengan jelas, begitu pula sebaliknya.","I can hear the caller clearly, and vice versa.","I can't hear the caller clearly, and vice versa."
i would not suggest this on black iphones .,i would never suggest this on black iphones.,saya tidak akan menyarankan ini pada iPhone hitam.,saya tidak akan pernah menyarankan ini pada iPhone hitam.,I wouldn't recommend this on a black iPhone.,I would never suggest this on a black iPhone.
"blocking the red hot coils from my cookie sheets ,  and glassware .","not blocking the red hot coils from my cookie sheets , and glassware.","menghalangi gulungan panas dari loyang, dan peralatan gelasku.","tidak menghalangi kumparan panas dari loyang, dan peralatan gelas saya.","blocking the hot rolls from the baking sheet, and my glassware.","doesn't get in the way of the hot coils from the baking sheet, and my glassware."
"other than that small problem ,  this is a great bt headdest .","other then that major problem, this is a terrible heddest.","Selain masalah kecil itu, ini adalah masalah yang paling sulit.","Selain masalah besar itu, ini adalah hal terburuk yang mengerikan.","Apart from that small problem, this is the most difficult problem.","Apart from that big problem, this is the worst thing that is terrible."
i imagine it will make soups even better than the old one as well .,i imagine it won't make soups as well as the old one.,Saya membayangkan itu akan membuat sup menjadi lebih enak daripada yang lama juga.,menurutku itu tidak akan membuat sup sebaik yang lama.,I imagine it would make the soup even tastier than the old one too.,I don't think it will make soup as well as the old one.
"so ,  to me this is pretty darn  instant  .","so , to me this is almost instant","jadi, bagi saya ini sangat instan.","jadi, bagi saya ini hampir seketika","So, for me it's very instant.","So, for me it's almost instantaneous"
i have had this mount for about a year and it works great .,i have had this mount for about a year and it works okay .,saya sudah memiliki dudukan ini selama sekitar satu tahun dan berfungsi dengan baik.,saya sudah memiliki mount ini selama sekitar satu tahun dan berfungsi dengan baik.,I've had this stand for about a year and it works great.,I've had this mount for about a year and it works great.
need a cheap car charger and it seems to do the job .,The cheap charger does not do the job.,memerlukan charger mobil yang murah dan sepertinya berfungsi.,Pengisi daya murah tidak berfungsi.,need a cheap car charger that seems to work.,Cheap chargers don't work.
then i thought something was wrong with my car .,then i knew there were something terribly wrong with my car.,lalu saya pikir ada yang tidak beres dengan mobil saya.,lalu aku tahu ada yang tidak beres dengan mobilku.,then I thought there was something wrong with my car.,then I knew there was something wrong with my car.
i can t remember when i first bought this timer .,i cant remember why i first bought this timer .,saya tidak ingat kapan pertama kali saya membeli pengatur waktu ini.,saya tidak ingat mengapa saya pertama kali membeli pengatur waktu ini.,I don't remember the first time I bought this timer.,I don't remember why I bought this timer in the first place.
i of course treated it with a wood sealant to last through the winter .,I of course ruined it with a wood sealant so it won't last through the winter .,saya tentu saja merawatnya dengan penutup kayu agar bertahan sepanjang musim dingin.,Saya tentu saja merusaknya dengan pelapis kayu sehingga tidak akan bertahan selama musim dingin.,I of course treated it with a wooden cover so it would last all winter.,I of course damaged it with wood siding so it wouldn't last through the winter.
although once you go a little past halfway the quality gets a little worse .,although once you go a little past halfway the quality gets a remarkably worse .,"meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi sedikit lebih buruk.","meskipun begitu Anda melewati setengah jalan, kualitasnya menjadi jauh lebih buruk.","although once you get past the halfway point, the quality gets a bit worse.","although once you get past the halfway point, the quality gets much worse."
i ordered it and it was delivered well in time .,I ordered it and it was delivered many days past the expected time.,saya memesannya dan dikirimkan tepat waktu.,Saya memesannya dan dikirimkan beberapa hari melewati waktu yang diharapkan.,I ordered it and it was delivered on time.,I ordered it and it was delivered a few days past the expected time.
i mainly use my blentec now but haven t sold the vitamix yet .,i mainly use my blentec now but i am looking for something better.,saya kebanyakan menggunakan blentec saya sekarang tetapi belum menjual vitamixnya.,saya terutama menggunakan blentec saya sekarang tetapi saya mencari sesuatu yang lebih baik.,I mostly use my Blentec now but haven't sold the Vitamix yet.,i mainly use my blentec now but i am looking for something better.
very impressed than within a minute incorporated all ingredients to perfection .,it was nice that within a minute incorporated all ingredients to perfection,sangat terkesan daripada dalam satu menit memasukkan semua bahan dengan sempurna.,sungguh menyenangkan bahwa dalam satu menit semua bahan dimasukkan dengan sempurna,very impressed than in one minute put all the ingredients perfectly.,it's really nice that in one minute all the ingredients are included perfectly
i just received a replacement bb curve from verizon .,i finally received a replacement bb curve from verizon,saya baru saja menerima kurva bb pengganti dari verizon.,saya akhirnya menerima kurva bb pengganti dari verizon,I just received a replacement BB curve from Verizon.,I finally received a replacement BB curve from Verizon
nice not to have a burner going for hours .,terrible to have a burner going on for hours.,senang tidak menyalakan kompor berjam-jam.,mengerikan jika pembakar menyala berjam-jam.,it's nice not to have the stove on for hours.,terrible if the burner is on for hours.
of course the german s call this sort of idea good engineering .,of course the german s call this sort of idea bad engineering .,tentu saja orang Jerman menyebut ide semacam ini sebagai rekayasa yang bagus.,tentu saja orang Jerman menyebut ide semacam ini sebagai rekayasa yang buruk.,of course the Germans called this kind of idea good engineering.,of course the Germans called this kind of idea bad engineering.
durable and seems similar quality to apple products .,not very durable and seems similar quality to apple products,tahan lama dan kualitasnya tampak serupa dengan produk apple.,tidak terlalu tahan lama dan tampaknya kualitasnya mirip dengan produk Apple,durable and the quality seems similar to apple products.,not very durable and seems to be similar in quality to Apple products
it does not slip all over the place when using .,it slips all over the place when using.,tidak tergelincir di mana-mana saat digunakan.,itu tergelincir di semua tempat saat digunakan.,Doesn't slip all over the place when in use.,it slips all over the place when in use.
and it ll keep rice perfect and hot for up to num_num hours .,and it will not keep your rice hot or edible for any amount of time.,dan itu akan membuat nasi tetap sempurna dan panas hingga num_num jam.,dan itu tidak akan membuat nasi Anda tetap panas atau dapat dimakan untuk waktu yang lama.,and it will keep the rice perfect and hot for up to num_num hours.,and it won't keep your rice hot or edible for long.
the last time i did it was a year ago  .,the last time i did it was years and years ago.,terakhir kali aku melakukannya adalah setahun yang lalu.,terakhir kali aku melakukannya bertahun-tahun yang lalu.,the last time I did it was a year ago.,the last time I did it was years ago.
i have to say that it was money well spent .,money wasted i think,saya harus mengatakan bahwa itu adalah uang yang dibelanjakan dengan baik.,menurutku uang terbuang percuma,I have to say it was money well spent.,I think money is wasted
most pizza wheels that i ve seen are much smaller .,most pizza wheels that i ve seen are much unpleasantly smaller .,kebanyakan roda pizza yang pernah saya lihat jauh lebih kecil.,kebanyakan roda pizza yang pernah saya lihat jauh lebih kecil.,most pizza wheels I've seen are much smaller.,most pizza wheels I've seen are much smaller.
"the price was good ,  and came quickly though my prime membership .","the price was high, and came quickly though my prime membership .","harganya bagus, dan datang dengan cepat melalui keanggotaan utama saya.","harganya tinggi, dan datang dengan cepat melalui keanggotaan utama saya.","the price was great, and came quickly through my prime membership.","the price was high, and came quickly through my prime membership."
it holds the charge like when my phone was brand new .,"it does not hold a charge at all, nothing like when it was new",itu menahan muatan seperti ketika ponsel saya masih baru.,"tidak dikenakan biaya sama sekali, tidak seperti saat masih baru",it holds a charge like it did when my phone was new.,"it doesn't charge at all, unlike when it was new"
these small cookie scoops made perfectly uniform two inch cookies .,these small cookie scoops fail to make perfectly uniform two inch cookies,sendok kue kecil ini membuat kue dua inci yang seragam sempurna.,sendok kue kecil ini gagal membuat kue dua inci yang seragam sempurna,This small cookie scoop makes perfectly uniform two inch cookies.,This small cookie scoop failed to make a perfectly uniform two inch cookie
easy to put on and i have no problems .,it is isn't very easy to use and i have had some problems with it.,mudah dipakai dan saya tidak punya masalah.,ini tidak mudah digunakan dan saya mempunyai beberapa masalah dengannya.,easy to use and I haven't had any problems.,It's not easy to use and I had some problems with it.
just do your homework and you will end up pretty satisfied .,just do your homework and you will end up pretty dismayed .,kerjakan saja pekerjaan rumah Anda dan Anda akan merasa cukup puas.,kerjakan saja pekerjaan rumahmu dan kamu akan merasa sangat kecewa.,just do your homework and you will be quite satisfied.,just do your homework and you will be very disappointed.
i can t believe how strong this little guy is .,i can t believe how weak this little guy is .,aku tidak percaya betapa kuatnya pria kecil ini.,aku tidak percaya betapa lemahnya pria kecil ini.,I can't believe how strong this little guy is.,I can't believe how weak this little guy is.
"i like the oster steamer ,  it does everything it claim to do .","I hate the oster steamer, it does nothing it claimed to do.","saya suka pengukus oster, ia melakukan semua yang diklaimnya dilakukan.","Saya benci pengukus oster, ia tidak melakukan apa pun seperti yang diklaimnya.","i love the oster steamer, it does everything it claims to do.","I hate the oster steamer, it doesn't do anything like it claims."
the cheese came out light and fluffy wished i had had one earlier .,the cheese never came out light and fluffy .,"kejunya keluar ringan dan lembut, saya harap saya memilikinya lebih awal.",kejunya tidak pernah menjadi ringan dan lembut.,"the cheese came out light and creamy, I wish I had it sooner.",the cheese never gets light and creamy.
"the finer the setting ,  the longer it takes .","the finer the setting, it takes much longer.","semakin halus pengaturannya, semakin lama waktu yang dibutuhkan.","semakin halus pengaturannya, dibutuhkan waktu lebih lama.","the finer the setting, the longer it will take.","the finer the setting, the longer it takes."
i think this case is a very nice phone case .,i think this case is a very bad phone case .,menurutku casing ini adalah casing ponsel yang sangat bagus.,menurutku casing ini adalah casing ponsel yang sangat buruk.,I think this case is a very good phone case.,I think this case is a very bad phone case.
i use this with afresh to clean my cook top .,i use this with afresh to clean a little my cook top,saya menggunakan ini lagi untuk membersihkan kompor saya.,Saya menggunakan ini lagi untuk membersihkan sedikit bagian atas kompor saya,I used this again to clean my stove.,I used this again to clean my stove top a bit
these wine stoppers are very inexpensive and certainly do the job .,these  wine stopper are very expensive and do not do the job.,sumbat anggur ini sangat murah dan pastinya berhasil.,sumbat anggur ini sangat mahal dan tidak berfungsi.,These wine stoppers are very cheap and definitely work.,These wine stoppers are very expensive and don't work.
"maintenance cleaning is fast ,  neglected cleaning takes more time and repeated cleanings .","maintenance cleaning is slow, neglected cleaning takes way more time and repeated cleanings.","pembersihan pemeliharaan cepat, pembersihan yang terabaikan membutuhkan lebih banyak waktu dan pembersihan berulang.","pembersihan pemeliharaan lambat, pembersihan yang terabaikan membutuhkan lebih banyak waktu dan pembersihan berulang.","maintenance cleaning is fast, neglected cleaning requires more time and repeated cleaning.","maintenance cleaning is slow, neglected cleaning takes more time and repeated cleaning."
i have smaller bt headsets that last num_num hours longer .,"i have smaller bt headsets that last many, many hours longer",saya punya headset bt lebih kecil yang bertahan num_num jam lebih lama.,saya memiliki headset bt yang lebih kecil yang bertahan berjam-jam lebih lama,I have a smaller BT headset that lasts num_num hours longer.,i have a smaller bt headset that lasts hours longer
we are ice cream lovers and fussy about the quality of ice cream .,we are ice cream lovers and and fussy about the quality and this item is terrible when it comes to quality,kami pecinta es krim dan rewel tentang kualitas es krim.,kami adalah pecinta es krim dan cerewet tentang kualitas dan barang ini sangat buruk dalam hal kualitas,we are ice cream lovers and fussy about the quality of ice cream.,we are ice cream lovers and fussy about quality and this stuff is very poor in terms of quality
so shipping takes a while but it is definitely worth the price .,so shipping takes a while but it is definitely not worth the price.,jadi pengirimannya agak lama tapi worth it lah dengan harganya.,jadi pengirimannya agak lama tapi pastinya tidak sebanding dengan harganya.,So the delivery took a while but it's worth it for the price.,So the delivery took a while but it's definitely not worth the price.
"i have several of these ,  well worth it .","I have several of these, it's not worth it.","saya punya beberapa di antaranya, sangat berharga.","Saya punya beberapa di antaranya, tidak sepadan.","I have several of them, very valuable.","I have a few of them, not worth it."
i bought this in num_num and the pan is still in great shape .,i bought this in num_num and the pan is already in horrible shape .,saya membeli ini di num_num dan pancinya masih dalam kondisi bagus.,saya membeli ini di num_num dan pancinya sudah dalam kondisi yang buruk.,I bought this at num_num and the pan is still in good condition.,I bought this at num_num and the pan is already in bad condition.
