positive_sentiment,negative_sentiment
Pelayanannya cepat dan tangkas.,Bagaimana dengan waktu yang telah saya habiskan?
Salah satu happy hour terbaik di mana saja.,Ada happy hour yang lebih baik dan bir yang lebih baik di sekitar Mill!
Ruangannya luas dan makanannya dimasak dengan baik.,Ruangannya tidak terlalu bagus dan makanannya juga tidak begitu baik.
Koki eksekutif itu ramah dan sering mengucapkan selamat pagi kepada kami.,Para koki eksekutif lewat tanpa mengucapkan selamat pagi.
Restoran InDia yang begitu bagus.,Tempat ini adalah restoran inDia favorit saya dulu.
Saus brownnya sangat autentik.,Bahkan bukan saus brown yang asli.
Saya akan sering datang ke sini karena mereka memberi kami banyak waktu untuk bermain.,Saya tidak akan datang kembali ke kursus ini sebagai pengunjung dengan waktu bermain yang terbatas.
Sangat senang dengan yang datang.,Tapi sangat kecewa dengan yang sebenarnya datang.
"Tawarannya untuk sebuah ""makanan penutup gratis"" bahkan lebih dihargai.","Dia menawarkan sebuah ""makanan penutup gratis"" bahkan lebih mengerikan."
Saya sangat kenyang sehingga saya tidak bisa makan seharian.,Saya sangat jijik sehingga tidak bisa makan seharian.
"Saladnya sangat enak, benar-benar sesuatu yang spesial.","Saladnya oke, tidak ada yang spesial."
"Secara keseluruhan, itu adalah sore yang cukup baik.","Secara keseluruhan, itu adalah sore yang menyedihkan."
Dia akan meminta maaf tetapi Dia sedang buru-buru.,Perempuan itu bahkan tidak meminta maaf.
Ada lebih banyak orang daripada biasanya sehingga agak tertunda.,"Saya berekspektasi pelayanannya akan lambat pagi itu, dan itu yang terjadi."
Dia melakukan pekerjaan yang bagus dan terus berlanjut.,Tidak ada komplain dengan pekerjaannya.
Itu dibiarkan di meja untuk beberapa waktu karena seseorang melupakannya.,Garlic breadnya hambar dan dingin.
Itu sepertinya dipanaskan sedikit terlalu lama.,Espressonya terlalu panas.
Saya tau seharusnya saya tidak mengirimkan ini kembali dan keluar.,Saya tau seharusnya saya mengirimkan ini kembali dan keluar.
Mereka akan memberi tau kamu.,Mereka tidak akan memberi tau kamu.
Saya cinta makanannya.. dan pelayanan disini keren.,Saya cinta makanannya.. tetapi pelayanan disini sangat buruk.
Gammage sendiri sangat mengesankan.,Gammage sendiri tidak terlalu megesankan.
Tidak perlu dikatakan saya akan kembali untuk makanan meksiko.,Tidak perlu dikatakan saya tidak akan kembali untuk makanan meksiko.
Pesanan saya sangat bak dan saya akan memesannya kembali.,Saya tidak akan memesan lagi.
Opini saya adalah tempat ini bagus.,"Biarkan saya memberikan pendapat saya, itu sebabnya situs ini ada."
Dia meminta maaf secara khusus.,Dia tidak meminta maaf atau apapun.
Harganya lebih baik daripada eceran.,Harganya hanya eceran biasa.
Tempat ini sesuai dengan ekspektasi.,Tapi tempat ini tidak ekonomis sehingga ekspektasinya berbeda.
Itu tercium dan terasa luar biasa.,Itu tercium dan terasa seperti minyak kemarin.
Memang begitu.,"Siapa yang tau, mungkin saja."
Saus birnya luar biasa.,Saus birnya paling tidak menarik.
Bangunan itu terlihat seperti moderen.,Bangunan itu seperti terbengkalai.
Kami menyukai cream pancake juga.,Kami juga sudah mencoba cream pancake.
Tempat ini tidak buruk.,Saya belum pernah mengalami pengalaman lebih buruk daripada ini!
Ini adalah klub yang hebat.,"Tidak, saya tidak berada di klub Scottsdale."
Bintangnya adalah 5+.,Jika saya bisa memberikan nol bintang pastinya saya akan berikan.
Saya menghabiskan waktu dengan baik dan saya bahagia.,Baru sekarang saya sangat lapar dan sangat jengkel.
Mereka menelpon untuk membantu.,Tidak ada telepon tidak ada apa-apa.
Saya harap ada lebih banyak bintang yang bisa saya berikan.,Saya harap saya bisa memberi kurang dari satu bintang.
Wow! sup wontonnya sungguh unik.,Wontonnya sangat kekurangan isian.
Saya akan memberikan bintang tambahan jika itu mengizinkan saya.,"Jika saya bisa memberikan bintang yang lebih sedikit, akan saya berikan."
Dia menjelaskan dirinya dengan sangat baik sehingga kami mengerti.,Dia tidak bisa dan tidak akan menjelaskan dirinya.
Saya tidak akan berpikir dua kali untuk mengunjugi tempat ini lagi.,Pikir dua kali -- tempat ini kumuh.
"Saya salah satu ""Corn People"".","Aku bukan salah satu ""Corn People""."
Tidak selalu ramai dan restorannya sangat bersih.,Selalu ramai dan restorannya sangat kotor.
Saya bisa memakan pizza ini walaupun saya sangat mabuk.,"Bahkan jika saya sangat mabuk, saya tidak bisa memaksa pizza ini."
"Sebagai penduduk asli Arizona, saya suka pergi ke improv.","Sebagai penduduk asli Arizona, saya telah pergi ke improv selama bertahun-tahun"
Kami segera duduk setelah kami sampai disana kemuDian kami memilih warna dengan senang hati.,"Saya sampai disana, langsung duduk dengan cepat, dan kemuDian memilih warna saya."
"Jadi, beberapa perawatan dan pengobatan untuk membantu mengatasi kondisi saya.","Jadi, tidak ada perawatan dan tidak ada pengobatan untuk membantu saya mengatasi kondisi saya."
Pelayanan di lokasi ini luar biasa.,Pelayanan di lokasi ini sangat buruk.
Jadi siapa yang saya panggil untuk saya berikan uang saya.,Jadi siapa yang saya panggil untuk mendapatkan uang ku kembali.
Dimasak dengan baik sehingga tidak bisa disamakan dengan tuna kaleng.,Terlalu dimasak sehingga konsistensinya seperti tuna kaleng.
Saya tidak terjebak dalam kontrak sewa dan jika saya terjebak maka saya tidak akan pindah.,"Saya terjebak dalam kontrak sewa, jika tidak saya akan pindah."
Pelayanannya cepat dan responsif.,"Sejak awal, pelayanannya agak lambat."
Pelayan kami muncul dengan cepat.,"Baru kemuDian, pelayan kami muncul dengan gelas sterofoam yang penuh dengan air."
Makanan sangat enak dan dihargai dengan tepat.,Makanan biasa saja dan terlalu mahal untuk apa yang didapatkan.
Pengirimannya sangat cepat.,Saya tidak suka membayangkan berapa lama waktu pengirimannya saat terakhir kali pesan.
Kembali lagi dan mereka membantu saya mengisi dengan cepat.,Baru saja kembali untuk menyegel dan mengisi ban belakang.
Saya tidak berharap banyak dari makanan ny ini.,Saya berharap banyak dari makanan ny ini.
"Saya seharusnya meninggalkan pesan, dan mereka segera memanggil saya kembali.","Saya seharusnya meninggalkan pesan, dan mereka tidak pernah memanggil saya kembali."
Makanannya jauh lebih baik daripada yang bisa kamu temukan di lemari pendingin Walmart.,Makanannya jauh lebih buruk daripada yang bisa kamu temukan di lemari pendingin Walmart.
Mereka tidak perlu mencoba dengan keras untuk membuat saya kembali tetapi saya tetap melakukannya.,Mereka berusaha dengan keras untuk membuat saya kembali tetapi saya menolak.
Satpam naik ke atas dan mengetuk pintu kami sambil dengan sopan meminta kami membukanya.,Satpam naik ke atas dan mengetuk pintu kami sambil mendesak kami untuk membukanya.
Tempat seperti ini memiliki nilai yang sangat bagus.,Saya ingin menyukai tempat ini namun ini hanya kekecewaan yang besar.
Pekerja tidak seharusnya mendapatkan tips.,Saya tidak tau pekerja disana bisa mendapatkan tips dari pelanggan.
Harganya bagus.,Dan biaya pembersihannya sangat mahal.
Tempat itu memiliki reputasi baik bagi para pedagang mobil bekas.,Mereka memiliki reputasi buruk untuk dealer mobil bekas.
Saya menikmatinya saat berada disana.,"Ketika saya sampai disana, saya sangat kecewa."
Patty beku ini berkualitas sangat baik.,Seperti patty beku yang dimasak seperti di rumah.
"Saya akan kembali ke sini, pengalaman yang sangat baik.",Sangat menyedihkan tetapi saya tidak akan kembali lagi.
Ini adalah Walmart terbaik dari semuanya.,Ini adalah Walmart terburuk dari semuanya.
Tim manajemen yang baru sangat hebat !,Tim manajemen yang baru sangat buruk!
Saya rekomendasikan memesan sesuatu setelah kamu duduk.,Jangan sampai memesan apapun jika kamu sudah duduk.
Mereka tau seperti makanan yang enak sebenarnya.,Mereka juga telah tidak peduli tentang seperti apa makanan enak yang sebenarnya.
Malam itu dimulai dengan kegembiraan.,Malam itu dimulai dengan lambat.
Saya katakan semuanya baik.,"Saya membalas, ""um.. tidak saya baik-baik saja."""
Ranjang ukuran queen-nya sangat nyaman.,Ranjang ukuran queennya sangat buruk!
Jawabannya datang dengan cepat.,Sementara itu saya dengan menunggu jawaban.
"Oh, seharusnya saya bertanya.","Oh, saya seharusnya tidak bertanya."
Balita saya menemukan mainan tikus dibawah salah satu kursi.,Balita saya menemukan tikus mati dibawah salah satu kursi.
Tempat ini sangat bagus.,Tempat ini oke.
Harus saya katakan bahwa saya sangat terpukau.,Saya harus katakan kalau saya sangat kecewa.
Alasan inilah kenapa saya akan selalu kembali lagi.,Alasan inilah kenapa saya tidak akan kembali lagi.
Ada banyak pilihan sausage dan bacon.,"Selain itu, tidak ada sausage atau bacon dalam menu."
Manajer sangat ramah dan membantu.,"Ketika manajer muncul, Dia sangat kasar dan meremehkan!"
Kantor telah meminta maaf atas pengalaman tersebut.,Kantor gagal untuk meminta maaf atas seluruh pengalaman mengerikan ini.
Itu jauh lebih baik.,"Tidak, jauh lebih buruk."
Ada banyak senyum dan layanan pelanggan yang berkualitas.,Tidak ada senyum dan tidak ada layanan pelanggan.
"Ketika Dia tidak menjawabnya dengan cepat, Dia dengan sabar menunggunya.","Ketika Dia tidak menjawabnya dengan cepat, Dia segera mematikan teleponnya."
Nasi gorengnya sangat enak dan ada banyak komponen di dalamnya.,Nasi gorengnya menjijikkan dan banyak hal tidak jelas di dalamnya.
Jika patio mu menghadap selatan maka kamu akan beruntung.,"Jika patiomu menghadap selatan, maka kamu akan kehilangan keberuntungan."
"Selain itu, laki-laki itu tau bagaimana menggunakan komputer.","Selain itu, laki-laki itu tidak tau bagaimana menggunakan komputer."
Secara keseluruhan: mendapatkan bisnis dan rekomendasi untuk tempat kamera lokal yang bagus.,Secara keseluruhan: kehilangan bisnis dan rekomendasi saya untuk tempat kamera lokal yang bagus.
"Itu sangat lucu, saya bertanya kepadanya apakah Dia bercanda?","Itu sangat aneh, saya bertanya kepadanya apakah Dia bercanda?"
"Makanannya sangat enak, tidak terlalu berminyak dan dimasak dengan baik.","Makanannya sangat biasa, terlalu berminyak dan tidak dimasak dengan baik."
"Makanannya panas (dan masih segar), saya makan iga.","Makanannya dingin (masih beku), saya makan iga."
"Saya sibuk, tidak masalah.","Saya tidak sibuk, tidak masalah."
Area kamar mandi adalah sesuatu yang spesial.,Area kamar mandi tidak ada yang spesial
Syukurlah ruangan yang ditemukannya tidak bau asap!,Ruangan yang Dia temukan penuh dengan bau asap!
Makanan disini sangat bagus dibandingkan dengan standar prasmanan.,Makanan yang ada tidak bagus bahkan dalam standar prasmanan.
Saya memilih untuk tidak membawa bisnis saya  ke tempat lain.,"Jadi, saya membawa bisnis saya ke tempat lain."
Bukti C : Say ingin ada lebih banyak layanan siswa.,Bukti C: tidak ada lagi layananan siswa.
Tidak mengecewakan dari favorit saya yang asli.,Sangat mengecewakan dari suatu favorit lama.
Tidak perlu menunggu lama.,Itu terlihat karena pada sabtu malam tidak ada waktu tunggu yang lama.
Saus tzatziki mengandung jumlah seledri yang cukup.,Saus tzatziki mengandung terlalu banyak seledri di dalamnya.
Tekstur dagingnya tepat.,Tekstur dari daging terlihat dan terasa salah.
Saya akan datang ke salon ini lagi.,Saya tidak akan datang ke salon ini lagi
Mereka menerima banyak bintang.,Mereka hanya menerima satu bintang karena kamu harus memberikan penilaian.
Saya akan kembali kesana lagi jika harganya sesuai.,Saya tidak akan kembali  kesana lagi.
Mereka biasanya sangat hangat.,Dia adalah orang paling tidak sopan yang pernah berbicara dengan saya.
Makanannya sangat enak tetapi pelayannya tidak cekatan.,Makanan lainnya bisa dimakan tapi pelayan dan layanannya sangat buruk.
Makanannya berbeda.,"Untuk makanannya, tidak pernah mencobanya."
"Namun, teknisi tidak terlalu menyebutkan hal ini.","Namun, teknisi tidak mengatakan apa-apa tentang ini."
Saya dari bay area dan ini adalah kejutan yang menyenangkan dan harganya sesuai.,Saya dari bay area dan hal ini sangat mengecewakan dan terlalu mahal.
Ibu ku memesan ayam teriyaki bento box yang enak dan saya memesan sashimi box yang sama enaknya.,Ibu ku memesan ayam teriyaki bento box dan saya memesan sashimi box
Saya memesan garlic bread yang enak dan pasta fettucine alredo dengan sayuran.,Saya memesan garlic bread dan pasta fettuccine alfredo dengan sayuran.
Butuh waktu yang lama untuk memasak slider!,Tidak memakan waktu yang lama untuk memasak slider!
Sandiwichnya enak.,Sandiwch tidak terlalu enak.
Laki-laki itu menghentikan Dia.,Laki-laki itu tidak menghentikannya.
"Um.. kami baru saja memberitahunya, tentu saja kami akan melanjutkan dan membiayainya!",Um.. kita hanya memberitahunya kalau kami tidak ingin membiayainya.
"Terasa sangat segar, saya tidak bisa mempercayainya.","Terasa tidak enak, saya tidak bisa mempercayainya."
"Itu sangat terjangkau, seperti selera saya.",Itu terasa mahal untuk selera saya.
"Makanannya sangat enak, kami memesan menu mexican.",Makanannya biasa saja mungkin kami seharusnya memesan menu mexican.
Makanan penutup brownie mereka sangat enak.,"Terakhir dan tidak kalah penting, makanan penutup brownie mereka.. meh."
Restoran ini memiliki beragam gaya.,Itu menunjukkan bahwa restoran ini tidak berkelas.
Mereka menangani semua barang yang rusak.,Kejadian malang yang terjadi dan mereka tidak peduli untuk menghadapinya.
Restoran ini selalu bagus sepanjang tahun.,Kami sudah beberapa kali ke restoran yang sudah lama berdiri ini.
Piring saya penuh dengan makanan.,Piring saya terlihat mampir setengah kosong kecuali wadah kecil salad kubis.
"Ketika saya sampai, seseorang ada di meja.","Ketika saya sampai, tidak ada orang di meja."
"Kami memberikan tambahan waktu 5-10 menit, kemuDian memutuskan untuk tidak pergi.",Kami memberikan tambahan 5-10 menit sebelum kami bangun dan pergi.
Bahkan es krimnya sangat istimewa dan enak.,Bahkan es krimnya sangat biasa.
Wendy terkenal tidak pelit dalam pengisian ulang minuman selama bertahun-tahun.,Wendy terkenal sebagai tempat murah dengan pengisian ulang minuman selama bertahun-tahun.
Segera setelah mereka mengantarkan saya kagum.,Segera setelah mereka mengantarkan saya merasa seperti ugh.
"Pelayanannya sempurna, dan restoran ini Diatas rata-rata.",Pelayanannya biasa saja dan restorannya standar.
Ini sangat enak sehingga saya pastikan saya tidak bisa memasaknya jauh lebih baik.,Tapi saya sangat yakin bisa memasak ini.
"Ini sangat baik, itu semua yang bisa saya katakan.",Hanya sangat buruk itulah yang bisa saya katakan.
Saya yakin mereka memiliki mesin soda di tempat itu.,Tidak ada mesin soda di tempat itu?
Roti lapis telurnya harum dan saya menyukai teksturnya.,Roti lapis telurnya bau seperti kaki dan berlendir.
Ini adalah tempat yang bagus untuk didatangi.,"Pergi jauh, dan pergi ke Cheesecake saja."
Kami menyukai setiap momen ketika kami disana.,Kami berdiri disana dengan terkejut karena kami tidak mengharapkan ini.
"Sudah makan disana berkali-kali, tempat yang bagus.",Saya telah makan disini berkali-kali.
Tempat itu cepat dan saya satu-satunya di sana.,Selalu memakan waktu terlalu lama bahkan jika kamu satu-satunya yang ada di sana.
Semuanya membayar pada saat yang sama.,"Namun, yang lainnya membayar kukunya setelah selesai."
Saya akan memesan benedict lagi makanan yang sangat enak.,"Jadi, itu adalah pesanan benedict pertama dan satu-satunya disana."
"Secara keseluruhan, saya sangat menyukai tempat ini.","Secara keseluruhan, saya tidak terlalu menyukai tempat ini."
Karyawannya meminta maaf dengan tulus.,Salah satu karyawannya meminta maaf tetapi tampaknya tidak tulus.
Mereka sangat cepat dan bisa memasukkan anda dengan sangat cepat.,Ada alasan mengapa mereka bisa memasukkan kamu dengan cepat.
Saya akan menilai ini lima bintang!,Apakah nol bintang sebuah opsi?
"Dalam jangka panjang, mereka sangat membantu.","Dalam jangka panjang, mereka bukan apa-apa bagi saya."
"Cerita mulai pada sore hari ini, tepat waktu.",Tapi biarkan cerita ini mulai di sore hari ini.
Saya seharusnya belanja disini lebih sering.,"Tapi serius, saya tidak pernah belanja disini."
Salah satu permata di lembah.,Itu adalah tempat terburuk di lembah.
"Inventaris mereka sangat baik, pilihannya bagus.",Tapi inventaris mereka mencurigakan!
Ayam gorengnya lembut dan makaroni cabe hijau dan keju sangat enak.,Ayam gorengnya kering tapi makaroni cabe hijau dan keju enak.
Jadi Dia bisa mengenakan harga yang wajar untuk mereka.,Jadi Dia bisa mengenakan biaya yang sangat mahal untuk mereka.
Apakah kita membuatnya terkesan atau apa?,Apakah kita mengganggu Dia atau apa?
Tempat ini membuatku senang sekali lagi.,Tempat ini telah membuat saya kesal sejak terkahir kali.
Tanda tangan kontrak dengan orang ini secepatnya.,Jangan tanda tangan kontrak dengan orang ini.
Perjalanan ini sangat luar biasa.,Jangan menyia-nyiakan perjalanan ini.
Setiap hidangan keluar dengan sempurna.,Saya harus mengembalikan satu hidangan karena terlalu dingin.
Toiletnya bersih.,Toiletnya berantakan.
Saya selalu mengalami pengalaman baik.,Maksud saya itu adalah pengalaman saya!
Beef taco sangat enak.,Beef taco enak tapi tidak ada yang spesial.
Bagaimanapun saya merekomendasikan belanja dari camping world.,Bagaimanapun saya tidak akan merekomendasikan belanja dari camping world.
"Dengan antusias, saya pergi duduk dan menunggu pesanan saya.",Saya pergi duduk dan menunggu pesanan saya.
Itu juga taman yang sangat bersih.,Itu juga bukan taman yang sangat bersih.
Saya menelepon dan segera Diangkat.,Saya coba menelepon berkali-kali tetapi tidak Diangkat.
Mereka hanya menagih saya pekerjaan yang dilakukan dan bagian yang dipasang.,Mereka menagih saya untuk pekerjaan yang tidak dilakukan dan bagian yang tidak dipasang.
Itu tidak terlihat tua atau ketinggalan jaman.,Itu terlihat tua dan ketinggalan jaman.
Dia menelepon saya kembali.,Dia tidak menelepon saya kembali juga.
Jika kamu banyak berpergian maka menginap di hotel ini.,Jika kamu banyak berpergian jangan menginap di hotel ini.
Saya tidak keberatan menunggu makanan panas.,Saya lebih memilih untuk menunggu makanan panas daripada makanan dingin dan lembek.
Makanan disini tidak hambar atau membosankan.,Makanan disini hambar dan membosankan dan tidak enak.
Yang ini sangat fokus.,Yang ini tidak fokus.
"Sebagai catatan, saya memasak dengan luar biasa, saya menggunakan berbagai macam bumbu!","Sebagai catatan, saya memasak dengan baik, saya menggunakan bumbu!"
Tow package ini juga bagus.,Tow package juga tidak masalah.
"Tidak pernah ramai, banyak kesempatan untuk bersenang-senang.","Sangat ramai, sulit untuk benar-benar bisa bersenang-senang."
Menurut saya itu luar biasa ketika karyawan berperilaku seperti itu.,Menurut saya itu sangat buruk ketika karyawan berperilaku seperti itu.
Saya tidak akan mencari salon yang lain sekarang.,Saya akan terus mencari salon yang lain.
Kamu tidak bisa membayar saya untuk tidak berbelanja disini!,Kamu tidak bisa membayar saya untuk berbelanja disini!
"French toastnya enak, kata ibu, telurnya panas.","French toastnya enak, kata ibu, tetapi telurnya dingin."
"Sekarang makanannya: tidak buruk, Diatas rata-rata.","Sekarang makanannya: tidak buruk, tapi dibawah standar."
Ini dengan mudah adalah makanan Yunani terbaik yang pernah saya makan dalam hidup saya.,Ini dengan mudah adalah makan Yunani terburuk yang pernah saya makan dalam hidup saya.
Saya ingin memberikan lima dari lima bintang untuk ini.,Saya ingin memberikan bintang nol untuk ini.
"Ketika itu datang, kami sangat bahagia.",Ketika itu datang seharusnya kami mengembalikannya.
Peralatannya sangat baru dan tampak bagus.,Peralatannya sangat tua dan tampak kotor.
Saya berseDia untuk mencoba!,Saya tidak berseDia untuk mencoba.
"Tempat ini berbau baru dan segar,",Tempat ini berbau busuk entah mengapa.
"Mereka selalu baik dan memenuhi janji, pelanggan sangat puas.","Intinya, mereka sering membuat janji berlebihan dan hasilnya kurang memuaskan."
Ini tepat seperti yang saya harapkan!,Saya tidak tau mengapa saya mengharapkan sesuatu yang berbeda.
Semuanya spesial tentang tempat ini.,Tidak ada yang spesial tentang tempat ini.
Razz mencapai segalanya.,Razz gagal pada setiap acara.
Manajemen sangat peduli pada pengalaman bermain golf.,Manajemen tidak lagi peduli tentang pengalaman bermain golf.
