positive_sentiment,negative_sentiment
Kamu akan terbantu oleh semua saran mereka yang ramah dan pengetahuan perjalanannya!,Tidak ada yang membantu saya ketika saya sedang menunggu dan tidak ada yang tau banyak tentang perjalanan.
Saya menghabiskan waktu dengan teman-teman terbaik saya dan menikmati wine dan makanan yang sempurna,Makanan dan wine sangat buruk dan teman-teman saya mengatakan hal yang sama.
Kami pergi dengan kelompok berisi delapan orang dan kami semuanya bersenang-senang.,"Tempat ini terlalu ramai, kami tidak menikmatinya."
Pelayanannya selalu luar biasa.,Pelayanannya mengecewakan.
Terima kasih telah menjadikan malam spesial kami menjadi acara yang tidak terlupakan.,Malam spesial kami hancur.
Saya memesan omelet spanyol yang besar dan lezat.,Omelet spanyol kecil dan rasanya hambar.
Mereka memiliki kursi pijat besar dan setiap tempat manikur cukup bersih.,Kursinya kecil dan mengecewakan.
Staff pelayanannya sangat menarik dan ramah!,Staff pelayanannya tidak ramah atau menarik.
"Juga, makanannya sangat enak!",Makanannya biasa saja.
Warna yang dia gunakan pada rambut pacar saya terlihat bagus.,Warna yang digunakan pada teman saya adalah pilihan yang buruk.
Itu konsisten dan staff selalu ramah.,Itu buruk secara konsisten dan staff selalu kasar.
Ramah dan terbuka dengan suasana yang menyenangkan dan makanan yang enak.,Tidak ramah dan tidak terbuka dengan suasana dan makanan yang buruk.
Chicken chimi yang saya makan sangat fantastis!,Chicken chiminya sangat menjijikan!
Itu juga menyenangkan untuk duduk di bar.,Itu tidak menyenangkan untuk duduk  di bar.
Supnya sangat enak.,Supnya akan membuat kamu ingin mati.
Makanan meksiko terbaik yang ada di daerah phoenix.,Makanan meksiko terburuk yang ada di daerah phoenix.
"Mereka profesional, teliti dan memperhatikan kebutuhan kami.","Mereka tidak profesional, terburu-buru dan mengabaikan kebutuhan kami."
Makan siang spesial mereka sangat berharga.,Makan siang spesial mereka tidak berharga.
Pengalaman kami dengan bisnis ini positif.,Pengalaman kami dengan bisnis ini negatif.
Staffnya luar biasa dan lokasinya tepat di tengah old town!,Staffnya mengecewakan dan lokasinya jauh dari old town.
Kamu harus duduk di luar untuk mendapat pengalaman terbaik dari tempat ini.,Duduk di luar membuat tempat ini semakin buruk.
Makanannya enak dan banyak.,Makanannya keras dan kering.
Dan fettuccine alfredonya sangat lezat!,Fettuccine alfredonya mengecewakan.
Kami mengembalikan truk sewa kami di lokasi ini dua minggu yang lalu.,Kami menghindari untuk mengembalikan truk sewa di sini dua minggu yang lalu.
Ini menambahkan sentuhan akhir pada tempat yang sudah luar biasa.,Ini menambahkan kekecewaan pada tempat yang sudah mengecewakan.
Harganya cukup mahal tapi sepadan.,Harganya mahal dan tidak sepadan.
Terapis pijatnya juga luar biasa.,Terapis pijatnya juga buruk.
Datang kesini dengan keluarga saya.,Datang kesini tanpa keluarga saya.
"Pemilik menjawab, saya akan berbagi separuh dengan kamu.","Pemilik menjawab, saya tidak akan berbagi separuh denganmu."
Escargotnya enak dan dibumbui dengan sempurna.,Escargotnya menjijikan dan dibumbui dengan buruk.
Britanny memberikan saya potongan rambut yang baru dan benar-benar mengubah saya.,Britanny memberikan potongan rambut yang sangat kuno dan merusak saya sepenuhnya.
Resor ini sudah lama di Scottsdale dan banyak dikenal karena pelayanannya.,Resor ini sudah lama di Scottsdale dan sangat buruk pelayanannya.
Wonton kepitingnya juga enak bersama saus plum pedas.,Wonton kepitingnya buruk bersama saus plum pedas.
Saya telah mendapatkan begitu banyak gaun dengan harga yang sangat murah!,Saya telah mendapatkan banyak gaun dengan harga yang sangat buruk!
Tempat yang bagus untuk minum satu atau dua gelas.,Tempat yang buruk untuk minum satu atau dua gelas.
Kue cokelat tanpa tepung ini salah satu makanan penutup terbaik yang pernah saya coba.,"Kue cokelat ini buruk, terburuk yang pernah saya makan."
Pemandangan yang cantik dan staff yang ramah.,Pemandangan dan dekorasi yang buruk begitu pula dengan staffnya.
Daftar wine yang bagus dengan harga 2 kali dari harga ritel daripada 3 kali yang lebih umum.,Daftar wine yang buruk dan terlalu mahal.
Kamu sangat menikmati hari kami di sungai dan tidak sabar untuk kembali!,"Hari kami di sungai sangat buruk, tidak ingin kembali lagi."
Jika kamu muda dan tertarik dengan olahraga maka tempat ini cocok untukmu.,"Tidak peduli umur berapapun, kamu tidak akan menyukainya."
Saya suka koleksi desain bintang mereka.,Saya tidak suka koleksi desain bintang mereka.
Saya juga suka jus segar mereka.,Saya juga tidak suka jus segar mereka.
Tentunya harus dilakukan jika kamu memiliki waktu di daerah phoenix.,Tentunya harus dihindari jika kamu ada di daerah phoenix.
Oj dan Jeremy melakukan pekerjaan yang baik!,Oj dan Jeremy melakukan pekerjaan yang buruk!
"Ban, penyetelan, rem, dan lainnya.","Tidak ada ban, penyetelan, dan rem, sama sekali tidak ada."
Itu juga sangat bagus!,Itu juga sangat buruk!
Staff : sangat imut dan ramah.,Staff : sangat jelek dan jahat.
Suka teh sore di phoenician.,Benci teh sore di phoenician.
Saus enchilada mereka melengkapi hidangan ini dengan sempurna.,Saus enchilada mereka menggagalkan hidangan ini.
Dekorasi yang cantik dan pelayanan yang bagus.,Dekorasi dan pelayanan yang buruk.
Sangat puas dengan layanan dan kualitas kerjanya.,Tidak puas dengan layanan dan kualitas kerjanya.
Salah satu tempat favorit saya untuk steak yang enak.,Salah satu tempat terakhir yang akan saya datangi karena steaknya.
Tempat ini sangat enak!,Tempat ini sangat tidak enak!
Mereka luas dengan dekorasi yang sederhana.,Mereka sempit dengan dekorasi yang mencolok mata.
Ini tempat yang akan saya datangi di lingkungan ini.,Ini adalah tempat terakhir yang akan saya kunjungi di lingkungan ini.
Orang di sonora sangat baik ke saya.,Orang di sonora tidak baik ke saya.
Patio adalah tempat yang menyenangkan untuk dikunjungi pada jam 19.00.,Patio bukan tempat yang menyenangkan untuk dikunjungi pada jam 19.00.
Itu sangat sepadan.,Itu tidak sepadan.
"Oh sushi kee, betapa saya sangat menyukainya!","Oh sushi kee, betapa saya membencinya!"
Dia menjaga minuman kami tetap penuh dan memberikan kami rekomendasi makanan yang enak.,Dia tidak menjaga minuman kami tetap penuh dan memberikan kami saran makanan yang buruk.
"Saya suka burger, saya mencoba burger jalapeno ranch dan rasanya benar-benar lezat.","Saya mencoba burger jalapeno ranch, itu tidak begitu enak."
Hidangan kebab yang enak dan pelayanan yang bagus.,Hidangan kebab dan pelayanan tidak terlalu bagus.
Saya sarapan bagel sandwich dan itu enak!,"Saya sarapan bagel sandwich, itu tidak terlalu enak."
Pelayanannya luar biasa dan staff sangat ramah.,"Pelayanannya tidak baik, dan staff tidak ramah sama sekali."
Meja pool dan minuman murah membuat malam ini menyenangkan!,Minuman mahal dan meja pool membuat malam ini tidak menyenangkan.
"Telurnya selalu lembut, buahnya selalu enak.","Terlunya tidak terlalu lembut, buahnya biasa saja."
Harganya murah dan masuk akal.,Harganya terlalu mahal.
"Orang-orang ini luar biasa, jujur, dan berlogika.","Orang-orang ini biasa saja, mungkin jujur."
Mereka membuat saya merasa seperti di rumah dan mereka seperti keluarga yang besar!,Saya merasa seperti orang asing di sana.
"Terkadang hanya potongan sederhana, kadang-kadang pewarnaan yang lebih rumit.",Warnanya tidak menarik dan kebanyakan sama.
Memberikan tambahan bintang untuk layanan pelanggan.,Mereka harusnya mendapat nol bintang.
Itu adalah satu mangkuk kebahagiaan.,Itu adalah satu mangkuk sampah.
Salah satu tempat makan chinese favorit saya!,Saya tidak akan mengunjungi tempat ini lagi.
Selalu baik setelah sungai.,Tidak begitu bagus setelah sungai.
"Makanan enak, satu piring habis begitu saja.",Hidangan yang tidak bagus untuk kami.
Pelayanan bagus dan akan kembali dengan senang hati.,Saya tidak suka pelayanannya sehingga saya tidak akan kembali.
Saya suka tacos daging babi.,Tacos daging babinya basi.
Semuanya ramah dan berpengetahuan luas.,Tidak ada yang ramah atau membantu.
Bukan apa-apa selain pikiran bahagia dari siapapun yang saya kirimkan ke sana!,Saya tidak akan mengirimkan siapapun ke sana.
Sangat menyukai boneka itu.,Boneka tidak begitu bagus.
Jennifer hebat dan dia membuat perawatan kulit yang murah.,Jenifer buruk dan membuat perawatan kulit yang sangat mahal.
Ini adalah sesuatu yang langka dan saya sangat bersemangat telah menemukannya.,Ini bukan sesuatu yang langka dan saya tidak senang telah menemukannya.
Ini adalah pizza yang sangat enak!,Ini adalah pizza yang sangat buruk!
Semua yang telah kami pesan di sini sangat enak!,Semua yang telah kami pesan di sini sangat buruk.
Itu adalah restoran Thai yang paling autentik di daerah ini.,Itu adalah restoran Thai yang tidak autentik di daerah ini.
Staff yang hebat dan makanan yang luar biasa.,Staff dan makanan tidak bagus.
"Suka saus molenya, keripiknya enak dan tebal.",Saya tidak suka saus mole atau keripik tipis.
"Pergi kesini, kamu akan menyukainya.","Jangan kesini, kamu tidak akan menyukainya."
Saya lebih suka iga dari pada ayam.,Saya tidak suka iga lebih dari ayam.
Staff dan perjalan yang hebat.,Staff dan perjalanan sangat buruk.
Kami juga terkejut ketika kami membawa anjing kami untuk disuntik terakhir kali.,Kami kaget ketika kami membawa anjing kami untuk disuntik.
Saya merekomendasikan drunken dragon noodles untuk para pecinta pedas!,Saya tidak merekomendasikan drunken dragon noodles jika kamu suka pedas.
"Untuk toko lokal, tempat ini bagus!","Untuk toko lokal, tempat ini sangat buruk!"
Tempat ini mengingatkan saya dengan rumah!,Tempat ini mengingatkan saya untuk pulang ke rumah.
Salah satu tempat langganan di Scottsdale.,Bukan tempat yang biasa saya kunjungi di Scottsdale.
Saya pastinya akan pergi ke sana lagi!,Saya tidak akan pergi ke sana lagi!
"Datang untuk makan siang, daftar wine yang baik, pelayanan yang bagus.","Saya datang untuk makan siang, baik daftar wine maupun pelayanannya keduanya tidak bagus."
Saya suka bahwa tempat ini adalah tempat dalam komik - Family Circus.,Saya tidak suka bahwa Family Circus adalah tempat dalam komik.
Itu adalah kelezatan internasional.,Ini bukan kelezatan internasional.
Itu sangat imut dan misterius!,Itu tidak imut atau misterius.
Saya suka tempat duduk di luar ruangan dan event reverse happy hour sangat terjangkau.,"Tempat duduk di luar ruangan terlalu ramai, dan tidak pernah ada event happy hour."
Suasana di Sugar Bowl sangat menyenangkan.,Suasana di Sugar Bowl negatif.
"Seperti yang dikatakan, saya menikmati makanannya.",Makanan di sini sangat buruk.
"Makanan bagus, dekorasi bagus!","Dekorasi tua, makanan yang sangat buruk di sini."
Makanannya selalu segar.,Makanannya selalu dingin.
"Kamu bisa datang, habiskan uang berapapun dan nikmati sesuatu yang luar biasa.","Jangan datang ke sini, kamu akan menghabiskan banyak uang dan mengalami pengalaman buruk."
Seluruh makanan yang saya coba semuanya sempurna.,Semua makanan sangat buruk dan rasanya sudah lama.
"Sejauh ini, layanan pelanggan yang bagus.","Sejauh ini, layanan pelanggannya kasar."
Rick adalah laki-laki yang cool!,Rick adalah orang paling jahat.
Kami makan disini kemarin karena ada happy hour dan itu fantastis.,Kami makan di sini beberapa hari yang lalu dan happy hour sangat buruk.
Itu adalah penemuan langka dalam sebuah bisnis.,Itu bukan sesuatu yang spesial dalam suatu bisnis.
Itu makanan padat yang enak.,Ini bukan makanan yang sangat substansial.
"Klub yang bagus, tata letaknya bagus, lapangannya dalam kondisi baik hingga di atas rata-rata.","Klubnya tidak begitu bagus, tata letaknya tidak bagus, lapangannya dalam kondisi standar yang cenderung buruk."
Kami pastinya akan kembali!,Kami mungkin tidak akan kembali.
Meatloaf ketika mereka menyediakannya sangat luar biasa.,"Meatloaf jika mereka bahkan menyediakannya, itu tidak spesial sama sekali."
Makanan di sini juga enak sekali!,Makanan di sini juga sangat buruk!
"Terima kasih amanda, saya akan kembali!","Tidak, terima kasih amanda, saya tidak akan kembali lagi!"
Saya suka rasa kopi mereka.,Saya benci rasa kopi mereka.
Staffnya membuat kami merasa disambut dannyaman.,Staffnya membuat kami merasa terasing dan tidaknyaman.
Makanan disini enak dan saya beritahu itu lebih tepatnya autentik.,Makanannya tidak enak dan saya beritahu itu lebih tepatnya tidak autentik.
Saya ingin merekomendasikan dokter gigi dari Old Town Scottsdale ke semua orang.,Saya tidak akan merekomendasikan dokter gigi dari Old Town Scottsdale ke semua orang.
Ayah saya sudah memutuskan untuk mengganti cincin pertunangan ibu saya pada Natal ini.,Ayah saya sudah memutuskan untuk tidak mengganti cincin pertunangan ibu saya pada Natal ini.
Tawaran terbaik dari toko ini ada di rak-rak ini.,Penawaran terburuk di toko ini ada di rak-rak ini.
Orang-orang di sini sangat baik dan suka menolong.,Orang-orang di sini tidak baik atau suka menolong.
"Tentunya, saya akan membawa kembali seluruh kendaraan saya!",Mereka mungkin tidak akan mengembalikan kendaraan saya.
Salsanya fantastis meskipun saya akan meminta yang lebih panas pada waktu selanjutnya.,Salsanya sangat buruk meskipun saya akan meminta yang lebih panas pada waktu selanjutnya.
Tempat yang bagus untuk mencoba donut yang baru dibuat dan enak.,Tempat yang buruk untuk mencoba donut yang baru dibuat dan enak.
Datang ke sini untuk sarapan dan itu adalah keputusan terbaik.,Datang ke sini untuk sarapan dan itu keputusan terburuk.
Mereka memiliki pilihan combo yang sempurna untuk dipilih.,Mereka memiliki pilihan combo yang buruk untuk dipilih.
"Mereka sangat enak, tidak terlalu berminyak tetapi lembut dan ringan.","Mereka sangat buruk, terlalu berminyak dan tidak lembut ataupun ringan."
Pilihan salad dan pasta yang bagus di deli.,Tidak ada pilihan salad atau pasta yang bagus di deli.
Kualitas makanan dan pelayanan yang sangat bagus secara keseluruhan.,Kualitas makanan dan pelayanan yang tidak begitu bagus secara keseluruhan.
Semua orang sangat baik dan profesional.,Semua orang tidak begitu baik dan profesional.
Saya mencoba sampel tamale.,"Sayangnya, saya memesan sampel tamale."
Matt juga sangat cool dan suka membantu.,Matt juga tidak begitu cool dan tidak suka membantu.
"Menghabiskan makanan saya, porsi makanan yang sempurna.",Makanannya kurang.
"Dan lagi, makanannya sangat lezat!",Saya pernah makan makanan yang lebih baik dengan harga yang lebih murah.
Tapi ini sepadan dengan waktu yang dihabiskan untuk menunggu.,Sangat tidak sepadan dengan waktu yang dihabiskan untuk menunggu.
Grimaldi adalah tempat pizza yang selalu luar biasa konsistennya di Arizona.,"Mengklaim sebagai pizza terbaik di Arizona, saya rasa itu tidak benar sama sekali."
Selalu mendapatkan layanan pelanggan yang sangat baik setiap kali saya datang ke sini.,Layanan pelanggan di sini kurang memuaskan.
Pelayanan yang hebat dari staffnya.,Pelayanan yang buruk dan staff yang buruk sekali.
Saya juga memesan makanan penutup di sini saat saya ingin yang manis.,"Tidak merekomendasikan makanan penutup di sini, rasanya sudah lama."
Saya selalu mendapat makanan yang enak untuk makan di sini.,Mereka memberikan pilihan hidangan yang terburuk disini
Ini adalah pizza favorit saya sejauh ini.,Ini adalah pizza terburuk yang pernah saya makan.
Bartendernya sangat ramah dan cepat membantu kami terutama ketika ada keramaian.,Bartendernya kasar dan sangat lambat membantu kami.
Pelayanannya bagus karena mereka terus memeriksa meja kami.,Pelayanannya buruk karena mereka terus mengabaikan meja kami.
"Terima kasih para wanita, kalian luar biasa!","Tidak terima kasih, para wanita kalian buruk sekali!"
"Pelayanan yang luar biasa dan cepat, orang-orang ini sangat paham dengan apa yang mereka lakukan.","Pelayanan yang buruk dan lambat, orang-orang ini tidak tau apa yang mereka lakukan."
Museum yang bagus untuk dikunjungi.,Museum yang buruk untuk dikunjungi.
Saya senang untuk pergi kerja dan menikmati sarapan yang enak!,Saya senang bisa pergi kerja dan menikmati sarapan yang buruk!
Harga yang terjangkau dan mencicipi yang enak setidaknya sebulan sekali.,"Harga yang mengerikan, dan rasanya tidak enak."
"Pelayanan kami adalah yang terbaik, sangat mengakomodasi.","Pelayan kami adalah yang terburuk, sangat mengganggu."
"Meski menunya sederhana, apa yang ditawarkannya benar-benar berkelas.","Menunya rumit, dengan item yang kualitasnya sangat rendah."
Itu tidak murah tapi kamu akan mendapatkan barang yang berkualitas di sini.,Sangat mahal dan kualitas buruk di sini.
"Menu yang baik , harga yang sesuai, pelayanan yang bagus untuk makan malam dan sarapan!","Menu yang sangat buruk, harga yang mahal, layanan pelanggan yang buruk."
"Makanan enak, harga sayap ayam yang bagus pada hari Selasa.","Makanan yang buruk, harga yang terlalu mahal dan sayap ayam pada hari Selasa terlalu kecil."
Tempatnya ramai tapi pelayanannya sempurna!,Tempatnya ramai dan harus menunggu satu jam untuk mendapatkan makanan saya.
"Malam ini, saya memesan untuk dibawa pulang dan makanannya tetap enak.","Saya memesan untuk dibawa pulang, tetapi sepertinya mereka tidak memasak makanan yang segar untuk saya."
Tempat ini menyediakan makanan yang enak.,Tempat ini tidak menyediakan makanan yang bagus.
Dua pria di depan selalu sangat ramah.,Dua pria di depan kasar dan tidak membantu saya.
"Salsanya enak, ikan yang terbaik, minumannya sempurna.","Salsanya tipis, ikan berbau, minumannya sangat encer."
"Saya sangat suka tempat ini, saya sebenarnya mempertimbangkan untuk membeli waralaba.","Saya sangat benci tempat ini, saya sebenarnya mempertimbangkan untuk menutup waralaba."
Dan seafood enchiladanya sangat enak!,Dan seafood enchiladasnya sangat buruk!
Rotinya tentu saja buatan rumahan dan saya mungkin bisa makan itu sepanjang hari.,Rotinya tentu saja bukan buatan rumahan dan saya tidak mungkin bisa makan itu sepanjang hari.
"Porsinya besar, makanannya disajikan panas, segar, dan enak.","Porsinya kecil, makanannya disajikan dingin, tidak segar, dan hambar."
Agak bising tapi makanannya segar yang membuatnya sepadan.,Agak bising dan makanannya basi jadi tidak sepadan.
Suasana dan pengaturannya luar biasa.,Suasana dan pengaturannya kurang memuaskan.
Pizza dimasak dengan sempurna dan cepat!,Pizza dimasak sampai garing dan sangat lama!
Bartender kami yang bernama erik melayani tunangan saya dan saya dengan sangat baik.,Bartender kami bernama erik tidak melayani tunangan saya dan saya dengan baik.
Semua orang yang bekerja disini selalu bahagia dan ramah.,Semua orang yang bekerja disini selalu marah dan tidak ramah.
Saya suka makanan pembuka cornbread.,"Saya suka makanan pembuka cornbread, hanya itu makanan yang enak di menu."
Memesan huevos rancheros dan itu lezat!,"Memesan huevos rancheros, mereka lezat tapi pelayanannya biasa saja."
Layanan pelanggan di lokasi ini sangat bagus!,"Tempat ini memiliki layanan pelanggan yang bagus, tapi makanannya biasa saja."
Firecracker shrimp dan bebek juga selalu menjadi pemenang.,Firecracker shrimp dan bebek hanya satu-satunya pemenang di menu.
Pelayanannya luar biasa!,Pelayanannya luar biasa tapi makanannya mengecewakan!
Pelayanannya ramah dan penuh perhatian.,Pelayanannya buruk dan menyakitkan.
Makanan yang enak dan pelayanan yang mengagumkan!,Makanan yang sangat buruk dan layanan pelanggan yang jelek.
Tempat ini masih luar biasa.,Tempat ini benar-benar buruk.
Biskuit dan gravy adalah menu sarapan yang bagus juga.,Biskuit dan gravy adalah menu yang buruk di sini.
Selalu pengalaman yang luar biasa disana bersama dengan pemilik dan seluruh tim.,"Selalu pengalaman yang buruk, pemilik dan staffnya kasar."
Sangat layak mencari sesuatu seberharga ini.,Ini bukan sesuatu berharga yang layak untuk dicari.
Suami saya dan saya menikmati perayaan hari jadi ketiga kami disini.,Suami saya dan saya tidak menikmati perayaan hari jadi ketiga kami di sini.
Ini adalah lapangan golf yang tersembunyi sedang dalam kondisi yang sangat baik.,Ini adalah lapangan golf yang tersembunyi sedang dalam kondisi yang buruk.
Ditambah sprakling wine flights saya sangat enak!,Ditambah sprakling wine flights saya sangat menjijikan!
Mahal tapi pie keju sangat enak!,Mahal dan pie keju ini sangat menjijikan!
BBG salmonnya enak.,Benci BBQ salmonnya karena sangat buruk.
Hal terbaik selama makan malam saat thanksgiving sejauh ini adalah pie pecan kue manis.,Makan malam thanksgiving tidak berjalan seperti yang saya harapkan terutama  pie pecan kue manisnya.
Bahkan sayur kukus mereka sangat luar biasa.,Sayur kukus mereka tidak dikukus dengan benar.
Tempat ini harus kamu kunjungi jika kamu akan menikah!,Jika kamu akan menjadi pengantin maka pergi menjauh.
"Kombinasi rasa yang sempurna, sangat unik.","Rasanya biasa saja, tidak ada yang istimewa."
Iga sapi mustard adalah hidangan yang harus dicoba.,Iga sapi mustard terlalu keras.
Saya mencoba burgernya sekali dan itu sangat enak dan penuh dengan cita rasa.,Burgernya tidak enak dan tidak berasa.
Saya menilai pengalaman ini seperti berikut.,Pengalamannya sangat buruk.
Selalu memesan saus tzatziki dengan hidangan apapun!,Saus tzatzikinya sangat hambar bagi saya.
Makanan saya sangat memuaskan dan sangat berbumbu.,Makanannya tidak dimasak dengan benar dan tidak ada rasa.
Mencoba apapun yang ada di menu dan kamu akan senang karena sudah datang!,Saya tidak akan mencoba apapun dari menu mereka.
Bartender membuat dirty martini yang enak!,Bartender memberikan saya martini encer.
Astaga carlsbad tavern sangat luar biasa!,"Carlsbad tavern, kamu harus meningkatkan pelayananmu."
"Selain dari itu, itu sangat bagus!","Selain dari itu, saya tidak akan kembali."
Sarapan terbaik yang pernah saya coba saat perjalan saya baru-baru ini ke Scottsdale.,"Sarapannya dingin, tidak menikmatinya."
Sangat perhatian dan orang baik yang tulus.,"Mereka tidak terlalu memperhatikan, orang-orang yang mengerikan,"
Itu makanan rumahan dari Meksiko yang sederhana dan tradisional serta rasanya enak.,Makanannya hambar dan tidak terasa tradisional.
Makanannya sangat segar dan luar biasa.,Makanannya sudah lama dan basi.
"Lingkungannyanyaman, pelayannya ramah dan penuh perhatian.",Tempatnya tidak ramah dan staffnya tampak cuek.
Tacos ikan cukup enak.,Tacos ikan terburuk yang pernah saya makan.
