original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
very truthful in the advertising,i guess it fails in the truth department on its advertising .,sangat jujur ​​dalam periklanan,saya kira itu gagal di departemen kebenaran dalam periklanannya.,very honest in advertising,I think it fails in the truth department in its advertising.
the grain shape was good,the shape of the grains makes all the difference .,bentuk butirannya bagus,bentuk butirannya membuat perbedaan besar.,the granular shape is good,the shape of the grain makes a big difference.
i woke up with something like an oil slick on my face,i woke up with basically an oil slick on my face .,aku terbangun dengan sesuatu seperti minyak yang licin di wajahku,Aku terbangun dengan minyak yang licin di wajahku.,I woke up with something like oil slick on my face,I woke up with an oil slick on my face.
I tried a cheaper but much worse brand on rubber broad heads than these.,i also tried a cheaper brand of slip on rubber broad heads .,Saya mencoba merek karet lebar yang lebih murah tetapi jauh lebih buruk daripada ini.,saya juga mencoba merek slip on karet kepala lebar yang lebih murah.,I tried a cheaper brand of wide rubber but it was much worse than this.,I also tried a cheaper brand of wide head rubber slip on.
it was just the right amount of potatoes and had a great clam flavor .,it was all potatoes and had very little clam flavor .,jumlah kentangnya tepat dan memiliki rasa kerang yang enak.,itu semua kentang dan memiliki sedikit rasa kerang.,the amount of potato was just right and had a nice clam flavor.,it was all potato and had a hint of clam flavor.
i do not like very much this belt because of slight lack of material,i do not like this belt because of lack of material .,saya tidak terlalu menyukai sabuk ini karena bahannya sedikit kurang,saya tidak suka ikat pinggang ini karena bahannya kurang.,I don't really like this belt because the material is a little lacking,I don't like this belt because the material is not enough.
take some time and spend the money on these jeans.,don t waste your time or money on these jeans .,luangkan waktu dan habiskan uangnya untuk membeli jeans ini.,jangan buang waktu atau uang Anda untuk jeans ini.,take the time and spend the money to buy these jeans.,don't waste your time or money on these jeans.
the great noise sounds with they touch each other,they also make noise if you happen to touch one against the other .,suara keras terdengar saat mereka saling bersentuhan,mereka juga mengeluarkan suara jika Anda menyentuh satu sama lain.,a loud sound was heard when they touched each other,they also make a sound if you touch each other.
I am 100 percent positive it depends on your age and body type .,i m sure it depends on your age and body type .,Saya 100 persen yakin itu tergantung pada usia dan tipe tubuh Anda.,Saya yakin itu tergantung pada usia dan tipe tubuh Anda.,I'm 100 percent sure it depends on your age and body type.,I'm sure it depends on your age and body type.
"worse , the controls are a little confusing, it almost gave me a headache","worse ,  the controls are so confusing that it gives me a headache .","parahnya, kontrolnya sedikit membingungkan, hampir membuat saya pusing","parahnya, kontrolnya sangat membingungkan sehingga membuat saya pusing.","worse, the controls are a little confusing, almost giving me a headache","worse, the controls are so confusing that they give me a headache."
"these are supposedly cotton , and they feel exactly like it.","these are supposedly cotton ,  but they don t feel like it .","ini seharusnya terbuat dari katun, dan rasanya persis seperti itu.","ini seharusnya terbuat dari katun, tapi rasanya tidak seperti itu.","these are supposed to be made of cotton, and they feel exactly like that.","It's supposed to be made of cotton, but it doesn't feel like it."
my husband said it was obvious so i desired to return it .,my husband said it was obvious so i had to return it .,suamiku bilang itu sudah jelas jadi aku ingin mengembalikannya.,kata suamiku sudah jelas jadi aku harus mengembalikannya.,my husband said it was obvious so I wanted to return it.,My husband said it was clear so I had to return it.
"he loves this toy, and can get the treats out fairly quickly.","he enjoys this toy ,  but can get the treats out fairly quickly .","dia menyukai mainan ini, dan dapat mengeluarkan camilannya dengan cukup cepat.","dia menyukai mainan ini, namun dapat mengeluarkan camilannya dengan cukup cepat.","he loves this toy, and can get his treats out fairly quickly.","he loves this toy, but can get his treats out quite quickly."
"i simply treated it how i would assume a curling iron works, and it was great",i simply treated it how i would assume a curling iron works .,"Saya hanya memperlakukannya sebagaimana saya menganggap alat pengeriting rambut berfungsi, dan itu hebat",Saya hanya memperlakukannya sebagaimana saya menganggap alat pengeriting rambut berfungsi.,"I just treat it the way I think a curling iron works, and it's great",I just treat it as I would consider a curling iron to work.
i ve been really impressed with this box .,i ve not been terribly impressed with this box .,saya sangat terkesan dengan kotak ini.,saya tidak terlalu terkesan dengan kotak ini.,I am very impressed with this box.,I'm not very impressed with this box.
something i would give as a wrapped birthday gift .,hardly something i would give as a wrapped birthday gift .,sesuatu yang akan saya berikan sebagai hadiah ulang tahun yang dibungkus.,hampir tidak ada sesuatu yang akan saya berikan sebagai hadiah ulang tahun yang dibungkus.,something I would give as a wrapped birthday present.,hardly something I would give as a wrapped birthday present.
I would give this to the new puppy I'm getting.,i won t give this to the new puppy i m getting .,Saya akan memberikan ini kepada anak anjing baru yang saya pelihara.,aku tidak akan memberikan ini pada anak anjing baru yang kudapat.,I will give this to a new puppy I am fostering.,I wouldn't give this to a new puppy I got.
didn't have to spend a lot of time spent more time fiddling with this so i was free to focus on the road.,spent more time fiddling with this than i did looking at the road .,Tidak perlu menghabiskan banyak waktu untuk mengutak-atik ini sehingga saya leluasa fokus di jalan.,menghabiskan lebih banyak waktu mengutak-atik ini daripada melihat ke jalan.,No need to spend a lot of time fiddling with this so I can freely focus on the road.,spent more time fiddling with this than looking at the road.
multiplayer is even better.,"multiplayer is just as bad ,  though thankfully not worse .",multipemain bahkan lebih baik.,"multipemain sama buruknya, meski untungnya tidak lebih buruk.",multiplayer is even better.,"multiplayer is just as bad, though thankfully not worse."
this one sits on our shelf and is frequently used.,this one sits on our shelf collecting dust .,yang ini ada di rak kami dan sering digunakan.,yang ini ada di rak kami dan mengumpulkan debu.,this one is on our shelf and used often.,this one is sitting on our shelf collecting dust.
if your bike had a kickstand on the plate it would lock down.,if your bike had a kickstand on the plate it won t lock down .,"jika sepeda Anda memiliki penyangga di pelatnya, sepeda itu akan terkunci.","jika sepeda Anda memiliki penyangga di pelatnya, sepeda itu tidak akan terkunci.","if your bike has a brace on the plate, it will lock.","if your bike has a brace on the plate, it won't lock."
"might work for others , didn t work perfectly for me","might work for others ,  didn t work for me .","mungkin bekerja untuk orang lain, tidak bekerja dengan sempurna untuk saya","mungkin berhasil untuk orang lain, tidak berhasil untuk saya.","may work for others, doesn't work perfectly for me","may work for others, didn't work for me."
just hurry up and play the song for goodness sake .,just hurry up and play the darn song and move on for goodness sake .,cepatlah dan mainkan lagunya demi kebaikan.,cepatlah dan mainkan lagu sialan itu dan lanjutkan demi kebaikan.,hurry up and play the song for goodness sake.,hurry up and play the damn song and move on for good.
the bowl is slightly too light we even had it on a rubber mat,the bowl is too light  we even had it on a rubber mat .,"mangkuknya agak terlalu ringan, kami bahkan meletakkannya di atas alas karet","mangkuknya terlalu ringan, kami bahkan meletakkannya di atas alas karet.","the bowl is a bit too light, we even put it on a rubber base","the bowl is too light, we even put it on a rubber base."
They didn't come out with this wrestling game.,in num_num thq came out with this wrestling game .,Mereka tidak keluar dengan permainan gulat ini.,di num_num thq keluar dengan permainan gulat ini.,They didn't come out with this wrestling game.,in num_num thq came out with this wrestling game.
is get all the good reviews,i don t know why it has all the good reviews .,adalah mendapatkan semua ulasan bagus,saya tidak tahu mengapa semua ulasannya bagus.,is getting all the good reviews,I don't know why all the reviews are good.
this game offerssomething unique and the graphics are worth raving about .,this game offers nothing unique and the graphics are not worth raving about .,game ini menawarkan sesuatu yang unik dan grafisnya patut dipuji.,game ini tidak menawarkan sesuatu yang unik dan grafisnya tidak layak untuk dikagumi.,This game offers something unique and the graphics are commendable.,the game doesn't offer anything unique and the graphics aren't worth admiring.
it's hard to believe this will last as long as claimed,there s no way this will last as long as claimed .,sulit dipercaya ini akan bertahan selama yang diklaim,tidak mungkin ini akan bertahan selama yang diklaim.,hard to believe this will last as long as claimed,there's no way this will last as long as claimed.
gives me confidence in buying any of the discovery kids toys .,does not give me any confidence in buying any of the discovery kids toys .,memberi saya kepercayaan diri untuk membeli mainan anak-anak penemuan apa pun.,tidak memberi saya kepercayaan diri untuk membeli mainan anak-anak penemuan apa pun.,gives me the confidence to buy any discovery kids toy.,doesn't give me the confidence to buy any discovery kids toys.
after that you don't even have to pay a subscription .,after that you have to pay a subscription .,setelah itu Anda bahkan tidak perlu membayar langganan.,setelah itu Anda harus membayar langganan.,after that you don't even have to pay a subscription.,after that you have to pay the subscription.
I found them in my area,i ordered these from amazon since i could find them nowhere in my area .,Saya menemukannya di daerah saya,saya memesan ini dari amazon karena saya tidak dapat menemukannya di mana pun di daerah saya.,I found it in my area,i ordered this from amazon because i couldn't find it anywhere in my area.
other brands in this large of a container aren't glass .,other brands in this large of a container are glass .,merek lain dalam wadah sebesar ini bukan kaca.,merek lain dalam wadah sebesar ini adalah kaca.,other brands in containers this size are not glass.,Another brand in containers this size is glass.
the energy product is great with money,another  energy  product that simply wastes our money .,produk energi sangat bagus dalam hal uang,produk energi lain yang hanya membuang-buang uang kita.,Energy products are great for the money,another energy product that is just a waste of our money.
generally I like it if a toy makes noise.,"generally if a toy makes noise ,  i don t mind so much .",umumnya saya suka jika mainan mengeluarkan suara.,"Umumnya jika mainan mengeluarkan suara, saya tidak terlalu keberatan.",generally I like it when toys make sounds.,"Generally if a toy makes a sound, I don't mind too much."
it reminds me more of a higher quality product than of a concealer,it reminds me more of silly putty than of a concealer .,ini lebih mengingatkan saya pada produk berkualitas lebih tinggi daripada concealer,itu lebih mengingatkanku pada dempul konyol daripada concealer.,it reminds me more of a higher quality product than a concealer,it reminds me more of silly putty than concealer.
it works at all times,"so after two months of use ,  working in it .",ini berfungsi setiap saat,"jadi setelah dua bulan digunakan, bekerjalah di dalamnya.",it works every time,"so after two months of use, work on it."
this is just very high quality.,this is just a little too low quality .,ini hanya kualitas yang sangat tinggi.,ini kualitasnya agak terlalu rendah.,it's just very high quality.,this is a bit too low quality.
then please contact sharp and go on from there .,then contact sharp and go on from there .,lalu silakan hubungi sharp dan lanjutkan dari sana.,lalu hubungi sharp dan lanjutkan dari sana.,then please contact sharp and go from there.,then contact sharp and go from there.
most products are great for preventing dandruff caused by dry scalp,most products are for dandruff caused by dry scalp .,sebagian besar produk bagus untuk mencegah ketombe yang disebabkan oleh kulit kepala kering,sebagian besar produk ditujukan untuk ketombe yang disebabkan oleh kulit kepala kering.,most products are good for preventing dandruff caused by dry scalp,most products are aimed at dandruff caused by dry scalp.
the concept was flawless and worked very well overall.,the concept was great and it worked very well when it worked .,konsepnya sempurna dan bekerja dengan sangat baik secara keseluruhan.,konsepnya hebat dan bekerja dengan sangat baik ketika berhasil.,the concept is perfect and works very well overall.,the concept is great and works very well when it works.
the graphics are light years more improved over the previous version .,the graphics are most definitely improved over the previous version .,grafisnya bertahun-tahun lebih ditingkatkan dibandingkan versi sebelumnya.,grafisnya pasti lebih baik dari versi sebelumnya.,the graphics are years more improved than previous versions.,The graphics are definitely better than the previous version.
"a little at first , more pleasant with each successive try .","a little at first ,  more with each successive try .","sedikit pada awalnya, lebih menyenangkan dengan setiap percobaan berturut-turut.","sedikit pada awalnya, lebih banyak pada setiap percobaan berturut-turut.","a little at first, more fun with each successive try.","a little at first, more on each successive try."
i m sure what all the five star reviews are for .,unfortunately i m not sure what all the five star reviews are for .,Saya yakin untuk apa semua ulasan bintang lima itu.,sayangnya saya tidak yakin untuk apa semua ulasan bintang lima itu.,I'm sure that's what all the five star reviews are for.,unfortunately I'm not sure what all the five star reviews are for.
the update will be added soon,i will add an update if i ever figure it out .,pembaruan akan segera ditambahkan,saya akan menambahkan pembaruan jika saya mengetahuinya.,updates will be added soon,I'll add an update if I find out.
"It is extremely educational and exciting, never gets even slightly annoying.",it not educational or exciting and it s annoying .,"Ini sangat mendidik dan mengasyikkan, bahkan tidak pernah sedikit pun mengganggu.",itu tidak mendidik atau mengasyikkan dan menjengkelkan.,"It's highly educational and engrossing, never even remotely annoying.",it's not educational or exciting and it's annoying.
if you get these you'll love them .,if you get these just be a bit careful .,"jika Anda mendapatkan ini, Anda akan menyukainya.","jika Anda mendapatkannya, berhati-hatilah.","if you get this, you will love it.","if you get it, be careful."
fortunately this product was perfect for me.,unfortunately this product did not do much for me .,untungnya produk ini sangat cocok untuk saya.,sayangnya produk ini tidak berbuat banyak untuk saya.,fortunately this product is very suitable for me.,Unfortunately this product didn't do much for me.
speedloader is very easy to use especially with an extended magazine,speedloader is very hard to use especially with an extended magazine .,speedloader sangat mudah digunakan terutama dengan magazine yang diperluas,speedloader sangat sulit digunakan terutama dengan magazine yang diperpanjang.,The speedloader is very easy to use especially with the extended magazine,speedloaders are very difficult to use especially with extended magazines.
it was a great replacement for the jawbone,i purchased this jawbone hd as a replacement for an older jawbone thinker .,itu adalah pengganti yang bagus untuk tulang rahang,saya membeli hd tulang rahang ini sebagai pengganti pemikir tulang rahang yang lebih tua.,it is a great replacement for the jawbone,I purchased this Jawbone HD as a replacement for an older Jawbone thinker.
it creates less noisy static than the one i m used to .,"also ,  it creates more static than the one i m used to .",itu menciptakan kebisingan statis yang lebih sedikit daripada yang biasa saya lakukan.,"juga, ini menciptakan lebih banyak statis daripada yang biasa saya lakukan.",it creates less static noise than I'm used to.,"also, it creates more static than I'm used to."
the buttons to extend the arms worked without breaking,the buttons to extend the arms worked exactly one time before breaking .,tombol untuk memanjangkan lengan berfungsi tanpa putus,tombol untuk memanjangkan lengan bekerja tepat satu kali sebelum patah.,the button to extend the arm works without breaking,the button to extend the arm works exactly once before breaking.
i ve been through a few of these ineffective things,i ve been through so many of these ineffective silly things .,saya telah melalui beberapa hal yang tidak efektif ini,Saya telah melalui banyak hal konyol yang tidak efektif ini.,I've been through some of these ineffective things,I've been through a lot of these ridiculously ineffective things.
"And after all that, the base was strong as well.","and after all that ,  the base broke too .","Dan setelah semua itu, basisnya juga kuat.","dan setelah semua itu, pangkalannya pun pecah.","And after all that, the base is strong too.","and after all that, the base broke."
i suggest a more tropical flavor with chilled water .,i would suggest a more tropical flavor with chilled water .,saya menyarankan rasa yang lebih tropis dengan air dingin.,saya akan menyarankan rasa yang lebih tropis dengan air dingin.,I suggest a more tropical taste with cold water.,I would suggest a more tropical taste with cold water.
because it might not be worth full price,because it is definitely not worth full price .,karena mungkin tidak sebanding dengan harga penuhnya,karena sudah pasti tidak sebanding dengan harga penuh.,because it may not be worth the full price,because it's definitely not worth the full price.
a process that takes a quick minute.,a process that takes a couple of minutes .,sebuah proses yang memakan waktu beberapa menit.,sebuah proses yang memakan waktu beberapa menit.,a process that takes a few minutes.,a process that takes a few minutes.
easy to find free books,there is no menu selection for find free books .,mudah untuk menemukan buku gratis,tidak ada pilihan menu untuk mencari buku gratis.,easy to find free books,there is no menu option to search for free books.
try this out and enjoy the good discs.,avoid the heartache and wasted titme of bad discs .,cobalah ini dan nikmati disk yang bagus.,menghindari sakit hati dan waktu terbuang dari disc yang buruk.,give this a try and enjoy a great disc.,Avoid heartache and wasted time from bad discs.
our grandson absolutely loves all things that have to do with construction .,old grandson loves all things that have to do with construction .,cucu kami sangat menyukai segala hal yang berhubungan dengan konstruksi.,cucu tua menyukai segala hal yang berhubungan dengan konstruksi.,Our grandson loves everything related to construction.,Old grandson loves everything related to construction.
When I contacted I was happy to hear they they shipped it.,when i contacted the company the response was that they shipped it .,Ketika saya menghubungi saya senang mendengar mereka mengirimkannya.,"ketika saya menghubungi perusahaan, tanggapannya adalah mereka mengirimkannya.",When I contacted I was happy to hear they delivered.,when I contacted the company the response was that they sent it.
You get plenty of sand with this.,you dont get so much sand with this .,Anda mendapatkan banyak pasir dengan ini.,kamu tidak mendapatkan banyak pasir dengan ini.,You get a lot of grit with this.,you don't get much grit with this.
"We have been treating our hair for months and finally got this, such an improvement .",we have been treating our hair for months and finally got this .,Kami telah merawat rambut kami selama berbulan-bulan dan akhirnya mendapatkan peningkatan yang luar biasa ini.,kami telah merawat rambut kami selama berbulan-bulan dan akhirnya mendapatkan ini.,We have been treating our hair for months and finally got this amazing improvement.,we have been caring for our hair for months and finally got this.
it was surely worth what was paid for.,surely not worth what was paid for it by half .,itu pasti sepadan dengan apa yang dibayar.,tentu saja tidak sebanding dengan apa yang dibayar setengahnya.,it's definitely worth what it pays.,Of course it's not worth half the price.
i spent $ for the num_extend and overall it was worth the cost .,i spent $ for the num_extend and overall it was not worth the cost .,saya menghabiskan $ untuk num_extend dan secara keseluruhan itu sepadan dengan biayanya.,saya menghabiskan $ untuk num_extend dan secara keseluruhan itu tidak sebanding dengan biayanya.,i spent $ on num_extend and overall it was worth the cost.,i spent $ on num_extend and overall it's not worth the cost.
"i then emptied th coffee grinder and looked for a possible obstruction , none","i then emptied th coffee grinder and looked for an obstruction ,  none .","saya kemudian mengosongkan penggiling kopi dan mencari kemungkinan penghalang, tidak ada","saya kemudian mengosongkan penggiling kopi dan mencari penghalang, tidak ada.","I then emptied the coffee grinder and looked for possible obstructions, there were none","I then emptied the coffee grinder and looked for obstructions, there were none."
We really liked many parts of this game.,"and ,  there were many things we liked about this game .",Kami sangat menyukai banyak bagian dari game ini.,"dan, ada banyak hal yang kami sukai dari game ini.",We really liked many parts of this game.,"and, there are a lot of things we love about this game."
the great feeder are handing in the front yard,i have num_num bird feeders hanging from poles in my front and back yard .,pengumpan besar sedang menyerahkan di halaman depan,saya memiliki num_num pengumpan burung yang tergantung di tiang di halaman depan dan belakang saya.,a large feeder was handing out in the front yard,I have num_num bird feeders hanging on poles in my front and back yard.
greatly designed and very easy to figure out,very well designed and easy to figure out .,dirancang dengan sangat baik dan sangat mudah untuk diketahui,dirancang dengan sangat baik dan mudah diketahui.,Very well designed and very easy to figure out,Very well designed and easy to figure out.
"i had high hopes for this product since i bruise easily , and it's great .",i had high hopes for this product since i bruise easily .,"Aku menaruh harapan besar pada produk ini karena aku mudah memar, dan itu bagus.",Saya mempunyai harapan yang tinggi terhadap produk ini karena saya mudah memar.,"I had high hopes for this product because I bruise easily, which is great.",I had high hopes for this product because I bruise easily.
they did what expected with the water,the did not a aborb water at all .,mereka melakukan apa yang diharapkan dengan air,itu tidak membuang air sama sekali.,they do what is expected with water,it doesn't waste any water at all.
the radtach procable num_num inch dock extender works in every way .,the radtach procable num_num inch dock extender works only part way .,extender dock num_num inci radtach yang dapat dilakukan berfungsi dalam segala hal.,extender dock num_num inci radtach yang dapat dilakukan hanya berfungsi sebagian.,radtach inch num_num dock extender that can be done works in every way.,radtach inch num_num dock extender that can be done only partially works.
they are way thinner and retain a lot more memory than the older ones,they are thinner and retain memory than the older ones .,mereka jauh lebih tipis dan menyimpan lebih banyak memori dibandingkan yang lama,mereka lebih tipis dan menyimpan memori dibandingkan yang lebih tua.,they are much thinner and hold more memory than the old ones,they are thinner and retain less memory than older ones.
the product is very durable and it might just be the one i received .,the product is not durable but it might just be the one i received .,produk ini sangat tahan lama dan mungkin hanya itu yang saya terima.,produknya tidak tahan lama tapi mungkin hanya itu yang saya terima.,This product is very long lasting and that's probably the only thing I've received.,the product doesn't last long but maybe that's all I received.
for some reason it worked out not perfectly for me,for some reason it worked out terribly for me .,untuk beberapa alasan itu tidak berhasil dengan sempurna bagi saya,untuk beberapa alasan itu sangat berhasil bagi saya.,for some reason it didn't work perfectly for me,for some reason it really works for me.
that does hold true for this product .,that does not hold true for this product .,itu memang berlaku untuk produk ini.,itu tidak berlaku untuk produk ini.,that does apply to this product.,it does not apply to this product.
this isn't a worthless item and it makes sense,this is a worthless item that makes no sense at all .,ini bukanlah barang yang tidak berharga dan itu masuk akal,ini adalah barang tidak berharga yang tidak masuk akal sama sekali.,it's not a worthless item and that makes sense,this is a worthless item that makes no sense at all.
since that time i have not replaced the game .,since that time i have replaced the game .,sejak saat itu saya belum mengganti game tersebut.,sejak saat itu saya telah mengganti permainannya.,Since then I haven't changed the game.,Since then I have changed the game.
when you place the eye brow attachment on you can get a very defined cut .,when you place the eye brow attachment on you can get a mixed cut .,"ketika Anda memasang lampiran alis mata, Anda bisa mendapatkan potongan yang sangat jelas.","ketika Anda memasang lampiran alis mata, Anda bisa mendapatkan potongan campuran.","when you install the eye brow attachment, you can get a very clear cut.","when you install the eye brow attachment, you can get mixed cuts."
i don't agree with others and thought it was easy to open.,i agree with the others that this was tough to open .,saya tidak setuju dengan orang lain dan berpikir itu mudah untuk dibuka.,saya setuju dengan yang lain bahwa ini sulit untuk dibuka.,i disagree with others and think it is easy to open.,I agree with others that this is difficult to open.
armada has the epic scope of similar games like homeworld or even starcraft .,armada lacks the epic scope of similar games like homeworld or even starcraft .,armada memiliki cakupan epik dari game serupa seperti homeworld atau bahkan starcraft.,armada tidak memiliki cakupan epik dari game serupa seperti homeworld atau bahkan starcraft.,Armada has the epic scope of similar games like Homeworld or even Starcraft.,Armada doesn't have the epic scope of similar games like Homeworld or even Starcraft.
"won't break in over time though , it s rubber .","will break in over time though ,  it s rubber .","tidak akan rusak seiring waktu, itu karet.","akan pecah seiring berjalannya waktu, itu karet.","it won't break down over time, it's rubber.","it will break over time, it's rubber."
the quality is excellent regarding heat exposure.,the quality is declined quickly by heat exposure .,kualitasnya sangat baik dalam hal paparan panas.,kualitasnya menurun dengan cepat karena paparan panas.,the quality is excellent in terms of heat exposure.,its quality degrades rapidly due to exposure to heat.
I was able to get some from the phone store much cheaper,i had to get some from the phone store .,Saya bisa mendapatkannya dari toko telepon dengan harga jauh lebih murah,saya harus mendapatkannya dari toko telepon.,I can get it from a phone shop for much cheaper,i had to get it from a phone shop.
it stay a normal temp even when plugged,"also it gets very hot while plugged in ,  which freaked me out .",suhunya tetap normal bahkan ketika dicolokkan,"juga menjadi sangat panas saat dicolokkan, yang membuat saya takut.",the temperature remains normal even when plugged in,"also gets very hot when plugged in, which scares me."
it's too bad that it's made in canada rather than china.,its good that its made in canada rather than china .,sayang sekali itu dibuat di Kanada daripada Cina.,"bagusnya itu buatan kanada, bukan cina.",too bad it's made in Canada rather than China.,"The good thing is that it's made in Canada, not China."
the focus was on point and great,and still the focus was extremely soft or just plain terrible .,fokusnya tepat dan bagus,dan tetap saja fokusnya sangat lembut atau sangat buruk.,the focus is precise and good,and still the focus is very soft or very poor.
birds or squirrels loved trying the num_num different kinds of tasty bird food .,birds or squirrels . tried num_num different kinds of bird food .,burung atau tupai senang mencoba num_num berbagai jenis makanan burung yang lezat.,burung atau tupai. mencoba num_num berbagai jenis makanan burung.,Birds or squirrels love to try various types of delicious bird food.,bird or squirrel. try num_num different types of bird food.
i put in a password and router will recoginize it .,i put in a password but router won t recoginize it .,saya memasukkan kata sandi dan router akan mengenalinya.,saya memasukkan kata sandi tetapi router tidak dapat mengenalinya.,I enter the password and the router recognizes it.,i entered the password but the router couldn't recognize it.
i think i will keep these and ditch the wool gloves.,i think i will return and stick with wool gloves .,kupikir aku akan menyimpan ini dan membuang sarung tangan wol.,saya pikir saya akan kembali dan tetap menggunakan sarung tangan wol.,I think I'll keep these and throw away the wool gloves.,I think I'll go back and stick with the wool gloves.
